Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,56355970.30097846,56355970.30097838,141552832.59034629 
 01/01  02:00:00,73753826.13036803,73753826.1303679,140165648.04756738 
 01/01  03:00:00,51818989.52786408,51818989.52786397,127714750.94766616 
 01/01  04:00:00,57585576.97053409,57585576.970534067,114902120.18169429 
 01/01  05:00:00,69163929.94613579,69163929.94613563,125685762.29015313 
 01/01  06:00:00,103980946.3344519,103980946.33445177,131993153.2570529 
 01/01  07:00:00,191991623.4339832,191991623.43398295,150099331.5842221 
 01/01  08:00:00,213344047.56861574,213344047.5686155,156910624.8106009 
 01/01  09:00:00,196128663.5780836,196128663.57808329,161024426.61811007 
 01/01  10:00:00,191513483.7930243,191513483.79302413,153979756.5270385 
 01/01  11:00:00,158864563.21074546,158864563.21074543,150118920.85140098 
 01/01  12:00:00,139649570.3397377,139649570.33973748,146535979.18312264 
 01/01  13:00:00,129994470.48994746,129994470.48994714,146293430.03417997 
 01/01  14:00:00,120240776.60038807,120240776.6003878,145087754.6321533 
 01/01  15:00:00,128862515.346922,128862515.34692201,127438574.92339261 
 01/01  16:00:00,128203072.56222646,128203072.56222636,124766972.89504767 
 01/01  17:00:00,173283794.07147978,173283794.07147966,137707076.5030134 
 01/01  18:00:00,206979101.0372213,206979101.03722093,142809346.60562394 
 01/01  19:00:00,228465030.05483998,228465030.05483965,156942802.64707283 
 01/01  20:00:00,212051279.59916435,212051279.59916417,151493969.4826052 
 01/01  21:00:00,200707150.7407695,200707150.7407693,141989315.8525108 
 01/01  22:00:00,185876617.74902917,185876617.749029,140145422.37208013 
 01/01  23:00:00,144377386.34320385,144377386.34320373,147011919.58431677 
 01/01  24:00:00,97243316.62700843,97243316.62700852,144998469.24241928 
 01/02  01:00:00,77106946.87459636,77106946.8745963,155493466.52128489 
 01/02  02:00:00,60006478.594512138,60006478.594512108,158337967.97284384 
 01/02  03:00:00,67531973.30285028,67531973.30285016,155815433.63572196 
