Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,141867880.88894839,141867880.88894857,275797437.9938859 
 01/04  17:00:00,167011827.3207491,167011827.32074959,287072029.3041909 
 01/04  18:00:00,217480431.9969161,217480431.99691615,309212966.07839998 
 01/04  19:00:00,236779745.04211406,236779745.04211403,293863213.69346347 
 01/04  20:00:00,229668718.43884165,229668718.4388413,281094181.61263939 
 01/04  21:00:00,227436063.2485426,227436063.24854226,302768378.3777483 
 01/04  22:00:00,188761945.2449811,188761945.24498136,294552820.7348167 
 01/04  23:00:00,165688536.86586923,165688536.86586977,303177006.383686 
 01/04  24:00:00,116332534.08225906,116332534.08225928,287104216.7029644 
 01/05  01:00:00,95126015.96352357,95126015.96352363,290637772.5859347 
 01/05  02:00:00,72415291.29143542,72415291.29143538,291961047.40024408 
 01/05  03:00:00,91671786.78192589,91671786.78192593,305511633.5994889 
 01/05  04:00:00,71680628.01877859,71680628.01877854,323264599.06803479 
 01/05  05:00:00,84443981.97080651,84443981.97080654,315105964.3384249 
 01/05  06:00:00,132207015.96764586,132207015.967646,295918614.8705604 
 01/05  07:00:00,198573523.3672055,198573523.36720533,292963844.74922749 
 01/05  08:00:00,208456269.00273005,208456269.00273,302728335.88163039 
 01/05  09:00:00,204581960.19479884,204581960.19479854,301857901.9991575 
 01/05  10:00:00,162146180.03041027,162146180.03041054,261467175.52948559 
 01/05  11:00:00,161161325.86831186,161161325.868312,223182529.19584156 
 01/05  12:00:00,139729695.1640597,139729695.1640602,219645343.04879935 
 01/05  13:00:00,130573736.46767077,130573736.46767102,214225172.57735379 
 01/05  14:00:00,133147638.72778337,133147638.72778362,203329064.07768906 
 01/05  15:00:00,122889171.47714272,122889171.47714286,202529024.6337842 
 01/05  16:00:00,139442652.4577279,139442652.45772807,200389464.105784 
 01/05  17:00:00,162976788.64944596,162976788.64944644,197875596.4524381 
 01/05  18:00:00,213072402.97567395,213072402.97567398,197883566.2174085 
 01/05  19:00:00,232464732.01962389,232464732.0196239,187519619.2573555 
 01/05  20:00:00,230074738.4093681,230074738.4093679,173647115.43515725 
 01/05  21:00:00,217606021.79033894,217606021.7903387,176933089.96310777 
 01/05  22:00:00,182990531.61164633,182990531.61164633,151860070.05108498 
 01/05  23:00:00,161892073.41884805,161892073.4188483,209485406.5324244 
 01/05  24:00:00,114984670.7281417,114984670.72814189,253919044.7169227 
 01/06  01:00:00,93856116.49798987,93856116.49799001,259411276.43591894 
 01/06  02:00:00,71118305.7110998,71118305.71109976,260127551.95002503 
 01/06  03:00:00,88736915.84051052,88736915.84051055,233104658.09397117 
 01/06  04:00:00,68374310.2806913,68374310.28069122,241292156.32564736 
 01/06  05:00:00,88214736.11814608,88214736.11814612,295297001.2652642 
 01/06  06:00:00,127132678.73924129,127132678.73924154,286338927.8625427 
 01/06  07:00:00,196993034.95963768,196993034.95963756,254222925.24414004 
 01/06  08:00:00,208895322.392774,208895322.3927741,314904027.0595404 
 01/06  09:00:00,207718027.8480658,207718027.8480657,321451127.84328249 
 01/06  10:00:00,170992539.96194298,170992539.96194316,244209108.8473687 
 01/06  11:00:00,146594596.67318807,146594596.67318849,154844075.0995229 
 01/06  12:00:00,138054274.756359,138054274.75635923,124304814.92226835 
 01/06  13:00:00,126979237.66381651,126979237.6638169,127845215.88471809 
 01/06  14:00:00,130734222.14423292,130734222.14423302,120064714.97255276 
 01/06  15:00:00,121795744.7924681,121795744.79246843,110617946.9423962 
 01/06  16:00:00,130532605.83060035,130532605.83060059,104531401.7326221 
 01/06  17:00:00,160242213.41127897,160242213.41127909,127789167.64193785 
 01/06  18:00:00,211315038.2133687,211315038.2133689,153276137.36375729 
 01/06  19:00:00,234391138.93716378,234391138.9371637,163653634.69866038 
 01/06  20:00:00,229781637.89328579,229781637.89328555,165975567.9946643 
 01/06  21:00:00,214806902.78634493,214806902.78634484,150245882.42449577 
 01/06  22:00:00,184685015.43942873,184685015.43942867,143148359.5004235 
 01/06  23:00:00,158659955.36449627,158659955.3644967,203764214.94397173 
 01/06  24:00:00,114076262.12790735,114076262.1279073,229880237.62125785 
 01/07  01:00:00,91874315.68823536,91874315.6882354,208584881.67526967 
 01/07  02:00:00,75711988.70296441,75711988.70296438,198745192.31574659 
 01/07  03:00:00,81979026.83262266,81979026.8326227,235740262.8016324 
 01/07  04:00:00,69606807.65614537,69606807.6561453,268777148.74949088 
 01/07  05:00:00,96416283.26433242,96416283.26433248,284349577.01268628 
 01/07  06:00:00,118679020.12707857,118679020.12707858,285710285.4471537 
 01/07  07:00:00,198214779.75315864,198214779.75315864,279723965.68855449 
 01/07  08:00:00,207278844.60280533,207278844.60280515,255927333.28179086 
 01/07  09:00:00,203430597.37481413,203430597.37481416,301694061.78497776 
 01/07  10:00:00,172010464.83517138,172010464.83517126,312680598.87749847 
 01/07  11:00:00,147577610.59155939,147577610.59155966,313245172.83960899 
 01/07  12:00:00,153905195.58840309,153905195.5884031,325665964.0052893 
 01/07  13:00:00,139264080.5494367,139264080.54943688,323579761.5068149 
 01/07  14:00:00,115152238.89985143,115152238.8998516,295587953.4471362 
 01/07  15:00:00,128522201.28538484,128522201.28538525,317719370.84133526 
 01/07  16:00:00,134563623.41407079,134563623.41407103,353741390.8413661 
 01/07  17:00:00,169583112.82840608,169583112.8284062,340233410.01402088 
 01/07  18:00:00,218499955.88243888,218499955.8824391,358663447.36042287 
 01/07  19:00:00,244217418.42140705,244217418.4214064,322186207.0932268 
 01/07  20:00:00,224197140.26985983,224197140.26985965,278859501.5052912 
 01/07  21:00:00,227632268.55726207,227632268.55726175,308190780.97247239 
 01/07  22:00:00,189301438.2966607,189301438.29666094,308637295.1190237 
 01/07  23:00:00,159841080.66341938,159841080.66341973,342484322.2473076 
 01/07  24:00:00,131013118.7089699,131013118.70897024,344159488.4193515 
 01/08  01:00:00,84583028.37965559,84583028.37965562,335463887.22144439 
 01/08  02:00:00,94528169.2523762,94528169.25237625,344042398.9255318 
 01/08  03:00:00,73805734.78630798,73805734.78630793,360851754.6468723 
 01/08  04:00:00,80051391.4561423,80051391.45614225,359321706.39333227 
 01/08  05:00:00,92358760.70585476,92358760.70585478,361708083.536507 
 01/08  06:00:00,120436596.18385309,120436596.18385312,333759262.47543266 
 01/08  07:00:00,201100521.9840518,201100521.98405162,356251165.7656174 
 01/08  08:00:00,225109715.95324195,225109715.95324166,364574949.63568618 
 01/08  09:00:00,191297635.27936,191297635.27935983,345260166.55274316 
 01/08  10:00:00,171973296.45334298,171973296.453343,317322410.5396893 
 01/08  11:00:00,151236608.56625135,151236608.5662516,297021255.5105095 
 01/08  12:00:00,146311250.39945287,146311250.39945335,253090054.02370889 
 01/08  13:00:00,136789940.28772716,136789940.2877275,266289050.55094148 
 01/08  14:00:00,127090614.3975346,127090614.39753488,264109719.80335657 
 01/08  15:00:00,112816041.20920122,112816041.20920152,262215966.6853901 
 01/08  16:00:00,131993266.12999423,131993266.12999442,293066213.80703797 
 01/08  17:00:00,168348681.14122797,168348681.1412285,312134709.8532417 
 01/08  18:00:00,231383184.29622574,231383184.29622547,323448626.03093346 
 01/08  19:00:00,236428813.18017183,236428813.18017165,287272112.17542079 
 01/08  20:00:00,227185212.52154187,227185212.52154164,250825834.13497756 
 01/08  21:00:00,212765222.31095479,212765222.3109548,249720522.97604607 
 01/08  22:00:00,188871924.39579887,188871924.39579887,257946694.69559787 
 01/08  23:00:00,165575104.78345467,165575104.78345488,301553459.36576119 
 01/08  24:00:00,128959664.34400487,128959664.34400518,317070205.38251408 
 01/09  01:00:00,83525766.29675764,83525766.2967576,331695832.70911779 
 01/09  02:00:00,89214966.0331142,89214966.03311426,388445752.3523236 
 01/09  03:00:00,82001594.04451643,82001594.04451639,394069154.1749157 
 01/09  04:00:00,73596163.73602762,73596163.73602759,331052125.7685374 
 01/09  05:00:00,95805990.43327065,95805990.4332708,318860469.11857357 
 01/09  06:00:00,119379849.0392121,119379849.03921233,309405126.6509358 
 01/09  07:00:00,193691028.6136747,193691028.61367459,332529387.63079157 
 01/09  08:00:00,230559698.77983908,230559698.77983887,352085010.82509258 
 01/09  09:00:00,191781189.30881975,191781189.3088199,327289033.17044469 
 01/09  10:00:00,176802431.02785564,176802431.02785609,290912234.08356818 
 01/09  11:00:00,163963081.83216173,163963081.83216203,295536521.99332466 
 01/09  12:00:00,142034763.30698646,142034763.30698658,278970290.0666498 
 01/09  13:00:00,133937227.60468495,133937227.60468494,299647901.5304779 
 01/09  14:00:00,139526355.42450954,139526355.42450989,318494177.1585732 
 01/09  15:00:00,111525327.56934074,111525327.5693408,299446228.695167 
 01/09  16:00:00,143594694.22662858,143594694.22662879,305734340.7999898 
 01/09  17:00:00,164959301.7950478,164959301.79504804,318618171.035341 
 01/09  18:00:00,232484673.22618333,232484673.22618319,343396026.2087382 
 01/09  19:00:00,239302931.81455476,239302931.81455476,348668413.22726646 
 01/09  20:00:00,239856622.9200905,239856622.92009024,350737765.3052736 
 01/09  21:00:00,207888730.80945296,207888730.8094529,333113882.8698676 
 01/09  22:00:00,205884137.20941574,205884137.20941574,330883091.56785449 
 01/09  23:00:00,165031681.42409656,165031681.4240967,353624806.8829346 
 01/09  24:00:00,117868594.57293648,117868594.57293676,327248068.5303225 
 01/10  01:00:00,89430956.23008493,89430956.2300849,328193901.1767844 
 01/10  02:00:00,88236230.44897513,88236230.44897516,337396682.79566428 
 01/10  03:00:00,71974810.68459086,71974810.6845908,316215962.847071 
 01/10  04:00:00,84956775.51634386,84956775.5163439,331262381.5562566 
 01/10  05:00:00,86145465.3120057,86145465.31200575,360314419.8992888 
 01/10  06:00:00,122369189.2286091,122369189.22860913,384002885.24626156 
 01/10  07:00:00,215603101.0694099,215603101.0694095,402377587.51636758 
 01/10  08:00:00,212909233.71922163,212909233.71922145,388642897.22028586 
 01/10  09:00:00,194720809.14258559,194720809.14258579,340540412.27764019 
 01/10  10:00:00,173117681.26362399,173117681.26362378,253456874.2454195 
 01/10  11:00:00,160268841.3625104,160268841.36251063,200646735.4309868 
 01/10  12:00:00,137224047.34360007,137224047.34360046,155570163.16969563 
 01/10  13:00:00,135013052.80859895,135013052.80859945,138382705.51451648 
 01/10  14:00:00,126232874.78111235,126232874.78111258,146004676.0056145 
 01/10  15:00:00,125462276.89986253,125462276.8998627,149125740.42871998 
 01/10  16:00:00,117683890.39083243,117683890.39083272,153955198.1950688 
 01/10  17:00:00,170130363.69658125,170130363.6965811,150535936.2663948 
 01/10  18:00:00,217503253.47989077,217503253.4798907,156947179.89185284 
 01/10  19:00:00,233397147.99433989,233397147.9943398,147093928.9162495 
 01/10  20:00:00,223326098.96809519,223326098.96809487,122559951.65551999 
 01/10  21:00:00,220593507.78774346,220593507.78774325,131268850.66253945 
 01/10  22:00:00,182688797.92918066,182688797.92918093,141946917.44012998 
 01/10  23:00:00,160504566.74896164,160504566.74896173,172359421.87406446 
 01/10  24:00:00,112023562.54528782,112023562.54528785,178298113.49914793 
 01/11  01:00:00,91006265.12099105,91006265.12099122,186240398.53274355 
 01/11  02:00:00,68371494.04915264,68371494.0491526,189255150.96395529 
 01/11  03:00:00,84626848.6032816,84626848.60328168,174988985.2054248 
 01/11  04:00:00,67393634.11560503,67393634.11560498,167051650.61373625 
 01/11  05:00:00,73900702.51368305,73900702.513683,180305452.39394687 
 01/11  06:00:00,128543568.75581505,128543568.75581517,176505893.58633808 
 01/11  07:00:00,190183547.1218264,190183547.12182618,155017422.97083158 
 01/11  08:00:00,206393627.78841619,206393627.788416,163143489.5501727 
 01/11  09:00:00,194782667.7367741,194782667.73677425,179881086.13707004 
 01/11  10:00:00,171912805.02893345,171912805.02893389,175233876.9343423 
 01/11  11:00:00,155604186.8414587,155604186.84145896,153026083.03052653 
 01/11  12:00:00,137629799.16785289,137629799.16785342,146986866.24361608 
 01/11  13:00:00,127970795.21274993,127970795.21275017,136314513.5534882 
 01/11  14:00:00,127186733.09642554,127186733.09642579,121992917.83205319 
 01/11  15:00:00,122256888.10996907,122256888.1099693,119574052.97577213 
 01/11  16:00:00,135606338.14522354,135606338.1452238,101903037.88909655 
 01/11  17:00:00,156262076.96459369,156262076.9645941,85019266.9328546 
 01/11  18:00:00,208112784.9587739,208112784.95877413,67375877.22044119 
 01/11  19:00:00,230630540.16802243,230630540.16802217,115648651.60157505 
 01/11  20:00:00,232107222.04670469,232107222.0467044,167600315.8410623 
 01/11  21:00:00,216521511.0052394,216521511.00523929,182834834.33850826 
 01/11  22:00:00,188217402.87159259,188217402.87159259,231692738.25915066 
 01/11  23:00:00,162477114.61965958,162477114.61965988,295821319.8612338 
 01/11  24:00:00,120723046.66369829,120723046.66369829,319738748.2774044 
 01/12  01:00:00,94589337.56621322,94589337.56621328,345375728.9106992 
 01/12  02:00:00,90011925.28730913,90011925.2873091,412595537.06783238 
 01/12  03:00:00,85155761.9637865,85155761.96378644,454105950.5699275 
 01/12  04:00:00,78760943.92130672,78760943.92130667,454143453.5267694 
 01/12  05:00:00,102309193.36760856,102309193.36760852,476276898.2195587 
 01/12  06:00:00,127020134.85363652,127020134.85363658,495475758.04890838 
 01/12  07:00:00,205671884.14486373,205671884.14486376,466903367.7140967 
 01/12  08:00:00,227181489.17857556,227181489.17857529,511887437.63453498 
 01/12  09:00:00,205546513.87664099,205546513.87664087,519441724.78560367 
 01/12  10:00:00,183339035.0840414,183339035.0840412,507544020.8487716 
 01/12  11:00:00,162378717.72890634,162378717.72890655,461374995.2823195 
 01/12  12:00:00,155961068.856234,155961068.8562345,421480286.53907397 
 01/12  13:00:00,145007299.17694045,145007299.17694057,391906093.0298385 
 01/12  14:00:00,133871141.25371969,133871141.25372006,340468127.2572008 
 01/12  15:00:00,118395308.13437099,118395308.13437116,309537873.8581548 
 01/12  16:00:00,136313920.31518398,136313920.31518419,308036586.81161287 
 01/12  17:00:00,172384423.40668617,172384423.40668667,318929860.9894522 
 01/12  18:00:00,232702785.8341328,232702785.8341328,348528624.8222091 
 01/12  19:00:00,238917671.82616569,238917671.82616539,345791592.15398356 
 01/12  20:00:00,229915264.83132733,229915264.83132703,286479825.8468384 
 01/12  21:00:00,212398036.71659366,212398036.7165936,266473824.18993873 
 01/12  22:00:00,202393796.9775743,202393796.977574,310967664.44810178 
 01/12  23:00:00,166672623.34154479,166672623.34154476,316350577.0137188 
 01/12  24:00:00,115832024.73269697,115832024.73269701,270366154.0187503 
 01/13  01:00:00,81108925.1102386,81108925.11023855,267957597.92758645 
 01/13  02:00:00,84591565.74371088,84591565.74371094,269165838.8302045 
 01/13  03:00:00,77358352.97479454,77358352.97479449,273865146.2088188 
 01/13  04:00:00,82507364.50929567,82507364.50929564,266698602.1511762 
 01/13  05:00:00,82822332.45752615,82822332.45752609,273442597.7230291 
 01/13  06:00:00,118358125.58821304,118358125.58821306,279449645.1517141 
 01/13  07:00:00,201385848.0335919,201385848.03359173,304301076.15726748 
 01/13  08:00:00,218265403.64822198,218265403.6482218,325515379.5721437 
 01/13  09:00:00,194421015.1018011,194421015.10180138,329497197.25254288 
 01/13  10:00:00,174731422.85487498,174731422.85487483,290991976.0456427 
 01/13  11:00:00,161189740.08129303,161189740.08129338,220587064.04120378 
 01/13  12:00:00,139527919.23048268,139527919.2304832,210807694.09524144 
 01/13  13:00:00,135537982.75737594,135537982.75737623,190270660.45974414 
 01/13  14:00:00,127624476.35407195,127624476.35407217,137116680.00332145 
 01/13  15:00:00,124425357.00695004,124425357.00695026,119571298.07721845 
 01/13  16:00:00,116101712.03606382,116101712.03606403,130431381.69138518 
 01/13  17:00:00,168443144.8498759,168443144.84987618,128026930.71261059 
 01/13  18:00:00,213665719.34962467,213665719.34962473,144033169.73753993 
 01/13  19:00:00,239079296.18421618,239079296.1842161,156628370.41317899 
 01/13  20:00:00,224598286.04393528,224598286.04393477,152202581.07136835 
 01/13  21:00:00,220659139.93515343,220659139.93515314,131595582.0041619 
 01/13  22:00:00,182840624.11371137,182840624.11371155,144618513.7874845 
 01/13  23:00:00,155181247.0563906,155181247.05639059,172186164.5715846 
 01/13  24:00:00,117201651.5000059,117201651.50000605,176584686.445933 
 01/14  01:00:00,85712462.72176072,85712462.72176077,185045688.37916435 
 01/14  02:00:00,73403388.09663415,73403388.09663409,183617822.78370125 
 01/14  03:00:00,79905367.96627482,79905367.96627486,183514310.1016121 
 01/14  04:00:00,72859304.88738683,72859304.88738677,176085699.55764763 
 01/14  05:00:00,71995710.07191473,71995710.07191469,176143067.74557118 
 01/14  06:00:00,127184520.560092,127184520.56009214,169052367.44737033 
 01/14  07:00:00,193540792.87041555,193540792.87041528,160477500.55745954 
 01/14  08:00:00,200764939.44971294,200764939.44971273,153385043.77416209 
 01/14  09:00:00,195359895.30634538,195359895.30634535,141125845.15183158 
 01/14  10:00:00,166120837.6568011,166120837.65680153,124771782.77880678 
 01/14  11:00:00,146810902.50729595,146810902.5072962,121692341.17597525 
 01/14  12:00:00,136028837.68080769,136028837.68080823,104962070.7836503 
 01/14  13:00:00,123474445.36634627,123474445.36634662,105047997.28341779 
 01/14  14:00:00,119043473.03401448,119043473.03401482,109917053.36630059 
 01/14  15:00:00,117262852.0637815,117262852.06378158,93575650.77580858 
 01/14  16:00:00,130882839.57392819,130882839.57392854,78302912.49160174 
 01/14  17:00:00,151281137.43484677,151281137.43484719,67343906.29865092 
 01/14  18:00:00,211947648.16790635,211947648.16790635,74196938.21135654 
 01/14  19:00:00,230879201.56551285,230879201.56551237,80441793.53845495 
 01/14  20:00:00,222563522.61180798,222563522.6118078,72083904.80122626 
 01/14  21:00:00,215853941.15872274,215853941.1587224,76091754.69241497 
 01/14  22:00:00,182497836.9594655,182497836.95946575,78840079.53447944 
 01/14  23:00:00,150400879.47763313,150400879.47763313,98478587.39115954 
 01/14  24:00:00,122646150.73643855,122646150.73643866,112205177.27065316 
 01/15  01:00:00,75297326.43176678,75297326.43176674,121595233.61088354 
 01/15  02:00:00,85956194.88993593,85956194.88993609,127378191.90649033 
 01/15  03:00:00,64800246.16542803,64800246.16542798,133167057.71767476 
