Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  16:00:00,2684925.477,98161636.94,577768014.7
 01/05  17:00:00,3186336.951,141577789.7,602138811.8
 01/05  18:00:00,3600340.504,167476880.5,617984400.8
 01/05  19:00:00,3745307.428,174574689.4,613809133.9
 01/05  20:00:00,3864128.796,171309540.4,613760309.8
 01/05  21:00:00,3955268.991,169959621.1,612611820.3
 01/05  22:00:00,4038420.031,150573352.2,608160785.3
 01/05  23:00:00,4142735.898,126262793.5,617514655.2
 01/05  24:00:00,4281241.2,105828661.6,618485804.3
 01/06  01:00:00,4420618.17,93272614.08,621043006.6
 01/06  02:00:00,4530230.906,91674021.01,629134361.3
 01/06  03:00:00,4274302.368,90065117.56,617271500.6
 01/06  04:00:00,4048365.75,88990350.68,607395726.5
 01/06  05:00:00,4323159.271,97227352.25,624179192.4
 01/06  06:00:00,4467817.334,113702295.3,641265887.9
 01/06  07:00:00,4414018.315,132288030.3,674243981.5
 01/06  08:00:00,4725832.967,143922404.4,701404779.9
 01/06  09:00:00,5039346.188,122203108,728830627.5
 01/06  10:00:00,4990279.051,111945650.8,716113044.5
 01/06  11:00:00,4668424.84,100487860.5,690477522.1
 01/06  12:00:00,4350547.887,100350729.8,668127366.8
 01/06  13:00:00,3883316.086,97758474.07,642592444.7
 01/06  14:00:00,3551420.439,96236925.03,621252936.7
 01/06  15:00:00,3482657.095,95651558.09,617039466.8
 01/06  16:00:00,3394902.016,100227107,614131159.3
 01/06  17:00:00,3358311.046,142140813.9,610805603.6
 01/06  18:00:00,3337202.816,166886562.6,605697001.6
 01/06  19:00:00,2994714.983,172715297.5,579361721.7
 01/06  20:00:00,2689354.548,169414320.4,587460084.8
 01/06  21:00:00,2587652.976,167846410.4,584789892.9
 01/06  22:00:00,2597981.77,148427844.6,581444152.9
 01/06  23:00:00,2345804.425,123313240.4,577077436.1
 01/06  24:00:00,2474934.649,102877408.1,578605818
 01/07  01:00:00,2742419.882,90726305.8,589550009.9
 01/07  02:00:00,2790587.985,88934153.09,594123623.3
 01/07  03:00:00,2823295.214,88084920.64,596719778.5
 01/07  04:00:00,2849743.843,87713032.43,600182845.5
 01/07  05:00:00,2859682.272,95203811.68,602364705.1
 01/07  06:00:00,2832015.244,111210302.6,610229203.4
 01/07  07:00:00,2210044.561,127132603.9,586034879.7
 01/07  08:00:00,1758986.842,135352166.4,558871301.4
 01/07  09:00:00,1674732.542,104441629.8,563077597.6
 01/07  10:00:00,1579022.712,93971748.31,549340656.1
 01/07  11:00:00,1124867.519,82109058.15,518289251
 01/07  12:00:00,934851.3024,82059952.75,498064603.4
 01/07  13:00:00,510240.2876,80458328.16,475202826.3
