Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,56181359.157441329,56181359.15744129,82598565.65360213 
 01/01  02:00:00,73834373.90964768,73834373.90964772,85554862.21932262 
 01/01  03:00:00,52161961.18127017,52161961.18127012,81777802.34041688 
 01/01  04:00:00,58429488.87220888,58429488.87220883,81136921.93389866 
 01/01  05:00:00,69111741.7645552,69111741.76455526,75472287.94788018 
 01/01  06:00:00,95720865.55004192,95720865.5500419,67293014.72656988 
 01/01  07:00:00,169284376.0409686,169284376.04096858,59633388.227770607 
 01/01  08:00:00,184253300.16285727,184253300.16285713,59894940.44063519 
 01/01  09:00:00,178064059.0083932,178064059.00839348,62840125.91593738 
 01/01  10:00:00,159240582.03891493,159240582.03891508,45409553.889109108 
 01/01  11:00:00,126566384.69582376,126566384.69582407,34830611.314616549 
 01/01  12:00:00,126317503.54139588,126317503.54139602,31794024.219038197 
 01/01  13:00:00,118255875.33482687,118255875.33482728,36093081.02209024 
 01/01  14:00:00,117068596.9284371,117068596.92843734,49693397.98127528 
 01/01  15:00:00,102969047.97909832,102969047.97909844,50985571.59079274 
 01/01  16:00:00,120029935.77931935,120029935.77931959,50730582.3618986 
 01/01  17:00:00,147510518.47351594,147510518.4735156,51770956.35983286 
 01/01  18:00:00,190031827.4587975,190031827.45879764,43354454.9292848 
 01/01  19:00:00,207160203.0201846,207160203.02018459,45622950.8847885 
 01/01  20:00:00,199592979.5329637,199592979.5329635,45636707.92989412 
 01/01  21:00:00,175941065.10437293,175941065.10437293,50146275.80051962 
 01/01  22:00:00,175708579.3532036,175708579.35320328,59073023.94095503 
 01/01  23:00:00,121572387.30519298,121572387.30519295,68110382.31768337 
 01/01  24:00:00,109372609.2308715,109372609.23087178,73722251.19447126 
 01/02  01:00:00,63232206.48393575,63232206.483935717,82846363.51925884 
 01/02  02:00:00,66704058.31430787,66704058.31430791,83394128.53406698 
 01/02  03:00:00,59413594.930459368,59413594.93045933,85264181.5171781 
 01/02  04:00:00,51842432.2538896,51842432.25388955,85948915.70338744 
 01/02  05:00:00,76442724.69063562,76442724.69063562,79836850.33671528 
 01/02  06:00:00,96534573.6943734,96534573.69437361,78202130.71263699 
 01/02  07:00:00,167469788.67581196,167469788.6758118,73131536.8847924 
 01/02  08:00:00,187199265.468997,187199265.46899686,61388655.168471779 
 01/02  09:00:00,170404790.84477357,170404790.8447738,63362155.66181162 
 01/02  10:00:00,159689707.40568958,159689707.40568955,51451254.24148492 
 01/02  11:00:00,134804791.01120378,134804791.01120398,44318568.29562049 
 01/02  12:00:00,126651092.14857532,126651092.14857582,36326051.11185465 
 01/02  13:00:00,118234576.78548941,118234576.78548962,35652249.95011618 
 01/02  14:00:00,116064421.59958989,116064421.5995903,35994934.91270427 
 01/02  15:00:00,112957484.11317082,112957484.11317104,40872693.96835882 
 01/02  16:00:00,108999430.92610049,108999430.92610067,46973623.34525599 
 01/02  17:00:00,147073528.73868037,147073528.7386808,45511561.2822188 
 01/02  18:00:00,195111411.92527218,195111411.92527224,36772839.60556038 
 01/02  19:00:00,193230739.55624355,193230739.55624355,34008265.12815138 
 01/02  20:00:00,198415694.76455889,198415694.76455886,28320979.376067833 
 01/02  21:00:00,192231294.63756056,192231294.6375603,28188498.608691127 
 01/02  22:00:00,157259663.57294227,157259663.5729424,33271124.40537486 
 01/02  23:00:00,125904765.2080365,125904765.2080369,44788957.82884381 
 01/02  24:00:00,107601736.94427842,107601736.94427856,49999109.03300086 
 01/03  01:00:00,60755177.07956746,60755177.07956743,49763907.77323767 
 01/03  02:00:00,63690511.70520131,63690511.70520134,43057021.0220235 
 01/03  03:00:00,52482618.553355809,52482618.55335577,39014880.32208523 
 01/03  04:00:00,52590358.89466219,52590358.89466215,49198751.77133181 
 01/03  05:00:00,68010025.65828598,68010025.65828595,60259958.367343198 
 01/03  06:00:00,95132319.21761778,95132319.21761781,59146830.286092888 
 01/03  07:00:00,173552894.77335266,173552894.77335245,51425017.44336149 
 01/03  08:00:00,180518275.66388435,180518275.66388423,62241106.59169261 
 01/03  09:00:00,179334662.5500885,179334662.5500884,66451460.88629505 
 01/03  10:00:00,162667376.95999439,162667376.9599944,54199697.27766709 
 01/03  11:00:00,130587384.40926855,130587384.40926886,38535422.395243089 
 01/03  12:00:00,139890184.42300416,139890184.42300443,39626041.19260388 
 01/03  13:00:00,113948882.48186404,113948882.48186437,36132678.15927926 
 01/03  14:00:00,118913617.0564461,118913617.05644623,32786183.237716959 
 01/03  15:00:00,113579228.94608084,113579228.94608116,31608226.553025765 
 01/03  16:00:00,108463613.87163168,108463613.87163201,34483155.495437588 
 01/03  17:00:00,156563917.0963322,156563917.09633229,33967772.974081929 
 01/03  18:00:00,194927551.54136876,194927551.5413687,31813360.334849404 
 01/03  19:00:00,192897724.06341888,192897724.063419,30144292.846851738 
 01/03  20:00:00,198196573.74939997,198196573.74939973,25809739.68221123 
 01/03  21:00:00,188032140.89652384,188032140.89652384,31635610.72284937 
 01/03  22:00:00,160458940.94411797,160458940.9441183,35341914.1594047 
 01/03  23:00:00,135324855.02837918,135324855.0283793,42777227.61959448 
 01/03  24:00:00,95054903.05241628,95054903.05241637,46693640.401623729 
 01/04  01:00:00,57870740.719359848,57870740.71935979,52940311.77629331 
 01/04  02:00:00,71367848.754752,71367848.75475198,52716150.41413596 
 01/04  03:00:00,50212523.66264743,50212523.6626474,55768458.034248817 
 01/04  04:00:00,55307437.147408548,55307437.147408518,62772204.345046509 
 01/04  05:00:00,70147662.767623,70147662.76762305,66117091.51474197 
 01/04  06:00:00,95621727.88642966,95621727.8864298,66366093.60760826 
 01/04  07:00:00,168929931.1761837,168929931.17618389,66233251.13856052 
 01/04  08:00:00,186118297.11213399,186118297.1121338,81075783.39152786 
 01/04  09:00:00,181939505.59212984,181939505.59212984,76284412.34531951 
 01/04  10:00:00,163151339.62084148,163151339.62084127,58493432.646882098 
 01/04  11:00:00,143344826.1803698,143344826.18036986,48053834.070348579 
 01/04  12:00:00,130679162.64028996,130679162.64029011,39525011.06624708 
 01/04  13:00:00,108960891.91998467,108960891.9199847,33883458.4261386 
 01/04  14:00:00,117209890.12554233,117209890.12554255,31320915.802230099 
