Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 11/07  01:00:00,58511005.7,0,0,9191897.701,19285200,28085665.77,1948242.221,0.000275409,51868903.09,45375413.57,6493489.52
 11/07  02:00:00,56587338.04,0,0,9191897.701,19285200,25966257.16,2143983.177,0.000137704,53624512.75,49863290.33,3761222.418
 11/07  03:00:00,55728131.12,0,0,9191897.701,19285200,24906552.85,2344480.572,3.4426E-05,56297746.6,54587922.42,1709824.178
 11/07  04:00:00,55424631.69,0,0,9191897.701,19285200,24376700.69,2570833.294,3.4426E-05,61791444.09,60081616.81,1709827.286
 11/07  05:00:00,63058204.94,0,0,13777384,19285200,27266590.8,2729030.136,0.000137704,67743588.52,63982264.21,3761324.31
 11/07  06:00:00,79280109.67,0,0,21687347.87,19285200,35695631.8,2611929.995,0.000929502,80427223.23,60937715.63,19489507.6
 11/07  07:00:00,98097382.48,0,0,23445117.62,19285200,53083565.93,2283498.924,0.003236045,117977601.5,52671232.12,65306369.35
 11/07  08:00:00,95585601.05,0,0,21649135.49,6428400,65388425.55,2119640.001,0.003442601,117982939.7,48573568,69409371.65
 11/07  09:00:00,86845266.05,0,0,15665446.93,0,67967412.13,3212406.98,0.003304897,111775412,45101375.18,66674036.78
 11/07  10:00:00,76367059.75,0,62493.97868,13640190.48,0,59827593.96,2836781.329,0.002891785,93525717.33,35057685.15,58468032.18
 11/07  11:00:00,65656604.64,0,165721.2712,13640190.48,0,49327737.83,2522955.052,0.002616377,79586088.68,26588726.23,52997362.45
 11/07  12:00:00,66069637.89,0,266572.3265,13640190.48,0,49857589.98,2305285.093,0.002099987,63594283.34,20854426.63,42739856.7
 11/07  13:00:00,64861513.48,0,282189.3976,13298350.38,0,49081841.7,2199132,0.001824579,55783438.85,18514251.87,37269186.97
 11/07  14:00:00,63731854.9,0,167400.7817,13640190.48,0,47738181.37,2186082.272,0.001618023,52598520.58,19432335.91,33166184.67
 11/07  15:00:00,63085448.9,0,147712.7661,13640190.48,0,47208329.21,2089216.44,0.001411467,46600594.54,17537412.16,29063182.37
 11/07  16:00:00,67921904.37,0,191707.5682,16964668.05,0,48797885.67,1967643.072,0.001618023,47584482.9,14418298.23,33166184.67
 11/07  17:00:00,94757468.09,0,345280.4029,25868153.95,0,66715671.97,1828361.766,0.001893431,48497120.48,9860266.077,38636854.41
 11/07  18:00:00,134483208.1,0,514825.2255,30170497.53,19285200,83933250.96,579434.3796,0.002513099,58678991.06,7733129.76,50945861.3
