Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,75783412.8405187,75783412.84051867,325048291.7385183 
 01/01  02:00:00,93015849.51491164,93015849.51491173,319554304.0229102 
 01/01  03:00:00,70346520.68584129,70346520.68584123,288286367.4609734 
 01/01  04:00:00,75356179.69770243,75356179.6977024,255919063.7516309 
 01/01  05:00:00,88631934.21863967,88631934.2186397,281580620.77775797 
 01/01  06:00:00,125897122.87769525,125897122.87769559,300569962.5579181 
 01/01  07:00:00,215489881.23670415,215489881.23670376,354117369.74948158 
 01/01  08:00:00,237046506.64750985,237046506.64750955,374133961.1384642 
 01/01  09:00:00,217983816.28175865,217983816.2817586,382180537.02721318 
 01/01  10:00:00,212314294.2472571,212314294.24725683,360149293.0035514 
 01/01  11:00:00,179554226.38813365,179554226.38813348,352372461.1379136 
 01/01  12:00:00,151297989.2576926,151297989.25769294,347286977.02355399 
 01/01  13:00:00,139822704.53649549,139822704.53649599,346345363.51546868 
 01/01  14:00:00,129874065.14435479,129874065.14435521,340212886.1901603 
 01/01  15:00:00,142742393.06377054,142742393.06377045,293322095.70606359 
 01/01  16:00:00,148169673.63614444,148169673.63614453,286804997.6481111 
 01/01  17:00:00,196123558.0028264,196123558.00282637,323556282.23234048 
 01/01  18:00:00,240240085.15570904,240240085.1557089,348997777.88911846 
 01/01  19:00:00,248534399.16188983,248534399.16188983,386235100.1189731 
 01/01  20:00:00,241162139.85656507,241162139.85656489,367427081.73953559 
 01/01  21:00:00,229333102.5432945,229333102.54329423,345469571.4909136 
 01/01  22:00:00,211585012.9041488,211585012.90414859,340656480.0905986 
 01/01  23:00:00,167482208.66820253,167482208.66820238,353773408.0623825 
 01/01  24:00:00,117967763.61944439,117967763.6194444,340076045.6126917 
 01/02  01:00:00,97327220.24188714,97327220.24188727,359386116.5604834 
 01/02  02:00:00,81734058.9116425,81734058.91164248,364012223.81704047 
 01/02  03:00:00,86190275.07827905,86190275.0782791,356705431.1590091 
 01/02  04:00:00,71863773.36834765,71863773.3683476,341795436.7193223 
