Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/21  20:00:00,148928897.4,0,10279583.91,44844053.7,19285200,71628391.33,2891668.42,0.002569321,51580653.44,0,51580653.44
 08/21  21:00:00,127727425,0,9069720.495,33074638.86,19285200,63729202.5,2568663.129,0.002089715,42143784.8,0,42143784.8
 08/21  22:00:00,99902437.45,0,6825001.503,21305224.02,19285200,50531492.12,1955519.815,0.001815654,36751288.43,0,36751288.43
 08/21  23:00:00,76692757.77,0,5281072.499,12745649.59,19285200,37863633.89,1517201.795,0.000993471,20573799.33,0,20573799.33
 08/21  24:00:00,61782465.06,0,4056547.96,9191897.701,19285200,28085665.77,1163153.626,0.000274061,6418496.367,0,6418496.367
 08/22  01:00:00,59101657.53,0,3626195.497,9191897.701,19285200,25966257.16,1032107.178,0.000137018,3721757.292,0,3721757.292
 08/22  02:00:00,57661047.37,0,3333787.258,9191897.701,19285200,24906552.85,943609.5624,3.42544E-05,1699899.529,0,1699899.529
 08/22  03:00:00,56512513.82,0,2848466.163,9191897.701,19285200,24376700.69,810249.2584,3.42544E-05,1699892.837,0,1699892.837
 08/22  04:00:00,63718866.03,0,2636878.894,13777384,19285200,27266590.8,752812.3271,0.000137018,3721538.592,0,3721538.592
 08/22  05:00:00,80691579.07,0,3128958.718,21687347.87,19285200,35695631.8,894440.6854,0.00092487,19220736.57,0,19220736.57
 08/22  06:00:00,85180239.93,0,4227020.944,23445117.62,3214200,53083565.93,1210335.431,0.003219916,64370617.43,0,64370617.43
 08/22  07:00:00,93062933.97,0,4678690.486,21649135.49,0,65388425.55,1346682.436,0.003425443,68413890.88,0,68413890.88
 08/22  08:00:00,90380343.36,0,4401642.874,15665446.93,0,67967412.13,2345841.418,0.003288425,65718375.25,0,65718375.25
 08/22  09:00:00,80715024.63,0,4839265.099,13640190.48,0,59827593.96,2407975.089,0.002877372,57631828.34,0,57631828.34
 08/22  10:00:00,71097634.24,0,5553649.175,13640190.48,0,49327737.83,2576056.747,0.002603337,52240797.07,0,52240797.07
 08/22  11:00:00,71867179.16,0,5750107.656,13640190.48,0,49857589.98,2619291.038,0.00208952,42132613.44,0,42132613.44
 08/22  12:00:00,71087401.04,0,5998207.12,13298350.38,0,49081841.7,2709001.836,0.001815485,36741582.17,0,36741582.17
 08/22  13:00:00,70345831.62,0,6224764.734,13640190.48,0,47738181.37,2742695.039,0.001609958,32698308.71,0,32698308.71
 08/22  14:00:00,69838216.99,0,6244973.396,13640190.48,0,47208329.21,2744723.899,0.001404432,28655035.26,0,28655035.26
 08/22  15:00:00,75057604.2,0,6483033.432,16964668.05,0,48797885.67,2812017.041,0.001609958,32698308.71,0,32698308.71
 08/22  16:00:00,103296995.4,0,7589126.365,25868153.95,0,66715671.97,3124043.161,0.001883994,38089339.99,0,38089339.99
 08/22  17:00:00,124904472.5,0,8422107.519,30170497.53,0,83933250.96,2378616.495,0.002500573,50219160.34,0,50219160.34
 08/22  18:00:00,133254208.7,0,9112559.377,38309735.72,0,83236545.25,2595368.319,0.002945881,58979586.16,0,58979586.16
 08/22  19:00:00,128529835.8,0,8118721.551,44309080.3,0,73747799.95,2354234.04,0.002808863,56284070.52,0,56284070.52
 08/22  20:00:00,145099058.7,0,7215404.469,44844053.7,19285200,71628391.33,2126009.146,0.002569082,51566918.16,0,51566918.16
 08/22  21:00:00,124607185.8,0,6574314.02,33074638.86,19285200,63729202.5,1943830.399,0.00208952,42132613.44,0,42132613.44
 08/22  22:00:00,98081963,0,5375892.239,21305224.02,19285200,50531492.12,1584154.628,0.001815485,36741582.17,0,36741582.17
 08/22  23:00:00,75127193.06,0,4045249.229,12745649.59,19285200,37863633.89,1187460.356,0.000993378,20568488.36,0,20568488.36
 08/22  24:00:00,60234638.3,0,2841393.017,9191897.701,19285200,28085665.77,830481.8085,0.000274035,6417031.271,0,6417031.271
