Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,128723738.27474292,128723738.27474284,309433047.4039848 
 01/04  17:00:00,163474678.82478477,163474678.82478438,304063350.1753767 
 01/04  18:00:00,210082408.73102213,210082408.73102165,300807075.2900542 
 01/04  19:00:00,222466857.24113605,222466857.2411356,301975255.6238241 
 01/04  20:00:00,213709517.35850588,213709517.35850556,285556268.56014648 
 01/04  21:00:00,203553259.72753067,203553259.7275303,304897039.9144486 
 01/04  22:00:00,182231604.1720124,182231604.17201216,328409970.0593388 
 01/04  23:00:00,148486148.94698645,148486148.94698615,341498787.9702806 
 01/04  24:00:00,101487612.34157427,101487612.34157431,334244129.8319967 
 01/05  01:00:00,80428588.18838874,80428588.18838865,333135912.46761968 
 01/05  02:00:00,64758352.084522638,64758352.08452256,330375241.8337877 
 01/05  03:00:00,69509040.4022598,69509040.40225977,330496522.7514932 
 01/05  04:00:00,62442151.70099092,62442151.70099084,322162175.3009669 
 01/05  05:00:00,71705068.06297496,71705068.06297484,313162575.95310929 
 01/05  06:00:00,108340276.71934285,108340276.71934277,324346091.50565686 
 01/05  07:00:00,182929975.3587783,182929975.35877798,334846602.40291818 
 01/05  08:00:00,211991707.23905844,211991707.23905815,351841297.14636448 
 01/05  09:00:00,207115579.64447285,207115579.64447246,346422358.2563181 
 01/05  10:00:00,176216737.87158127,176216737.87158097,311739567.7651243 
 01/05  11:00:00,158216228.40803377,158216228.40803356,293489850.65919366 
 01/05  12:00:00,134839023.9459353,134839023.94593523,264859902.1883424 
 01/05  13:00:00,132217746.87768193,132217746.87768179,249893732.41260017 
 01/05  14:00:00,130114759.52831635,130114759.5283161,249532836.6068626 
 01/05  15:00:00,122425129.73230262,122425129.73230247,241556962.10114769 
 01/05  16:00:00,126846603.74133393,126846603.74133393,260416001.80972583 
 01/05  17:00:00,161798442.42671619,161798442.42671586,259784701.6577274 
 01/05  18:00:00,208635688.38382788,208635688.38382746,263165852.14240075 
 01/05  19:00:00,220663186.08538897,220663186.08538864,254347415.7446561 
 01/05  20:00:00,212425495.32352574,212425495.32352523,251874094.50259728 
 01/05  21:00:00,201934055.52805553,201934055.52805508,262222375.91631419 
 01/05  22:00:00,179957286.48969079,179957286.48969049,268639225.4510142 
 01/05  23:00:00,146269055.9592552,146269055.9592548,282913675.81799688 
 01/05  24:00:00,104839527.60125849,104839527.60125853,286480835.8326709 
 01/06  01:00:00,72901386.23067846,72901386.23067838,268478785.9339644 
 01/06  02:00:00,63482809.75263057,63482809.75263056,297694640.12248429 
 01/06  03:00:00,67936896.83425147,67936896.83425148,289817214.63975617 
 01/06  04:00:00,60275483.58727465,60275483.58727464,265873913.8717624 
 01/06  05:00:00,60125897.51542977,60125897.51542968,315062979.3954636 
 01/06  06:00:00,119563765.78754053,119563765.78754045,300943781.3153212 
 01/06  07:00:00,180070419.81234489,180070419.81234456,271118371.41659668 
 01/06  08:00:00,211977278.31334067,211977278.31334026,293016271.26441147 
 01/06  09:00:00,189238935.11255396,189238935.1125536,286054626.3562528 
 01/06  10:00:00,188554036.58713157,188554036.5871311,266259496.5453595 
 01/06  11:00:00,154135255.53103883,154135255.53103853,219573590.91581143 
 01/06  12:00:00,132743871.37850996,132743871.37850984,194173602.63168545 
 01/06  13:00:00,129863452.61291586,129863452.61291571,187515887.81427349 
 01/06  14:00:00,126620569.41138695,126620569.41138673,130479834.97948012 
 01/06  15:00:00,116850615.42359489,116850615.42359476,110414841.33323275 
 01/06  16:00:00,122881065.13691172,122881065.13691142,149343930.50683785 
 01/06  17:00:00,157674504.3557935,157674504.35579343,145139781.8294267 
 01/06  18:00:00,206211844.1479861,206211844.14798583,195743326.00145615 
 01/06  19:00:00,219574236.6131398,219574236.61313943,222808058.62581594 
 01/06  20:00:00,211501355.09232129,211501355.0923209,224523831.8473463 
 01/06  21:00:00,200542386.96695564,200542386.9669553,222420209.77981843 
 01/06  22:00:00,178556159.25580285,178556159.25580258,231028581.95082636 
 01/06  23:00:00,146040010.89730413,146040010.89730374,271416182.1622063 
 01/06  24:00:00,106136650.17993969,106136650.17993966,276371367.6605311 
 01/07  01:00:00,77499343.6599097,77499343.6599096,287695671.6783422 
 01/07  02:00:00,58259175.54455275,58259175.544552657,294828829.4430238 
 01/07  03:00:00,65359696.70749116,65359696.707491058,301450485.7877438 
 01/07  04:00:00,65011223.507185999,65011223.50718594,304436172.278697 
 01/07  05:00:00,63187967.6649169,63187967.66491685,250067179.65792958 
 01/07  06:00:00,112720400.06017976,112720400.06017982,231109840.85606898 
 01/07  07:00:00,177550723.6937148,177550723.6937146,221958321.9298535 
 01/07  08:00:00,211808713.24286587,211808713.2428655,209692126.54180638 
 01/07  09:00:00,181599129.4922909,181599129.49229045,202848057.81079493 
 01/07  10:00:00,183517486.19426228,183517486.194262,190435945.84951473 
 01/07  11:00:00,139903894.17177627,139903894.1717759,169728002.925792 
 01/07  12:00:00,143392297.77101288,143392297.77101264,151588796.28733794 
 01/07  13:00:00,123022804.15769008,123022804.15769004,155492037.54787869 
 01/07  14:00:00,124986180.91618353,124986180.91618334,153122275.80177025 
 01/07  15:00:00,116032651.90513304,116032651.90513286,135892517.3980406 
 01/07  16:00:00,124252793.35138919,124252793.3513892,123339316.83705126 
 01/07  17:00:00,154297314.06958486,154297314.06958453,116642273.55054628 
 01/07  18:00:00,203747077.54947103,203747077.5494706,121187231.01786645 
 01/07  19:00:00,213120443.6312647,213120443.6312644,128643828.57946606 
 01/07  20:00:00,205229139.7029497,205229139.70294956,133932017.70519033 
 01/07  21:00:00,197298802.86633066,197298802.86633054,135378450.26119698 
 01/07  22:00:00,175607981.61259098,175607981.6125906,137515427.64290069 
 01/07  23:00:00,146884371.06725169,146884371.06725154,157510517.78308723 
 01/07  24:00:00,96616460.3694497,96616460.36944968,159245700.35558493 
 01/08  01:00:00,75238883.35351554,75238883.35351545,186413188.59945543 
 01/08  02:00:00,54231004.57065786,54231004.57065777,234865773.85431988 
 01/08  03:00:00,59361546.1336779,59361546.133677918,220156923.6817455 
 01/08  04:00:00,63682442.08333934,63682442.08333935,189065646.8556103 
 01/08  05:00:00,62912125.619663957,62912125.61966397,196962770.3118596 
 01/08  06:00:00,109414897.10924326,109414897.10924329,200433825.4220542 
 01/08  07:00:00,176955377.38825045,176955377.38825009,199222173.9797644 
 01/08  08:00:00,211729640.460182,211729640.46018163,206660882.45861484 
 01/08  09:00:00,181888099.2641486,181888099.26414825,214637544.59057249 
 01/08  10:00:00,180772146.16769795,180772146.16769777,187063527.95457227 
 01/08  11:00:00,140726203.85660256,140726203.85660223,187271320.88066934 
 01/08  12:00:00,150126511.85430403,150126511.8543039,189662576.36619149 
 01/08  13:00:00,127741724.27311377,127741724.27311376,182543415.0366156 
 01/08  14:00:00,118889819.7404352,118889819.74043522,174647562.99449194 
 01/08  15:00:00,117235530.93903418,117235530.93903387,170806924.76082588 
 01/08  16:00:00,128606572.03401804,128606572.0340181,176605728.6901868 
 01/08  17:00:00,157507839.61481936,157507839.61481918,213820988.61866237 
 01/08  18:00:00,207784344.95287923,207784344.95287896,243959912.2813647 
 01/08  19:00:00,219993702.73559819,219993702.73559789,239569817.07373355 
 01/08  20:00:00,204238978.47571618,204238978.4757159,241626969.74655874 
 01/08  21:00:00,208218094.62109796,208218094.62109763,255798426.81538499 
 01/08  22:00:00,178773416.1579767,178773416.1579764,264635498.60087879 
 01/08  23:00:00,147986600.5612484,147986600.56124825,278468815.6647974 
 01/08  24:00:00,98853948.9234172,98853948.92341724,273058902.2292055 
