Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,91453737.46,91453737.46,0
 01/01  02:00:00,89479516.82,89479516.82,0
 01/01  03:00:00,90033530.51,90033530.51,0
 01/01  04:00:00,73046003.19,73046003.19,0
 01/01  05:00:00,84843377.06,84843377.06,0
 01/01  06:00:00,113237486.2,113237486.2,0
 01/01  07:00:00,164126212.9,164126212.9,0
 01/01  08:00:00,196435219.3,196435219.3,0
 01/01  09:00:00,195995209.9,195995209.9,0
 01/01  10:00:00,205323024.7,205323024.7,0
 01/01  11:00:00,197482955.6,197482955.6,0
 01/01  12:00:00,189461827.8,189461827.8,0
 01/01  13:00:00,198007390.2,198007390.2,0
 01/01  14:00:00,185239480.6,185239480.6,0
 01/01  15:00:00,184893476.9,184893476.9,0
 01/01  16:00:00,187002360.5,187002360.5,0
 01/01  17:00:00,227011014.3,227011014.3,0
 01/01  18:00:00,236066634.2,236066634.2,0
 01/01  19:00:00,261110313.9,261110313.9,0
 01/01  20:00:00,240052689.5,240052689.5,0
 01/01  21:00:00,232416597.8,232416597.8,0
 01/01  22:00:00,213594419.9,213594419.9,0
 01/01  23:00:00,173729750.1,173729750.1,0
 01/01  24:00:00,133487361,133487361,0
 01/02  01:00:00,103088491.2,103088491.2,0
 01/02  02:00:00,103580829,103580829,0
 01/02  03:00:00,86885076.04,86885076.04,0
 01/02  04:00:00,92255276.55,92255276.55,0
 01/02  05:00:00,104136396.7,104136396.7,0
 01/02  06:00:00,134242324.3,134242324.3,0
 01/02  07:00:00,183305883,183305883,0
 01/02  08:00:00,199075963.4,199075963.4,0
 01/02  09:00:00,204371669.1,204371669.1,0
 01/02  10:00:00,200794628.4,200794628.4,0
 01/02  11:00:00,207480329.7,207480329.7,0
 01/02  12:00:00,194854675,194854675,0
 01/02  13:00:00,191762102.2,191762102.2,0
 01/02  14:00:00,183988155.4,183988155.4,0
 01/02  15:00:00,180818630.4,180818630.4,0
 01/02  16:00:00,192791562.8,192791562.8,0
 01/02  17:00:00,206726692,206726692,0
 01/02  18:00:00,248629708.3,248629708.3,0
 01/02  19:00:00,250591107.2,250591107.2,0
 01/02  20:00:00,249847721.2,249847721.2,0
 01/02  21:00:00,239628251.8,239628251.8,0
 01/02  22:00:00,206674500.9,206674500.9,0
 01/02  23:00:00,182925630.8,182925630.8,0
 01/02  24:00:00,129452420,129452420,0
 01/03  01:00:00,109822111.2,109822111.2,0
 01/03  02:00:00,99109379.63,99109379.63,0
 01/03  03:00:00,103210804.6,103210804.6,0
 01/03  04:00:00,87947570.87,87947570.87,0
 01/03  05:00:00,98737618.43,98737618.43,0
 01/03  06:00:00,127668619.3,127668619.3,0
 01/03  07:00:00,182511345.8,182511345.8,0
 01/03  08:00:00,212305121.7,212305121.7,0
 01/03  09:00:00,209588731.9,209588731.9,0
 01/03  10:00:00,212364911.4,212364911.4,0
 01/03  11:00:00,207255649.5,207255649.5,0
 01/03  12:00:00,199012249.7,199012249.7,0
 01/03  13:00:00,205374132.6,205374132.6,0
 01/03  14:00:00,190775309.3,190775309.3,0
 01/03  15:00:00,190561633.5,190561633.5,0
 01/03  16:00:00,199371385.2,199371385.2,0
 01/03  17:00:00,224283195.5,224283195.5,0
 01/03  18:00:00,238013112,238013112,0
 01/03  19:00:00,264886001.6,264886001.6,0
 01/03  20:00:00,242492616.5,242492616.5,0
 01/03  21:00:00,240526190.9,240526190.9,0
 01/03  22:00:00,203010877.1,203010877.1,0
 01/03  23:00:00,169405814.8,169405814.8,0
 01/03  24:00:00,129831040.7,129831040.7,0
 01/04  01:00:00,99600654.25,99600654.25,0
 01/04  02:00:00,102331913.6,102331913.6,0
 01/04  03:00:00,94859699.64,94859699.64,0
 01/04  04:00:00,84065736.88,84065736.88,0
 01/04  05:00:00,98437524.13,98437524.13,0
 01/04  06:00:00,126877751.7,126877751.7,0
 01/04  07:00:00,170261629.7,170261629.7,0
 01/04  08:00:00,188220896.6,188220896.6,0
 01/04  09:00:00,206660282.1,206660282.1,0
 01/04  10:00:00,207637226.1,207637226.1,0
 01/04  11:00:00,214663391.3,214663391.3,0
 01/04  12:00:00,202089866.8,202089866.8,0
 01/04  13:00:00,195892515.8,195892515.8,0
 01/04  14:00:00,191024235.6,191024235.6,0
 01/04  15:00:00,189586536.4,189586536.4,0
 01/04  16:00:00,200457538.1,200457538.1,0
 01/04  17:00:00,215797530.6,215797530.6,0
 01/04  18:00:00,250296504.9,250296504.9,0
 01/04  19:00:00,256699847.2,256699847.2,0
 01/04  20:00:00,250853934.6,250853934.6,0
 01/04  21:00:00,234854630.2,234854630.2,0
 01/04  22:00:00,199690047.2,199690047.2,0
 01/04  23:00:00,175130816.2,175130816.2,0
 01/04  24:00:00,123765754.2,123765754.2,0
 01/05  01:00:00,101793259.6,101793259.6,0
 01/05  02:00:00,88875451.94,88875451.94,0
 01/05  03:00:00,90744907.62,90744907.62,0
 01/05  04:00:00,81362721.52,81362721.52,0
 01/05  05:00:00,76723163.81,76723163.81,0
 01/05  06:00:00,110553348.8,110553348.8,0
 01/05  07:00:00,160779308,160779308,0
 01/05  08:00:00,192908490.7,192908490.7,0
 01/05  09:00:00,196027113.9,196027113.9,0
 01/05  10:00:00,202996734.9,202996734.9,0
 01/05  11:00:00,199661624.7,199661624.7,0
 01/05  12:00:00,188977317.6,188977317.6,0
 01/05  13:00:00,188488086.1,188488086.1,0
 01/05  14:00:00,188628994.7,188628994.7,0
 01/05  15:00:00,179074876.8,179074876.8,0
 01/05  16:00:00,182897155.1,182897155.1,0
 01/05  17:00:00,214922101,214922101,0
 01/05  18:00:00,230288263.9,230288263.9,0
 01/05  19:00:00,259048593.1,259048593.1,0
 01/05  20:00:00,245249724.8,245249724.8,0
 01/05  21:00:00,233401698.5,233401698.5,0
 01/05  22:00:00,206459167.8,206459167.8,0
 01/05  23:00:00,166249421,166249421,0
 01/05  24:00:00,127352493.4,127352493.4,0
 01/06  01:00:00,94776992.84,94776992.84,0
 01/06  02:00:00,94647851.73,94647851.73,0
 01/06  03:00:00,85152791.69,85152791.69,0
 01/06  04:00:00,76894247.18,76894247.18,0
 01/06  05:00:00,100145215.4,100145215.4,0
 01/06  06:00:00,112932761.3,112932761.3,0
 01/06  07:00:00,160880310,160880310,0
 01/06  08:00:00,186353949.1,186353949.1,0
 01/06  09:00:00,198452183.6,198452183.6,0
 01/06  10:00:00,202460752.9,202460752.9,0
 01/06  11:00:00,190733693.2,190733693.2,0
 01/06  12:00:00,202371066.4,202371066.4,0
 01/06  13:00:00,186588488.5,186588488.5,0
 01/06  14:00:00,185766243.6,185766243.6,0
 01/06  15:00:00,181862857.7,181862857.7,0
 01/06  16:00:00,193129296.7,193129296.7,0
 01/06  17:00:00,212176298.4,212176298.4,0
 01/06  18:00:00,243447760.2,243447760.2,0
 01/06  19:00:00,255400553.9,255400553.9,0
 01/06  20:00:00,234880521.8,234880521.8,0
 01/06  21:00:00,229765249.3,229765249.3,0
 01/06  22:00:00,195533786.6,195533786.6,0
 01/06  23:00:00,177180156.6,177180156.6,0
 01/06  24:00:00,115663656.8,115663656.8,0
 01/07  01:00:00,105016042.4,105016042.4,0
 01/07  02:00:00,77308884.52,77308884.52,0
 01/07  03:00:00,85341570.79,85341570.79,0
 01/07  04:00:00,75710550.03,75710550.03,0
 01/07  05:00:00,73307251.37,73307251.37,0
 01/07  06:00:00,115785695,115785695,0
 01/07  07:00:00,157388042.3,157388042.3,0
 01/07  08:00:00,183618097.6,183618097.6,0
 01/07  09:00:00,182472024,182472024,0
 01/07  10:00:00,185713253.7,185713253.7,0
 01/07  11:00:00,196694138.7,196694138.7,0
 01/07  12:00:00,175996590,175996590,0
 01/07  13:00:00,197239443.1,197239443.1,0
 01/07  14:00:00,180618213.6,180618213.6,0
 01/07  15:00:00,180806450,180806450,0
 01/07  16:00:00,182647181.6,182647181.6,0
 01/07  17:00:00,213241982.3,213241982.3,0
 01/07  18:00:00,235548483.1,235548483.1,0
 01/07  19:00:00,249919557.1,249919557.1,0
 01/07  20:00:00,244501225.1,244501225.1,0
 01/07  21:00:00,228658238.5,228658238.5,0
 01/07  22:00:00,205566893.3,205566893.3,0
 01/07  23:00:00,157494765.7,157494765.7,0
 01/07  24:00:00,129903077.5,129903077.5,0
 01/08  01:00:00,82902642.07,82902642.07,0
 01/08  02:00:00,99012721.67,99012721.67,0
 01/08  03:00:00,77763471.82,77763471.82,0
 01/08  04:00:00,77368355.04,77368355.04,0
 01/08  05:00:00,104239015.2,104239015.2,0
 01/08  06:00:00,121184887.2,121184887.2,0
 01/08  07:00:00,177746643.8,177746643.8,0
 01/08  08:00:00,196226441.8,196226441.8,0
 01/08  09:00:00,196416614.4,196416614.4,0
 01/08  10:00:00,198841691.7,198841691.7,0
 01/08  11:00:00,188583933.7,188583933.7,0
 01/08  12:00:00,190479581.8,190479581.8,0
 01/08  13:00:00,170605777.9,170605777.9,0
 01/08  14:00:00,165254604.2,165254604.2,0
 01/08  15:00:00,165393860.2,165393860.2,0
 01/08  16:00:00,180923738.7,180923738.7,0
 01/08  17:00:00,178422452.1,178422452.1,0
 01/08  18:00:00,226446325.9,226446325.9,0
 01/08  19:00:00,247844055.5,247844055.5,0
 01/08  20:00:00,231332402.6,231332402.6,0
 01/08  21:00:00,231804822.6,231804822.6,0
 01/08  22:00:00,183093489,183093489,0
 01/08  23:00:00,177837081,177837081,0
 01/08  24:00:00,110892457.1,110892457.1,0
 01/09  01:00:00,102656107.5,102656107.5,0
 01/09  02:00:00,75038730.64,75038730.64,0
 01/09  03:00:00,90738898.96,90738898.96,0
 01/09  04:00:00,70549547.71,70549547.71,0
 01/09  05:00:00,78477418.34,78477418.34,0
 01/09  06:00:00,121119535.7,121119535.7,0
 01/09  07:00:00,163982434.8,163982434.8,0
 01/09  08:00:00,191171570.7,191171570.7,0
 01/09  09:00:00,194542943.9,194542943.9,0
 01/09  10:00:00,197327474.7,197327474.7,0
 01/09  11:00:00,197644798.4,197644798.4,0
 01/09  12:00:00,175669572.1,175669572.1,0
 01/09  13:00:00,188662546.2,188662546.2,0
 01/09  14:00:00,170169750.5,170169750.5,0
 01/09  15:00:00,170689902.9,170689902.9,0
 01/09  16:00:00,171565756.6,171565756.6,0
 01/09  17:00:00,211396488.9,211396488.9,0
 01/09  18:00:00,216604555,216604555,0
 01/09  19:00:00,242680104,242680104,0
 01/09  20:00:00,229983368.7,229983368.7,0
 01/09  21:00:00,220115232.7,220115232.7,0
 01/09  22:00:00,196264139.7,196264139.7,0
 01/09  23:00:00,151265633.1,151265633.1,0
 01/09  24:00:00,125998012.1,125998012.1,0
 01/10  01:00:00,80757962.11,80757962.11,0
 01/10  02:00:00,97055831.44,97055831.44,0
 01/10  03:00:00,73583755.63,73583755.63,0
 01/10  04:00:00,77976943.9,77976943.9,0
