Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  17:00:00,1671212.24,135674271.2,470530711.2
 01/05  18:00:00,2216295.496,161443823.9,491932867.4
 01/05  19:00:00,2564681.106,169332172.8,505829026
 01/05  20:00:00,3071082.279,167159944.7,527163377.9
 01/05  21:00:00,3725375.661,167233902,552155886.4
 01/05  22:00:00,4428682.69,149343783.2,573979884.8
 01/05  23:00:00,4848129.39,125740026.6,595480842.2
 01/05  24:00:00,5392002.672,106207795.9,611128890.6
 01/06  01:00:00,6188519.747,95147704.81,639774094.3
 01/06  02:00:00,6619552.523,94178206.27,658248789.6
 01/06  03:00:00,7114111.246,94372955.79,679474946.7
 01/06  04:00:00,8040017.539,96104969.03,722476683
 01/06  05:00:00,8552924.254,104784800.5,746985289.4
 01/06  06:00:00,8810269.396,121530813.5,769941409.2
 01/06  07:00:00,9014306.533,140763457,818931375.8
 01/06  08:00:00,9221937.319,136461506.2,836396018.4
 01/06  09:00:00,8736408.841,128050805.4,813328643.8
 01/06  10:00:00,8107252.327,116220845.6,766972398.9
 01/06  11:00:00,7596062.693,104208701.2,727271599.7
 01/06  12:00:00,7000332.625,103496434.8,693267456.4
 01/06  13:00:00,6892376.513,101771526,682841259
 01/06  14:00:00,6806691.465,101180465.4,681307038
 01/06  15:00:00,6776047.643,100679558.4,678397659.5
 01/06  16:00:00,6976910.781,106164674.1,695339454.1
 01/06  17:00:00,7857723.73,150374064.8,737220251.3
 01/06  18:00:00,8853593.532,177453774.2,783405343.9
 01/06  19:00:00,9711721.508,186350400.5,816308288.6
 01/06  20:00:00,10194404.66,184221900.7,841250901.1
 01/06  21:00:00,10881211.76,184382980,870545627
 01/06  22:00:00,11272184.06,165822536.4,882067101.3
 01/06  23:00:00,11210560.68,141150323.3,884411490.3
 01/06  24:00:00,11722328.88,121550924.9,900681267.8
 01/07  01:00:00,12215276.33,109736413.8,916673727.2
 01/07  02:00:00,12563984.78,108550763.6,932018956.3
 01/07  03:00:00,13036545.05,108678663.2,953336110.4
 01/07  04:00:00,13526671.92,109385918.1,978296343.2
 01/07  05:00:00,13950079.67,117827300.7,999278016.2
 01/07  06:00:00,14519188.55,135275368.2,1037097752
 01/07  07:00:00,15058290.33,155255132.1,1101554854
 01/07  08:00:00,14759502.49,148694073.5,1085808817
 01/07  09:00:00,12952646.64,128831641.5,999911632.1
 01/07  10:00:00,11198243.97,114178164.5,898376269.1
 01/07  11:00:00,10070257.33,100356440.4,820363191.5
 01/07  12:00:00,9447843.784,98953547.16,767956203.9
 01/07  13:00:00,8789809.079,96736271.97,729785454
 01/07  14:00:00,8021928.852,93527183.46,698344218.4
 01/07  15:00:00,7584190.016,92421597.79,690380981.8
 01/07  16:00:00,7576577.332,97821112.26,711311210.1
 01/07  17:00:00,8630789.498,138916131,770086463.7
 01/07  18:00:00,9641974.835,178397809.3,812893597.4
 01/07  19:00:00,10460645.53,188201558.7,851705778.2
 01/07  20:00:00,11002727.61,186180533.6,878458452.7
 01/07  21:00:00,11542274.48,186023303,901722318.9
 01/07  22:00:00,12228015.79,168149785.9,926875889
 01/07  23:00:00,12415371.44,144020786,939757255.1
 01/07  24:00:00,12721651.89,123901824.2,945604574.9
 01/08  01:00:00,13480626.47,112706386.9,974404941.2
 01/08  02:00:00,13942931.41,111782305.4,995173984.5
 01/08  03:00:00,14111920.38,111193850.9,1001855856
 01/08  04:00:00,14272395.06,111077682.5,1009395086
 01/08  05:00:00,14599769.55,119272442.6,1025061892
 01/08  06:00:00,14820083.33,135888750.5,1045662510
 01/08  07:00:00,14858337.99,154662544.6,1085250970
 01/08  08:00:00,14550711.93,148071441.9,1069213730
 01/08  09:00:00,12641460.49,127937121,978557581.3
 01/08  10:00:00,10565337.48,112599403,865104790.7
 01/08  11:00:00,9290490.756,98501495.16,783615467.7
 01/08  12:00:00,8442321.866,96671754.1,725040113.9
 01/08  13:00:00,7446830.91,93692200.77,673647036.2
 01/08  14:00:00,6516947.8,90098877.32,635706156.6
 01/08  15:00:00,5703246.193,88060417.39,610125125.9
 01/08  16:00:00,5201444.878,92256938.01,608416461.9
 01/08  17:00:00,5477539.422,131410899.8,629081957.1
 01/08  18:00:00,5832648.036,169346144.4,642560495.4
 01/08  19:00:00,5890292.17,177299887.1,645673030.3
 01/08  20:00:00,5759813.749,173659524.7,641220999.8
 01/08  21:00:00,5543527.347,171692210.1,629665601.3
 01/08  22:00:00,5529791.732,152136941,621780954.9
 01/08  23:00:00,5494980.365,127487766.9,624650931.9
 01/08  24:00:00,5696483.834,107117281.9,624794068.5
 01/09  01:00:00,5944379.336,94710015.07,628281556.4
 01/09  02:00:00,6026362.604,92923458.22,632227898.9
 01/09  03:00:00,5897741.165,91639596.37,626173083.3
 01/09  04:00:00,5797848.181,90916591.51,622900934
 01/09  05:00:00,5799837.9,98360856.57,624352181
 01/09  06:00:00,5769599.269,114398231.2,634620055.5
 01/09  07:00:00,5575970.176,132653632.3,666431627.8
 01/09  08:00:00,5402766.496,127499378,669091173.9
 01/09  09:00:00,4535243.173,118397711.3,637329141.5
 01/09  10:00:00,3335914.139,105374964,572784070.4
 01/09  11:00:00,2471504.693,92620385.97,523169509.3
 01/09  12:00:00,1363595.77,90294657.88,458437367.6
