Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 07/20  01:00:00,102516297.1,0,39580737.71,9191897.701,19285200,25966257.16,8492204.542,0.00012481,3123536.832,0,3123536.832
 07/20  02:00:00,95450648.65,0,34556338.25,9191897.701,19285200,24906552.85,7510659.854,3.12027E-05,1550179.987,0,1550179.987
 07/20  03:00:00,90010084.35,0,30451061.57,9191897.701,19285200,24376700.69,6705224.384,3.12027E-05,1550142.599,0,1550142.599
 07/20  04:00:00,94446440.37,0,27900419.72,13777384,19285200,27266590.8,6216845.849,0.000124811,3122376.227,0,3122376.227
 07/20  05:00:00,100741306.1,0,27512777.87,21687347.87,9642600,35695631.8,6202948.606,0.000842474,15175545.88,0,15175545.88
 07/20  06:00:00,115467088.4,0,31793131.16,23445117.62,0,53083565.93,7145273.724,0.002933057,50287212.38,0,50287212.38
 07/20  07:00:00,131889638.6,0,36755406.72,21649135.49,0,65388425.55,8096670.82,0.003120273,53431545.08,0,53431545.08
 07/20  08:00:00,135928274.5,0,42830301.47,15665446.93,0,67967412.13,9465113.991,0.002995462,51335323.28,0,51335323.28
 07/20  09:00:00,131160589.8,0,47439776.55,13640190.48,0,59827593.96,10253028.77,0.002621029,45046657.87,0,45046657.87
 07/20  10:00:00,126644398.6,0,52593054.71,13640190.48,0,49327737.83,11083415.57,0.002371408,40854214.26,0,40854214.26
 07/20  11:00:00,131702793.2,0,56558740.87,13640190.48,0,49857589.98,11646271.89,0.001903367,32993382.5,0,32993382.5
 07/20  12:00:00,132209550.7,0,57954442.71,13298350.38,0,49081841.7,11874915.95,0.001653745,28800938.89,0,28800938.89
 07/20  13:00:00,131031146.9,0,57789750.76,13640190.48,0,47738181.37,11863024.27,0.001466528,25656606.19,0,25656606.19
 07/20  14:00:00,131091269.7,0,58305340.25,13640190.48,0,47208329.21,11937409.75,0.001279312,22512273.48,0,22512273.48
 07/20  15:00:00,138572553.3,0,60466299.47,16964668.05,0,48797885.67,12343700.15,0.001466528,25656606.19,0,25656606.19
 07/20  16:00:00,169483841.8,0,63809271.26,25868153.95,0,66715671.97,13090744.6,0.00171615,29849049.8,0,29849049.8
 07/20  17:00:00,190093275.4,0,63177625.83,30170497.53,0,83933250.96,12811901.1,0.002277799,39282047.91,0,39282047.91
