Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,76127425.320274,76127425.32027394,353743664.58577308 
 01/01  02:00:00,93387935.39657197,93387935.39657206,348524447.36387118 
 01/01  03:00:00,70831368.07646692,70831368.07646686,318027283.4627456 
 01/01  04:00:00,75945897.07554794,75945897.07554789,286181330.7556888 
 01/01  05:00:00,89125391.80476187,89125391.8047619,311107263.4954139 
 01/01  06:00:00,126321399.4679367,126321399.467937,329577528.655692 
 01/01  07:00:00,215843951.4006023,215843951.40060196,384714797.05995199 
 01/01  08:00:00,237234924.3605924,237234924.36059214,401813608.61561408 
 01/01  09:00:00,218295657.93563593,218295657.93563593,413669508.8556765 
 01/01  10:00:00,212464204.84371997,212464204.8437197,386247454.6610781 
 01/01  11:00:00,179876520.22445623,179876520.22445599,382464735.6642971 
 01/01  12:00:00,151641305.91026149,151641305.91026176,377471185.9120238 
 01/01  13:00:00,140168442.79737563,140168442.79737617,376568533.9606094 
 01/01  14:00:00,130243628.26212111,130243628.26212152,370662810.47717776 
 01/01  15:00:00,143285945.19888897,143285945.19888885,325158666.04097399 
 01/01  16:00:00,148732686.02683766,148732686.0268377,318762611.1993524 
 01/01  17:00:00,196539105.9740979,196539105.9740979,354300759.91637089 
 01/01  18:00:00,240593035.0254956,240593035.0254955,379629703.4068947 
 01/01  19:00:00,248821383.8263431,248821383.8263429,417909687.4068253 
 01/01  20:00:00,241261124.70189379,241261124.70189358,393297666.8236421 
 01/01  21:00:00,229633942.5892075,229633942.58920727,375182125.58472409 
 01/01  22:00:00,211909381.56492193,211909381.56492166,370569174.7837531 
 01/01  23:00:00,168018713.40454159,168018713.40454159,390057165.89090499 
 01/01  24:00:00,118294591.27906361,118294591.27906366,369604592.7840964 
 01/02  01:00:00,97543984.9740383,97543984.97403848,387161929.06849858 
 01/02  02:00:00,81941992.84156975,81941992.84156975,391808709.41039928 
 01/02  03:00:00,86428926.44057872,86428926.44057876,384754847.3041667 
 01/02  04:00:00,72159863.81092859,72159863.81092853,370283406.42127159 
 01/02  05:00:00,97733037.38791666,97733037.3879168,354187199.23193028 
 01/02  06:00:00,118439494.04205622,118439494.04205626,312590278.1065153 
 01/02  07:00:00,222509009.72832213,222509009.72832174,352758956.4741647 
 01/02  08:00:00,222372632.89304633,222372632.89304624,376792579.03869989 
 01/02  09:00:00,224052777.44153846,224052777.44153819,406761247.3831708 
 01/02  10:00:00,200778176.42047108,200778176.4204708,440716041.8240708 
 01/02  11:00:00,191421401.2482605,191421401.24826024,483278136.67033359 
 01/02  12:00:00,162434398.2886402,162434398.2886406,501701452.25424829 
 01/02  13:00:00,144511413.47486035,144511413.47486053,490302686.7337296 
 01/02  14:00:00,140201757.978065,140201757.97806514,438279592.69474986 
 01/02  15:00:00,138678182.67930789,138678182.67930795,398109797.4458054 
 01/02  16:00:00,158703244.67396,158703244.6739605,388056575.66712889 
 01/02  17:00:00,185201143.00406037,185201143.0040606,413449550.1724918 
 01/02  18:00:00,235399978.0838827,235399978.0838827,447045476.12704536 
 01/02  19:00:00,260790432.20911259,260790432.2091124,373220057.5864916 
 01/02  20:00:00,239567540.05370999,239567540.0537097,351094509.85105916 
 01/02  21:00:00,234509899.7184404,234509899.71844016,386967584.2652749 
 01/02  22:00:00,196462742.12493689,196462742.12493689,388766045.9140928 
 01/02  23:00:00,179113702.62853096,179113702.6285307,380231077.3002829 
 01/02  24:00:00,118755975.60088745,118755975.60088748,318343465.4576521 
 01/03  01:00:00,92817690.83555298,92817690.835553,329966090.81696596 
 01/03  02:00:00,79757992.52970724,79757992.52970726,337249315.4867092 
 01/03  03:00:00,84705862.73773438,84705862.73773445,342398573.745107 
 01/03  04:00:00,77964974.5237447,77964974.52374466,342410355.06756797 
 01/03  05:00:00,77261333.57281962,77261333.57281955,346927641.53976777 
 01/03  06:00:00,140297863.1550353,140297863.1550355,352054541.136843 
