Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,68369841.73135698,68369841.73135694,36547838.99049831 
 01/01  02:00:00,72810605.97659251,72810605.9765925,37239428.76699017 
 01/01  03:00:00,78018363.61453742,78018363.61453748,40943266.380487639 
 01/01  04:00:00,65253474.4360074,65253474.43600735,46527930.23948775 
 01/01  05:00:00,91834144.09468283,91834144.09468287,54539895.791737567 
 01/01  06:00:00,114140699.41064596,114140699.41064602,60924192.35728551 
 01/01  07:00:00,166467449.93430535,166467449.93430535,69725450.54243595 
 01/01  08:00:00,188896397.22394485,188896397.22394497,75609619.8270418 
 01/01  09:00:00,175800542.33940283,175800542.33940254,55797741.16735936 
 01/01  10:00:00,143782660.60168449,143782660.6016848,20584976.19303999 
 01/01  11:00:00,130267104.99911127,130267104.99911142,7990568.6498888269 
 01/01  12:00:00,139327114.95847265,139327114.95847295,835227.8749871565 
 01/01  13:00:00,133981016.97830029,133981016.97830037,38637.811402744 
 01/01  14:00:00,124630126.3475336,124630126.34753384,0.0 
 01/01  15:00:00,127924441.4514907,127924441.45149094,0.0 
 01/01  16:00:00,130009970.20304105,130009970.20304138,0.0 
 01/01  17:00:00,160003379.2401374,160003379.2401379,0.0 
 01/01  18:00:00,204330639.99019666,204330639.9901966,13721.983365250228 
 01/01  19:00:00,210011157.4326136,210011157.43261344,0.0 
 01/01  20:00:00,211214370.51676668,211214370.51676656,54446.8269951914 
 01/01  21:00:00,198200072.90901817,198200072.90901829,1944281.2065964959 
 01/01  22:00:00,171011697.98227865,171011697.98227916,5855010.163915883 
 01/01  23:00:00,141379148.623127,141379148.62312753,15531056.055992838 
 01/01  24:00:00,105218785.1334179,105218785.13341809,28995224.07073068 
 01/02  01:00:00,87724002.82333754,87724002.82333759,44728381.11609555 
 01/02  02:00:00,73189031.5922981,73189031.59229808,54823293.22734309 
 01/02  03:00:00,77858728.73635167,77858728.73635161,61211681.6854954 
 01/02  04:00:00,71906988.97199707,71906988.97199703,67830227.81270243 
 01/02  05:00:00,80885970.11275214,80885970.1127521,69872044.90478739 
 01/02  06:00:00,112946654.33469895,112946654.33469919,73618654.6258507 
