Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 04/30  17:00:00,163874242.6,0,41512585.63,30170497.53,0,83236545.25,8954614.141,0.00182492,24644443.89,0,24644443.89
 04/30  18:00:00,173750163.3,0,42832286.55,38309735.72,0,83236545.25,9371595.747,0.002149906,28850468.14,0,28850468.14
 04/30  19:00:00,172800192.8,0,39564625.19,44309080.3,6428400,73747799.95,8750287.363,0.00204991,27556306.83,0,27556306.83
 04/30  20:00:00,180303637.4,0,36473848.78,44844053.7,19285200,71628391.33,8072143.565,0.001874918,25291524.54,0,25291524.54
 04/30  21:00:00,156115646.8,0,32734531.74,33074638.86,19285200,63729202.5,7292073.738,0.001524933,20761959.96,0,20761959.96
 04/30  22:00:00,124930491,0,27613982.84,21305224.02,19285200,50531492.12,6194592.047,0.001324942,18173637.34,0,18173637.34
 04/30  23:00:00,98468868.66,0,23321398.86,12745649.59,19285200,37863633.89,5252986.317,0.000724968,10408669.49,0,10408669.49
 04/30  24:00:00,80558027.41,0,19571390.74,9191897.701,19285200,28085665.77,4423873.196,0.000199991,3614322.618,0,3614322.618
 05/01  01:00:00,74904291.24,0,16670455.15,9191897.701,19285200,25966257.16,3790481.232,9.98279E-05,2317189.492,0,2317189.492
 05/01  02:00:00,70911437.27,0,14264776.81,9191897.701,19285200,24906552.85,3263009.908,2.49571E-05,1348640.713,0,1348640.713
 05/01  03:00:00,68267141.68,0,12531649.39,9191897.701,19285200,24376700.69,2881693.896,2.49571E-05,1348606.745,0,1348606.745
 05/01  04:00:00,74737141.26,0,11705426.87,13777384,19285200,27266590.8,2702539.581,9.98285E-05,2316227.369,0,2316227.369
 05/01  05:00:00,91550888.69,0,12075217.31,21687347.87,19285200,35695631.8,2807491.708,0.000673843,9733699.413,0,9733699.413
 05/01  06:00:00,107161853.9,0,14413853.85,23445117.62,12856800,53083565.93,3362516.446,0.002345974,31341346.1,0,31341346.1
 05/01  07:00:00,109772497.4,0,18487687.44,21649135.49,0,65388425.55,4247248.864,0.002495717,33276368.14,0,33276368.14
 05/01  08:00:00,115967314.7,0,26170990.69,15665446.93,0,67967412.13,6163464.897,0.002395888,31986353.41,0,31986353.41
 05/01  09:00:00,118232487.8,0,36709764.86,13640190.48,0,59827593.96,8054938.508,0.002096402,28116309.24,0,28116309.24
 05/01  10:00:00,121366699.2,0,48410806.02,13640190.48,0,49327737.83,9987964.856,0.001896745,25536279.78,0,25536279.78
 05/01  11:00:00,133026656.3,0,58018532.97,13640190.48,0,49857589.98,11510342.87,0.001522387,20698724.56,0,20698724.56
 05/01  12:00:00,141498429.5,0,66235581.95,13298350.38,0,49081841.7,12882655.51,0.00132273,18118695.11,0,18118695.11
 05/01  13:00:00,145119140.1,0,70250132.65,13640190.48,0,47738181.37,13490635.65,0.001172987,16183673.02,0,16183673.02
 05/01  14:00:00,143590223,0,69325475.85,13640190.48,0,47208329.21,13416227.45,0.001023244,14248650.94,0,14248650.94
 05/01  15:00:00,149712475,0,70171013.85,16964668.05,0,48797885.67,13778907.46,0.001172987,16183673.02,0,16183673.02
 05/01  16:00:00,179964026.8,0,72879764.17,25868153.95,0,66715671.97,14500436.75,0.001372644,18763702.48,0,18763702.48
 05/01  17:00:00,201597619,0,73164218.93,30170497.53,0,83933250.96,14329651.56,0.001821873,24568768.74,0,24568768.74
 05/01  18:00:00,208593248.4,0,72581738.45,38309735.72,0,83236545.25,14465228.96,0.002146317,28761316.6,0,28761316.6
 05/01  19:00:00,200842454.3,0,63337348.3,44309080.3,6428400,73747799.95,13019825.77,0.002046488,27471301.87,0,27471301.87
 05/01  20:00:00,201755634.9,0,54476739.78,44844053.7,19285200,71628391.33,11521250.12,0.001871788,25213776.1,0,25213776.1
 05/01  21:00:00,174649712.3,0,48207782.63,33074638.86,19285200,63729202.5,10352888.32,0.001522387,20698724.56,0,20698724.56
 05/01  22:00:00,141276458.8,0,41214442.82,21305224.02,19285200,50531492.12,8940099.887,0.00132273,18118695.11,0,18118695.11
 05/01  23:00:00,112748614.7,0,35194108.79,12745649.59,19285200,37863633.89,7660022.41,0.000723758,10378606.76,0,10378606.76
 05/01  24:00:00,92145356.29,0,29184661.91,9191897.701,19285200,28085665.77,6397930.909,0.000199657,3606029.451,0,3606029.451
