Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  15:00:00,9325304.602,115810929.4,787204273.7
 01/05  16:00:00,9199034.434,135802708,785023027.6
 01/05  17:00:00,8982072.043,161738364.8,772821966
 01/05  18:00:00,8585333.546,177077823,760758213.2
 01/05  19:00:00,8369347.57,183292830.2,744981550.5
 01/05  20:00:00,8140509.545,179347221,734494385.9
 01/05  21:00:00,7972603.207,177449466.9,723429183.5
 01/05  22:00:00,8319274.665,158712909.2,727627934.6
 01/05  23:00:00,8634225.579,134861308.8,743241745.9
 01/05  24:00:00,8547849.897,113823659,727330851.2
 01/06  01:00:00,8525926.532,100806097.2,716019810.1
 01/06  02:00:00,8617846.983,99041116.42,719299874.4
 01/06  03:00:00,8870499.417,98659564.6,728914491.6
 01/06  04:00:00,9580473.364,99848941.63,759662995.9
 01/06  05:00:00,9822633.736,107829117.7,770603321.5
 01/06  06:00:00,9496203.768,123182323.9,772683973.6
 01/06  07:00:00,8993938.258,140757737.7,804745258.7
 01/06  08:00:00,9284540.207,152173920.4,828839760.9
 01/06  09:00:00,9518551.798,154138072.1,843896128.7
 01/06  10:00:00,8718159.982,142296719.5,801309950.3
 01/06  11:00:00,7876099.459,129858594.3,758381871.8
 01/06  12:00:00,7231617.753,105705177.2,716708997.5
 01/06  13:00:00,7103914.917,104021742.6,706530084.7
 01/06  14:00:00,7223137.586,103744899.8,707002112.7
 01/06  15:00:00,6380214.127,109003004.9,667247540.5
 01/06  16:00:00,5555254.639,127308701.9,635864141
 01/06  17:00:00,5151433.885,152791225.2,616592200.1
 01/06  18:00:00,4236993.303,166768562.8,583418985.1
 01/06  19:00:00,2647535.174,169836363.7,517401356.5
 01/06  20:00:00,1187950.288,162966842,459780256.3
 01/06  21:00:00,1902285.419,163105273.2,482055919.2
 01/06  22:00:00,2146840.947,144101809.8,480362047.4
 01/06  23:00:00,1384922.56,117696582.3,452853978.6
 01/06  24:00:00,1504544.72,97099987.64,443822410.9
 01/07  01:00:00,2420339.728,86250177.11,467696399.7
 01/07  02:00:00,3240590.117,86171672.17,498593904.7
 01/07  03:00:00,3021599.667,84681452.31,489265137
 01/07  04:00:00,3349429.254,85000987.45,504220919.7
