Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 03/10  18:00:00,119254730.5,0,0,30170497.53,0,83933250.96,5150982.024,0.002759289,217709208.7,149143119.7,68566088.92
 03/10  19:00:00,139211838.6,0,0,38309735.72,12856800,83236545.25,4808757.589,0.003250669,219697515.6,139103739.6,80593775.98
 03/10  20:00:00,142355785,0,0,44309080.3,19285200,73747799.95,5013704.719,0.003099475,223434359.7,146541410.5,76892949.19
 03/10  21:00:00,141226946.9,0,0,44844053.7,19285200,71628391.33,5469301.851,0.002834886,233033011.3,162616509,70416502.31
 03/10  22:00:00,122101824.6,0,0,33074638.86,19285200,63729202.5,6012783.288,0.002305707,238977691.7,181514083.1,57463608.55
 03/10  23:00:00,97827785.56,0,0,21305224.02,19285200,50531492.12,6705869.43,0.002003319,254894556.8,204832601.9,50061954.97
 03/10  24:00:00,77471717.19,0,0,12745649.59,19285200,37863633.89,7577233.714,0.001096156,262758697.6,234901703.4,27856994.23
 03/11  01:00:00,64657395.6,0,0,9191897.701,19285200,28085665.77,8094632.127,0.000302388,259685326.5,251257672.9,8427653.58
 03/11  02:00:00,62830460.29,0,0,9191897.701,19285200,25966257.16,8387105.433,0.000151194,265133168.2,260406341.5,4726826.79
 03/11  03:00:00,62032478.92,0,0,9191897.701,19285200,24906552.85,8648828.366,3.77985E-05,270903847,268952640.3,1951206.697
 03/11  04:00:00,61355674.71,0,0,9191897.701,19285200,24376700.69,8501876.313,3.77985E-05,263321676.9,261370470.2,1951206.697
 03/11  05:00:00,68613368.01,0,0,13777384,19285200,27266590.8,8284193.205,0.000151194,256773049.9,252046223.1,4726826.79
 03/11  06:00:00,84713636.7,0,0,21687347.87,19285200,35695631.8,8045457.025,0.001020559,269814587.6,243808006.7,26006580.83
 03/11  07:00:00,103541000.4,0,0,23445117.62,19285200,53083565.93,7727116.857,0.003553057,321929651.6,233934222.1,87995429.56
 03/11  08:00:00,103533419,0,0,21649135.49,9642600,64691719.85,7549963.704,0.003779848,321931997.6,228385327.9,93546669.75
 03/11  09:00:00,85867802.02,0,0,13204198.22,0,65221572,7442031.799,0.003628654,314395448.8,224549605.9,89845842.96
