Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,70595093.8576845,70595093.85768445,197837944.43073816 
 01/01  02:00:00,88119631.57432324,88119631.57432331,199728766.1445171 
 01/01  03:00:00,66589833.342354018,66589833.34235397,196079692.09898672 
 01/01  04:00:00,71629582.0329309,71629582.03293085,162252424.59973873 
 01/01  05:00:00,83946486.06921092,83946486.06921098,164827113.827947 
 01/01  06:00:00,112653794.66692066,112653794.66692089,151674471.34552823 
 01/01  07:00:00,192453177.30303515,192453177.30303518,153991719.99804578 
 01/01  08:00:00,203217493.01253806,203217493.0125379,167351940.95891018 
 01/01  09:00:00,197307411.66059957,197307411.6605993,176346356.76662783 
 01/01  10:00:00,164855688.2829395,164855688.2829393,152714072.33962686 
 01/01  11:00:00,140281429.04254285,140281429.04254309,147624123.21860058 
 01/01  12:00:00,146410273.1197285,146410273.11972863,155633530.5538659 
 01/01  13:00:00,131524974.53426916,131524974.53426934,146675809.6352248 
 01/01  14:00:00,108186252.91309391,108186252.91309406,137127138.35828639 
 01/01  15:00:00,120504101.20833683,120504101.20833725,132177715.39958668 
 01/01  16:00:00,125377899.07821857,125377899.07821861,138952972.162456 
 01/01  17:00:00,163867851.69109936,163867851.6910992,142467730.68544428 
 01/01  18:00:00,202541297.5156979,202541297.5156981,143331673.10280187 
 01/01  19:00:00,238723778.341261,238723778.3412609,167031828.68216975 
 01/01  20:00:00,224327431.90109394,224327431.90109379,163836471.42215333 
 01/01  21:00:00,218392441.38292895,218392441.38292865,153868614.14196635 
 01/01  22:00:00,183074185.08224876,183074185.08224873,160115308.96737958 
 01/01  23:00:00,155648917.98999355,155648917.9899938,202946935.05423356 
 01/01  24:00:00,112483740.66563623,112483740.66563629,209068764.7653699 
 01/02  01:00:00,90934193.83727321,90934193.83727338,203537068.43498484 
 01/02  02:00:00,76256336.90730293,76256336.90730289,232649136.7219471 
 01/02  03:00:00,81387629.84147877,81387629.84147881,242593244.54907359 
 01/02  04:00:00,67170341.8606317,67170341.86063166,229149435.1246302 
 01/02  05:00:00,93124094.94532366,93124094.94532381,222873481.78895743 
 01/02  06:00:00,114965305.0084433,114965305.00844334,213220807.72949694 
 01/02  07:00:00,194996587.27190719,194996587.27190704,221593387.29531447 
 01/02  08:00:00,204703512.57228885,204703512.5722888,217146691.0421358 
 01/02  09:00:00,199023361.62801004,199023361.62800993,211517850.64385505 
 01/02  10:00:00,162263540.08036233,162263540.08036236,192124847.0137254 
 01/02  11:00:00,145717206.63961066,145717206.63961108,184172773.8748012 
 01/02  12:00:00,133368380.65679977,133368380.65679993,167883157.0663294 
 01/02  13:00:00,124580348.42393792,124580348.42393832,158216873.75772075 
 01/02  14:00:00,129886635.96622136,129886635.96622151,163113317.207139 
 01/02  15:00:00,114221924.1796208,114221924.17962088,159129936.78249467 
 01/02  16:00:00,133298656.81372641,133298656.81372679,154809382.8264361 
 01/02  17:00:00,156981180.293725,156981180.29372535,156331997.39935444 
 01/02  18:00:00,210940209.4409458,210940209.4409459,166032849.5490149 
 01/02  19:00:00,230838637.7909138,230838637.79091365,161382990.59131975 
 01/02  20:00:00,229804017.60996298,229804017.60996265,158417796.2959933 
 01/02  21:00:00,215319235.38744093,215319235.38744066,156940347.45650275 
 01/02  22:00:00,183154198.49526129,183154198.49526123,170881694.37311078 
 01/02  23:00:00,160938425.51833449,160938425.5183349,202999296.35677604 
 01/02  24:00:00,112195927.3256427,112195927.32564292,201885339.51730196 
 01/03  01:00:00,92081979.51653564,92081979.51653579,234622348.72117407 
 01/03  02:00:00,69024972.2777898,69024972.27778977,226829851.8327558 
 01/03  03:00:00,86982602.81079267,86982602.81079273,206661905.4683395 
 01/03  04:00:00,67403417.30217827,67403417.30217824,236275784.99273766 
 01/03  05:00:00,81687683.71841577,81687683.71841583,268002949.92420507 
 01/03  06:00:00,130226153.1795842,130226153.17958434,268226155.82667966 
 01/03  07:00:00,197166900.981402,197166900.98140187,280806675.8652183 
 01/03  08:00:00,207259196.7719411,207259196.77194108,297840616.60041138 
 01/03  09:00:00,198793404.90114985,198793404.90114976,270157335.68958738 
 01/03  10:00:00,164987883.18000255,164987883.1800025,268687056.2761892 
 01/03  11:00:00,162564680.4521999,162564680.45220004,283077416.47344866 
 01/03  12:00:00,140578582.4200468,140578582.42004714,263606352.64225609 
 01/03  13:00:00,131567349.34996115,131567349.34996137,261160270.48744125 
 01/03  14:00:00,130418760.74966565,130418760.74966589,270404674.38009259 
