Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,135510926.7548069,135510926.75480674,118734817.68809273 
 01/04  17:00:00,172112314.27929885,172112314.27929873,105459495.73965022 
 01/04  18:00:00,203410309.7499235,203410309.74992324,102487472.5090388 
 01/04  19:00:00,215488607.10406903,215488607.10406859,94166305.03805876 
 01/04  20:00:00,206423523.75049526,206423523.7504951,71920587.4459711 
 01/04  21:00:00,195136873.09426,195136873.0942598,63502573.00147434 
 01/04  22:00:00,180455230.63978283,180455230.63978274,65235774.04898127 
 01/04  23:00:00,139141882.5085845,139141882.50858418,77511259.88956458 
 01/04  24:00:00,92179908.91364964,92179908.9136497,80008371.51779536 
 01/05  01:00:00,71870556.28830916,71870556.28830906,87166611.56166604 
 01/05  02:00:00,69687187.39100747,69687187.39100737,99855178.71613209 
 01/05  03:00:00,49078345.18053143,49078345.18053132,119398320.15425849 
 01/05  04:00:00,55954754.979987878,55954754.97998783,133578809.2839519 
 01/05  05:00:00,66906211.98565602,66906211.98565585,129978506.3399485 
 01/05  06:00:00,101126646.47929865,101126646.47929868,122040142.80855556 
 01/05  07:00:00,188310901.76489426,188310901.76489414,120839612.1881609 
 01/05  08:00:00,209557946.40484763,209557946.40484736,145842662.97915117 
 01/05  09:00:00,195500796.72847713,195500796.7284767,140368357.72090415 
 01/05  10:00:00,190772626.14082469,190772626.1408246,136792239.5436451 
 01/05  11:00:00,158683921.95033158,158683921.9503314,145967452.77148367 
 01/05  12:00:00,138480000.07776547,138480000.07776518,141426214.9713334 
 01/05  13:00:00,127772441.63231302,127772441.6323128,116546454.91938436 
 01/05  14:00:00,118892957.7376216,118892957.73762144,110013899.54778286 
 01/05  15:00:00,126921800.43807377,126921800.43807359,119638278.21331552 
 01/05  16:00:00,128615209.47692648,128615209.4769263,131466475.86539017 
 01/05  17:00:00,171126388.6233216,171126388.62332148,110746617.25287989 
 01/05  18:00:00,198686753.74109806,198686753.7410979,105678468.39279956 
 01/05  19:00:00,230064018.67818768,230064018.67818723,113891891.39809469 
 01/05  20:00:00,205458349.6049602,205458349.60496009,103386337.38087425 
 01/05  21:00:00,198787848.78655834,198787848.78655807,100005786.14540714 
 01/05  22:00:00,175127867.9440963,175127867.94409604,99290762.34328492 
 01/05  23:00:00,143168370.71663077,143168370.71663056,110634188.50303473 
 01/05  24:00:00,97199432.31601484,97199432.31601492,111595651.78535332 
 01/06  01:00:00,73316034.60923204,73316034.60923182,123507548.83129856 
 01/06  02:00:00,50958515.425870347,50958515.425870258,134098849.49173317 
 01/06  03:00:00,69900483.8492102,69900483.8492101,139818630.64256338 
 01/06  04:00:00,49209079.19709973,49209079.19709964,140241539.09671618 
 01/06  05:00:00,60386253.03652877,60386253.036528747,120451296.90051314 
 01/06  06:00:00,106926665.1826302,106926665.18263015,116209498.440426 
 01/06  07:00:00,182955416.14655227,182955416.146552,137076566.21403695 
 01/06  08:00:00,208021439.87032453,208021439.8703241,163901234.5909699 
 01/06  09:00:00,204632608.49619345,204632608.4961931,164349074.87158663 
 01/06  10:00:00,177975295.39425228,177975295.39425207,160612505.96350394 
 01/06  11:00:00,167139321.40647788,167139321.40647773,163944512.62967498 
 01/06  12:00:00,144703295.1493095,144703295.14930935,144411866.31444324 
 01/06  13:00:00,128896366.69938322,128896366.69938289,143168575.10932417 
