Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,130852076.99190162,130852076.99190188,85121605.32475323 
 01/04  17:00:00,163122859.02469147,163122859.02469159,86343132.66224766 
 01/04  18:00:00,216248384.4346514,216248384.43465133,82245614.705336 
 01/04  19:00:00,224180729.00247173,224180729.0024714,73630433.7174989 
 01/04  20:00:00,219008777.3702598,219008777.37025959,65518177.379254948 
 01/04  21:00:00,210542401.57365624,210542401.57365606,62520733.337635729 
 01/04  22:00:00,174721877.22416277,174721877.22416295,60192661.198599297 
 01/04  23:00:00,147024297.15117065,147024297.15117098,78598527.17312202 
 01/04  24:00:00,105041960.99827758,105041960.9982777,87813453.63319519 
 01/05  01:00:00,79024254.9110224,79024254.91102244,104192806.08027509 
 01/05  02:00:00,66406879.446162138,66406879.44616208,115418892.27266762 
 01/05  03:00:00,71539540.31758009,71539540.31758006,123593568.27354098 
 01/05  04:00:00,63746121.94683543,63746121.94683537,138871332.4681236 
 01/05  05:00:00,79808698.97602095,79808698.97602092,146196171.74366809 
 01/05  06:00:00,107231505.62105581,107231505.62105598,144334207.35199289 
 01/05  07:00:00,187263463.2014264,187263463.20142646,143712688.53706316 
 01/05  08:00:00,219310884.9051148,219310884.90511454,180343731.64939488 
 01/05  09:00:00,195891136.4181307,195891136.41813088,232023135.5349935 
 01/05  10:00:00,177948789.23606909,177948789.23606945,255471768.53573895 
 01/05  11:00:00,166494459.0085104,166494459.00851069,291002408.82029667 
 01/05  12:00:00,146130895.48251043,146130895.48251067,313271784.84561946 
 01/05  13:00:00,144382101.94795067,144382101.94795106,347507776.7256895 
 01/05  14:00:00,139120115.62806557,139120115.62806574,355792047.30085358 
 01/05  15:00:00,136935825.71585045,136935825.7158508,366534317.7972502 
 01/05  16:00:00,146717496.0645105,146717496.06451065,423069607.7068336 
 01/05  17:00:00,178289345.95896475,178289345.9589652,441156381.32702639 
 01/05  18:00:00,219333573.76345728,219333573.76345749,452151034.95412936 
 01/05  19:00:00,249221417.12719447,249221417.1271943,433464487.68775346 
 01/05  20:00:00,229962178.8419945,229962178.84199447,443825739.02045336 
 01/05  21:00:00,225452681.24845014,225452681.24844999,394750987.41151228 
 01/05  22:00:00,196887365.28255923,196887365.28255929,422880042.1257601 
 01/05  23:00:00,169462680.38340257,169462680.38340283,461732974.3951024 
 01/05  24:00:00,125694608.95357697,125694608.95357707,470588749.03216806 
 01/06  01:00:00,83467593.14500407,83467593.145004,469497869.7895456 
 01/06  02:00:00,90817785.42780264,90817785.4278026,459867149.9123299 
 01/06  03:00:00,78362281.65444127,78362281.65444122,467466704.4231403 
 01/06  04:00:00,88322014.59376015,88322014.59376012,478147491.18697199 
 01/06  05:00:00,85104087.11863335,85104087.1186333,465653383.5480702 
 01/06  06:00:00,121596882.1322455,121596882.13224563,461791061.3496343 
 01/06  07:00:00,216434823.0575843,216434823.05758415,491836854.9513038 
 01/06  08:00:00,218059309.40260578,218059309.40260584,501370396.33656749 
 01/06  09:00:00,212647541.2212557,212647541.22125573,495709045.6005871 
 01/06  10:00:00,191960495.6419009,191960495.6419014,444260851.91811808 
 01/06  11:00:00,163026789.9741038,163026789.97410415,409521163.2824863 
 01/06  12:00:00,161316067.5591056,161316067.55910594,360126435.65016886 
 01/06  13:00:00,142376836.8032819,142376836.80328197,315022380.693084 
 01/06  14:00:00,131673510.50399097,131673510.50399117,297919352.45398047 
