Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,151332439.32987596,151332439.3298758,264047749.77122943 
 01/04  17:00:00,176180888.60172589,176180888.60172609,244885514.0856651 
 01/04  18:00:00,222468755.13136349,222468755.1313634,255432024.0379288 
 01/04  19:00:00,236531069.63687385,236531069.63687376,247728718.8433548 
 01/04  20:00:00,241531692.49437703,241531692.4943764,196729728.82274405 
 01/04  21:00:00,220528298.62237586,220528298.62237556,183437223.2924615 
 01/04  22:00:00,181149753.1373554,181149753.13735567,188239808.88191904 
 01/04  23:00:00,155417508.86443667,155417508.8644368,218198953.98617039 
 01/04  24:00:00,121458452.9171713,121458452.91717166,212521353.111534 
 01/05  01:00:00,70120077.01717073,70120077.01717068,223940833.0329196 
 01/05  02:00:00,83137536.46532446,83137536.46532449,240059432.844612 
 01/05  03:00:00,62796696.27555039,62796696.27555034,266018993.6702312 
 01/05  04:00:00,83061732.96763548,83061732.96763553,288550013.2930597 
 01/05  05:00:00,68992061.74811177,68992061.74811173,284635483.5797607 
 01/05  06:00:00,118200892.33192873,118200892.3319289,274593218.3665312 
 01/05  07:00:00,206272327.48052509,206272327.48052479,288691098.89342758 
 01/05  08:00:00,227844975.14009527,227844975.14009506,322105341.6680598 
 01/05  09:00:00,218759219.28525348,218759219.2852533,327193819.11627688 
 01/05  10:00:00,200530820.30493967,200530820.30493934,310657118.22647717 
 01/05  11:00:00,175075925.38160739,175075925.38160707,327612328.69914767 
 01/05  12:00:00,151829687.39470885,151829687.39470909,324678824.7004205 
 01/05  13:00:00,155126274.38038773,155126274.38038815,297161072.5757264 
 01/05  14:00:00,131721910.72907992,131721910.72908017,280639248.7585381 
 01/05  15:00:00,128565271.28953654,128565271.2895368,300555935.4725846 
 01/05  16:00:00,150191445.08388178,150191445.0838821,309685158.15579739 
 01/05  17:00:00,186422668.14902426,186422668.14902456,277346338.16557899 
 01/05  18:00:00,231258923.40067477,231258923.40067459,286228328.2424814 
 01/05  19:00:00,238536769.32767207,238536769.32767207,299409975.4197022 
