Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  15:00:00,11957355.67,123400495.7,921659801.1
 01/05  16:00:00,11873712.52,143476064.2,920525631.7
 01/05  17:00:00,11699999.45,169448057.9,907985142.5
 01/05  18:00:00,11338282.12,184517928.3,894555384.1
 01/05  19:00:00,11147397.02,190732963.7,877849441
 01/05  20:00:00,10929079.6,186761695.9,866320042
 01/05  21:00:00,10752126.13,184816635.2,854148753.8
 01/05  22:00:00,11072609,166038257.4,858116946
 01/05  23:00:00,11357510.12,142183771.4,874639336.1
 01/05  24:00:00,11249630.02,121168022.6,859852691.6
 01/06  01:00:00,11215403.65,108162229.4,849123005.3
 01/06  02:00:00,11299796.62,106396407.9,852561631.9
 01/06  03:00:00,11546161.8,106018998,862543849.6
 01/06  04:00:00,12250379.47,107231833.5,894405168.1
 01/06  05:00:00,12491262.75,115248822.8,906504511.6
 01/06  06:00:00,12177318.66,130637074.9,909088404
 01/06  07:00:00,11699833.16,148234527.1,940904197.8
 01/06  08:00:00,12015085.61,159669092.6,965360524.6
 01/06  09:00:00,12261526.27,161930456.3,982022938.6
 01/06  10:00:00,11467964.07,150140640.2,939824137.5
 01/06  11:00:00,10619316.41,137644177.9,894790851.3
 01/06  12:00:00,9944960.504,113320369.2,848667039.5
 01/06  13:00:00,9749006.259,111385997.4,833204142.4
 01/06  14:00:00,9771025.411,110895078.2,830373924.2
 01/06  15:00:00,8839566.841,116014738,788768275.6
 01/06  16:00:00,7937159.597,134141042.6,754088676
 01/06  17:00:00,7454024.141,159378672.7,729979464.3
 01/06  18:00:00,6463675.438,172837672.4,691854906
 01/06  19:00:00,4796470.522,175566216.6,617637034.4
 01/06  20:00:00,3239459.318,168348299.5,552414816.7
 01/06  21:00:00,3838866.694,168173812.9,570056952.1
 01/06  22:00:00,3979737.802,149032738.7,567688181.9
 01/06  23:00:00,3148660.41,122561800.3,539850121.3
 01/06  24:00:00,3209784.343,101879302.1,530258311.6
 01/07  01:00:00,4079319.314,91004995.51,555337028.8
 01/07  02:00:00,4880608.439,90979835.83,588620201.9
 01/07  03:00:00,4674079.227,89609742.23,582039364.3
 01/07  04:00:00,5030482.973,90024845.08,598984853.4
 01/07  05:00:00,5355613.917,98262502.1,614472566.6
 01/07  06:00:00,5071654.902,113685831,618332411.8
 01/07  07:00:00,5082339.196,132407610.9,670598611.9
 01/07  08:00:00,5197594.686,142428202,679569472.3
 01/07  09:00:00,5237676.987,135106123.8,690883675.7
 01/07  10:00:00,5464816.16,125642697.4,692878146.5
 01/07  11:00:00,5626522.112,115532932.2,691781995.6
 01/07  12:00:00,5619774.429,92870155.89,676979711.9
 01/07  13:00:00,5611298.964,92337498.82,669421856.2
 01/07  14:00:00,5629022.418,90867626.07,666385959.7
 01/07  15:00:00,5646700.76,94309268.07,663104929.2
 01/07  16:00:00,5661783.631,118520898.5,667996480.6
 01/07  17:00:00,6000816.355,145816819.5,680319034.8
 01/07  18:00:00,6376849.883,172089734.6,695052172.5
 01/07  19:00:00,6282527.307,179505867.1,690177303.7
 01/07  20:00:00,6632814.223,176822203.3,700267710.7
 01/07  21:00:00,6978712.62,176117664.5,709361923.8
 01/07  22:00:00,7001154.067,156638191.4,700472154.7
 01/07  23:00:00,7083805.338,132249647.1,706316467.9
 01/07  24:00:00,7870980.754,113284262.2,726329854.7
 01/08  01:00:00,8448620.583,101666980.3,739221947.9
 01/08  02:00:00,8709801.286,100349874.1,750654641.7
 01/08  03:00:00,9114046.328,100335624.3,766502201.3
 01/08  04:00:00,9315476.019,100326816.7,775751105.5
 01/08  05:00:00,9498574.536,108141344.4,783495096.8
 01/08  06:00:00,9788841.686,124881010.2,809588389.6
 01/08  07:00:00,9740807.347,143473932.1,859214694.1
 01/08  08:00:00,10188618.69,154254253,881565775.4
 01/08  09:00:00,11036606.75,148886963.6,928453849.9
 01/08  10:00:00,11411859.72,139823076.4,938286719.8
 01/08  11:00:00,11512533.1,129605593.7,935550063.6
 01/08  12:00:00,11838966.58,107680305.4,933514588.2
 01/08  13:00:00,12131848.33,107908820.7,939834717.8
 01/08  14:00:00,12234177.43,106579682.6,938396491.3
 01/08  15:00:00,12490535.7,110642812.3,946821369.5
 01/08  16:00:00,12673902.72,135241064.4,958478629.5
 01/08  17:00:00,12674781.49,161683548.7,955330724.8
 01/08  18:00:00,12654838.45,186979983.6,952258884.1
