Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,60714205.02880981,60714205.02880988,158862871.45594863 
 01/01  02:00:00,78123696.76692246,78123696.76692236,157678809.6108924 
 01/01  03:00:00,56194731.002756807,56194731.00275672,144886530.1393587 
 01/01  04:00:00,61955547.95539442,61955547.95539438,131436833.30051562 
 01/01  05:00:00,74643487.15015203,74643487.15015206,142229851.869614 
 01/01  06:00:00,111407961.27397587,111407961.27397573,148174610.93487878 
 01/01  07:00:00,199714555.17239709,199714555.1723968,167177600.32981576 
 01/01  08:00:00,220783992.61133964,220783992.61133943,174176798.55326534 
 01/01  09:00:00,201646472.95441673,201646472.95441637,179542800.10043467 
 01/01  10:00:00,196462698.68456853,196462698.6845684,172319603.59886695 
 01/01  11:00:00,163833449.92021597,163833449.92021588,168762269.63693897 
 01/01  12:00:00,142043140.42114128,142043140.42114104,164982928.4201947 
 01/01  13:00:00,131884174.9318709,131884174.93187063,164966943.31606598 
 01/01  14:00:00,122134436.98803115,122134436.98803091,163790220.64924104 
 01/01  15:00:00,132298491.79629649,132298491.79629652,145441646.08720545 
 01/01  16:00:00,134008190.68865861,134008190.68865852,142215942.04236395 
 01/01  17:00:00,181012031.5723222,181012031.57232205,154503418.14345584 
 01/01  18:00:00,216898165.70972065,216898165.70972029,159123404.95820124 
 01/01  19:00:00,239252321.407895,239252321.40789468,172476415.82118155 
 01/01  20:00:00,224696984.76473824,224696984.76473806,165196014.7199329 
 01/01  21:00:00,213357506.2657877,213357506.2657875,155409744.9419182 
 01/01  22:00:00,195752378.9419497,195752378.9419495,154530975.54387955 
 01/01  23:00:00,151500459.45782257,151500459.45782248,163122333.0152835 
 01/01  24:00:00,102413602.92421946,102413602.92421955,161664792.14090894 
 01/02  01:00:00,81456485.87504697,81456485.87504699,173116926.42117898 
 01/02  02:00:00,63910459.5447452,63910459.54474516,176277362.87634168 
 01/02  03:00:00,72352278.52472218,72352278.5247221,173863079.3832361 
 01/02  04:00:00,56497483.398844998,56497483.3988449,167951361.9775868 
 01/02  05:00:00,82380808.8178403,82380808.81784034,160396701.64999933 
 01/02  06:00:00,103854395.62207043,103854395.6220705,140190912.67542468 
 01/02  07:00:00,199748585.79031033,199748585.7903099,153473240.04820667 
 01/02  08:00:00,213749049.028739,213749049.02873869,163817599.77663226 
 01/02  09:00:00,207757953.52168227,207757953.52168188,182536274.75033466 
 01/02  10:00:00,183551330.15723045,183551330.15723027,192703741.91624943 
 01/02  11:00:00,173278017.4485774,173278017.44857729,210636596.9558751 
 01/02  12:00:00,150287579.1414236,150287579.1414235,217533555.75222395 
 01/02  13:00:00,133885200.3080756,133885200.30807559,212768922.40453748 
 01/02  14:00:00,130690565.92400736,130690565.92400702,191661900.35583968 
 01/02  15:00:00,126189996.20752739,126189996.2075274,175434152.39613799 
 01/02  16:00:00,142552442.0585179,142552442.05851776,170523514.28957535 
 01/02  17:00:00,168434838.38147909,168434838.38147889,177880049.09732396 
 01/02  18:00:00,217752454.42964236,217752454.42964215,185201158.99844007 
 01/02  19:00:00,244420045.6491114,244420045.64911098,147767858.55695034 
 01/02  20:00:00,223873355.89139865,223873355.8913985,146551647.39455197 
 01/02  21:00:00,214193393.9045509,214193393.9045506,158874964.87838326 
 01/02  22:00:00,182211761.6984434,182211761.69844324,160957241.11692927 
 01/02  23:00:00,164186548.53334476,164186548.53334464,157442341.13420797 
 01/02  24:00:00,101407582.71165924,101407582.71165928,138737432.10762034 
 01/03  01:00:00,80341498.19135894,80341498.19135897,147593339.66618536 
 01/03  02:00:00,64730183.041456479,64730183.04145643,151687352.1429284 
 01/03  03:00:00,58279058.02041557,58279058.020415518,154513508.73385383 
 01/03  04:00:00,74204406.5132335,74204406.5132334,155144670.34320907 
 01/03  05:00:00,62068859.78077583,62068859.78077598,156240999.69371579 
 01/03  06:00:00,124923584.21588612,124923584.21588597,155793072.2957107 
 01/03  07:00:00,185698183.73896418,185698183.7389639,165763578.3575668 
 01/03  08:00:00,222546538.64633624,222546538.6463359,238028997.41713248 
 01/03  09:00:00,221465200.40796847,221465200.4079681,255536092.53333847 
 01/03  10:00:00,188766794.80689434,188766794.80689407,249675150.47328637 
 01/03  11:00:00,170248673.91032369,170248673.91032348,253276885.88439227 
 01/03  12:00:00,161915619.72207005,161915619.72206987,246153070.85489608 
 01/03  13:00:00,137003924.77143506,137003924.7714349,226593553.3245257 
 01/03  14:00:00,126449361.46612504,126449361.46612509,192092048.6863295 
 01/03  15:00:00,137921618.1901059,137921618.19010578,204910136.0857513 
 01/03  16:00:00,140617420.75006575,140617420.75006543,226891121.85627664 
 01/03  17:00:00,173579939.54365958,173579939.5436594,226812962.39241577 
 01/03  18:00:00,227912464.5295661,227912464.52956576,247289066.1334603 
 01/03  19:00:00,235900210.23179228,235900210.2317919,232909310.3760516 
 01/03  20:00:00,238826423.61960203,238826423.6196017,223324783.4426071 
 01/03  21:00:00,215980198.6103415,215980198.6103412,223829002.39166064 
 01/03  22:00:00,183373155.84287808,183373155.84287779,223767117.86910454 
 01/03  23:00:00,156355840.05399636,156355840.05399604,201255690.43006424 
 01/03  24:00:00,115111578.51844873,115111578.51844871,190023333.7895353 
 01/04  01:00:00,71291989.39586252,71291989.39586264,201787139.48314695 
 01/04  02:00:00,70376906.18618734,70376906.1861872,181131080.8107093 
 01/04  03:00:00,64948340.78792699,64948340.78792696,187175183.94450648 
 01/04  04:00:00,71364724.67948231,71364724.6794822,210454319.66855008 
 01/04  05:00:00,71288297.56841746,71288297.56841763,206963790.7769919 
 01/04  06:00:00,107948261.42711282,107948261.42711288,194317056.02184994 
 01/04  07:00:00,206580200.59041346,206580200.59041328,185616864.43101869 
 01/04  08:00:00,219795170.53680254,219795170.53680233,174720153.19304774 
 01/04  09:00:00,210437181.54158164,210437181.5415812,158398143.13761945 
 01/04  10:00:00,184775781.23353408,184775781.23353396,142680428.8226249 
