Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/06  07:00:00,0,121393131,315548017
 01/06  08:00:00,0,120122395.6,315245169.3
 01/06  09:00:00,0,108504340,298958368
 01/06  10:00:00,0,93512767.26,211876355
 01/06  11:00:00,0,79675894.38,129460210.4
 01/06  12:00:00,0,82388851.16,72668774.95
 01/06  13:00:00,0,84747893.36,51783221.26
 01/06  14:00:00,0,89064635.43,37299642.11
 01/06  15:00:00,0,95245649.93,24587134.13
 01/06  16:00:00,0,102944199.7,26519064.92
 01/06  17:00:00,0,126689271,30853832.1
 01/06  18:00:00,0,145429660.6,40647962.34
 01/06  19:00:00,0,153215715.2,49749254.17
 01/06  20:00:00,0,148815477.4,59191324.38
 01/06  21:00:00,0,147422663.5,71339634.56
 01/06  22:00:00,0,128797533.8,88152325.85
 01/06  23:00:00,0,105483397.3,111398216.2
 01/06  24:00:00,0,85951040.33,126649299
 01/07  01:00:00,0,74445000.81,145996553.9
 01/07  02:00:00,0,73309279.07,160487339.5
 01/07  03:00:00,0,73211332.79,174027407.7
 01/07  04:00:00,0,73893038.85,193051545.8
 01/07  05:00:00,0,82879383.7,218648970.5
 01/07  06:00:00,0,99943654.22,242371299.4
 01/07  07:00:00,0,118947098.1,275878627.2
 01/07  08:00:00,0,117466662.4,283541908.1
 01/07  09:00:00,0,95833939.55,247493104.8
 01/07  10:00:00,0,81384663.41,171351587.4
 01/07  11:00:00,0,67609499.06,103891783.8
 01/07  12:00:00,0,68123927.16,56733149.25
 01/07  13:00:00,0,73947578,35630049.27
 01/07  14:00:00,0,78436798.54,26576846.88
 01/07  15:00:00,0,81626826.88,23297677.37
 01/07  16:00:00,0,96024566.39,26553097.32
 01/07  17:00:00,0,126953564.4,30893657.26
 01/07  18:00:00,0,149566871.3,40659917.12
 01/07  19:00:00,0,156878180.3,47713327.01
 01/07  20:00:00,0,149923001.6,45543047.04
 01/07  21:00:00,0,147070982.6,41925178.49
 01/07  22:00:00,0,127024683,41887449.26
 01/07  23:00:00,0,102035858.4,50197705.9
 01/07  24:00:00,0,81768826.28,56540180.75
 01/08  01:00:00,0,69838320.84,68949026.88
 01/08  02:00:00,0,68888164.34,86164164.08
 01/08  03:00:00,0,68455850.96,95024762.08
 01/08  04:00:00,0,68940840.36,112238661.9
 01/08  05:00:00,0,77780989.28,136823587.4
 01/08  06:00:00,0,95090798.25,164752336.2
 01/08  07:00:00,0,114841883.9,210327515.4
 01/08  08:00:00,0,113477203.1,219792238.9
 01/08  09:00:00,0,91046117.34,169446599.4
 01/08  10:00:00,0,79107406.91,98322648.11
 01/08  11:00:00,0,74244826.76,57256575.08
 01/08  12:00:00,0,88010496.37,34997094.68
 01/08  13:00:00,0,102234420.3,29844396.68
 01/08  14:00:00,0,115225337.4,26584914.91
 01/08  15:00:00,0,134050274.8,23325433.14
 01/08  16:00:00,0,146035932.5,26584914.91
 01/08  17:00:00,0,171003034.2,30930890.61
 01/08  18:00:00,0,182161658.4,40709335.92
 01/08  19:00:00,0,175653795.3,47771546.43
 01/08  20:00:00,0,160522105.3,45598558.58
 01/08  21:00:00,0,151750796.2,41795829.85
 01/08  22:00:00,0,129133791.3,34190372.38
 01/08  23:00:00,0,102513725.7,30182665.71
 01/08  24:00:00,0,80769805.27,25950726.74
 01/09  01:00:00,0,67706559.64,31721020.18
 01/09  02:00:00,0,66254639.16,41732996.01
 01/09  03:00:00,0,65853992.07,51246536.04
 01/09  04:00:00,0,66221178.37,66510945.24
 01/09  05:00:00,0,74595832.85,83147238.2
 01/09  06:00:00,0,90369970.68,85910166.03
 01/09  07:00:00,0,109359031.7,119433146.4
 01/09  08:00:00,0,109031041,135101249.6
 01/09  09:00:00,0,97672460.76,118786297.7
 01/09  10:00:00,0,87782210.17,76890857.15
 01/09  11:00:00,0,82664803.64,51347527.41
 01/09  12:00:00,0,88072563.8,35244316.26
 01/09  13:00:00,0,88799895.26,29877767.91
 01/09  14:00:00,0,92437653.55,26614508.26
 01/09  15:00:00,0,98397452.28,23351248.61
 01/09  16:00:00,0,105299129.4,26614508.26
 01/09  17:00:00,0,134395762.2,30965521.12
 01/09  18:00:00,0,150390913,40755300.06
 01/09  19:00:00,0,159234194.2,47825695.97
 01/09  20:00:00,0,152370926.5,45650189.53
 01/09  21:00:00,0,148825953.8,41843053.28
 01/09  22:00:00,0,127672437.1,34466723.47
 01/09  23:00:00,0,102156012.1,32950558.31
 01/09  24:00:00,0,80821496.36,28158943.72
 01/10  01:00:00,0,67485881.72,24309014.14
 01/10  02:00:00,0,65584433.73,29430541.5
 01/10  03:00:00,0,65099136.44,37908510.31
 01/10  04:00:00,0,65149395.68,47812817.27
 01/10  05:00:00,0,73142819.53,58278225.65
 01/10  06:00:00,0,89841987.87,76836047.3
 01/10  07:00:00,0,108866917.7,110978238.2
 01/10  08:00:00,0,107917852.9,116306704.1
 01/10  09:00:00,0,97330051.94,115715420.9
 01/10  10:00:00,0,86351397.68,91404703.66
 01/10  11:00:00,0,75537867.07,62988743.69
 01/10  12:00:00,0,84506600.31,37438296.38
 01/10  13:00:00,0,97147403.89,29908621.06
 01/10  14:00:00,0,109466072.8,26641868.61
 01/10  15:00:00,0,111769790.1,23375116.15
 01/10  16:00:00,0,102807922,26641868.61
 01/10  17:00:00,0,114951728.9,30997538.55
 01/10  18:00:00,0,135942993.6,40797795.92
 01/10  19:00:00,0,153985947.2,47875759.58
