Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,63198705.432660568,63198705.43266052,149127317.53880138 
 01/01  02:00:00,80772054.91119039,80772054.91119045,151814453.91509194 
 01/01  03:00:00,59360927.83341423,59360927.83341418,151418320.6394077 
 01/01  04:00:00,64851673.20202288,64851673.20202286,133108805.61380662 
 01/01  05:00:00,77156946.58119066,77156946.5811907,134612885.92094705 
 01/01  06:00:00,105922482.76100026,105922482.76100049,124018316.83456394 
 01/01  07:00:00,185627318.2167515,185627318.21675156,121771403.10548193 
 01/01  08:00:00,197969191.33557148,197969191.33557136,132728923.50092374 
 01/01  09:00:00,197838892.9564953,197838892.956495,139162186.15008245 
 01/01  10:00:00,165600308.9063573,165600308.90635715,118649012.41045092 
 01/01  11:00:00,140832708.00777058,140832708.00777085,111727817.95679444 
 01/01  12:00:00,146729984.44878228,146729984.44878233,113154425.71237667 
 01/01  13:00:00,131851171.35310465,131851171.35310479,105667455.52183694 
 01/01  14:00:00,108598188.9615924,108598188.96159257,99506604.88947189 
 01/01  15:00:00,120973409.56989408,120973409.56989452,96641092.63862986 
 01/01  16:00:00,125761441.16886774,125761441.16886778,100490933.06941551 
 01/01  17:00:00,161619374.0089746,161619374.00897456,100271016.3558925 
 01/01  18:00:00,195387672.44527907,195387672.44527934,104855676.28571339 
 01/01  19:00:00,231147174.26561488,231147174.26561473,115175125.97021908 
 01/01  20:00:00,216569559.21751849,216569559.21751834,109313815.59094464 
 01/01  21:00:00,210813549.91311739,210813549.91311715,104577219.93851581 
 01/01  22:00:00,175512837.64744193,175512837.64744196,111500811.7927008 
 01/01  23:00:00,147940614.39950664,147940614.39950685,145529524.70467977 
 01/01  24:00:00,104779157.75691585,104779157.7569159,151207002.3734867 
 01/02  01:00:00,83537216.98388765,83537216.98388769,153916772.2669457 
 01/02  02:00:00,68659825.89038946,68659825.89038943,173970478.0461755 
 01/02  03:00:00,73743792.29584573,73743792.29584579,181297650.02688263 
 01/02  04:00:00,59689508.70312518,59689508.70312515,173639415.25965185 
 01/02  05:00:00,85667364.03092203,85667364.03092209,168460196.10959057 
 01/02  06:00:00,107554363.59843886,107554363.59843892,160527660.7083286 
 01/02  07:00:00,187466041.11858649,187466041.11858637,163105496.14934827 
 01/02  08:00:00,198677244.00027777,198677244.00027774,163615811.7397971 
 01/02  09:00:00,199503788.9550829,199503788.95508278,161160256.389483 
 01/02  10:00:00,163839841.29383035,163839841.2938304,142340194.6464823 
 01/02  11:00:00,144622201.83268044,144622201.83268083,133585991.91273889 
 01/02  12:00:00,133549874.11872351,133549874.11872366,120252422.76996142 
 01/02  13:00:00,124789542.37828829,124789542.37828867,112745266.14881483 
 01/02  14:00:00,130043321.43127617,130043321.43127635,115660763.47763554 
 01/02  15:00:00,114461061.97195596,114461061.97195612,114209349.3391888 
 01/02  16:00:00,133609430.69862479,133609430.69862512,112250500.96526964 
 01/02  17:00:00,154683093.51156036,154683093.51156069,110878128.1159705 
 01/02  18:00:00,203504434.3738673,203504434.37386743,117568694.44450987 
 01/02  19:00:00,223415267.38766093,223415267.38766078,113906208.57620047 
 01/02  20:00:00,222209396.67886145,222209396.67886118,107405596.28479867 
 01/02  21:00:00,207734742.32249958,207734742.32249937,108526006.9996222 
 01/02  22:00:00,175572755.84828899,175572755.84828899,120167763.4250129 
 01/02  23:00:00,153394298.2790909,153394298.27909143,148859534.82303117 
 01/02  24:00:00,104745171.27220008,104745171.27220032,150933013.0308713 
 01/03  01:00:00,84518343.88434905,84518343.88434911,176394167.54106636 
 01/03  02:00:00,61693648.185579087,61693648.185579027,175097506.18795873 
 01/03  03:00:00,79987944.26722913,79987944.26722916,165736691.2935478 
 01/03  04:00:00,60161864.00345824,60161864.003458198,185130269.02463038 
 01/03  05:00:00,74156191.17567984,74156191.17567978,204891098.46090687 
 01/03  06:00:00,122709025.87914472,122709025.87914485,204585543.2758881 
 01/03  07:00:00,189685095.74932973,189685095.74932949,214295395.90233995 
 01/03  08:00:00,201013888.5691755,201013888.56917543,231465466.27070085 
 01/03  09:00:00,200726720.0132278,200726720.0132277,215055981.89570058 
 01/03  10:00:00,163189844.43555469,163189844.43555484,207816335.5622267 
 01/03  11:00:00,162076368.8397438,162076368.83974395,212548864.0981543 
 01/03  12:00:00,140132159.9293151,140132159.92931543,196956386.60056914 
 01/03  13:00:00,131141968.35075642,131141968.35075666,193847822.25689037 
 01/03  14:00:00,129682216.72159395,129682216.72159419,200097142.0704943 
 01/03  15:00:00,128832427.47308089,128832427.4730811,200955986.61814655 
 01/03  16:00:00,140937838.6395374,140937838.63953755,203998424.88083966 
 01/03  17:00:00,161982857.66810707,161982857.66810746,201705137.1441595 
 01/03  18:00:00,207626786.48417167,207626786.4841717,207593766.5224324 
 01/03  19:00:00,227511148.58359287,227511148.58359284,204712903.2182992 
 01/03  20:00:00,219673973.60080836,219673973.60080803,178052986.7698614 
 01/03  21:00:00,216408256.85611148,216408256.8561112,174752972.00885634 
 01/03  22:00:00,178474592.72033818,178474592.72033835,184983245.99452288 
 01/03  23:00:00,156471070.66006566,156471070.6600662,217894496.15433476 
 01/03  24:00:00,107749516.06734577,107749516.06734586,218214418.85822327 
 01/04  01:00:00,87600687.05867511,87600687.05867508,245435179.32858739 
 01/04  02:00:00,64730729.48081458,64730729.48081453,243181023.00072343 
 01/04  03:00:00,83511246.26988739,83511246.26988745,245110786.13600243 
 01/04  04:00:00,63795231.9510868,63795231.95108677,267485486.19444395 
 01/04  05:00:00,77730445.73006247,77730445.73006243,286393344.8789589 
 01/04  06:00:00,126296052.76693522,126296052.76693534,286604134.1249665 
 01/04  07:00:00,193478671.6564778,193478671.65647776,314258820.20193746 
 01/04  08:00:00,206569046.4592094,206569046.45920936,344228325.99543419 
 01/04  09:00:00,201843591.69563724,201843591.69563706,329997607.7443784 
 01/04  10:00:00,169374082.55449165,169374082.55449159,257445583.61712427 
