Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,58777192.71528456,58777192.715284477,214106717.70175085 
 01/01  02:00:00,78122984.13559874,78122984.13559875,263221363.62021426 
 01/01  03:00:00,56915949.23191732,56915949.23191723,267925575.5677065 
 01/01  04:00:00,63649869.75727743,63649869.75727736,278253914.1686678 
 01/01  05:00:00,74814221.6410205,74814221.6410204,279669124.01128658 
 01/01  06:00:00,109321524.12165365,109321524.12165356,279708557.5851083 
 01/01  07:00:00,193994477.720012,193994477.72001154,291479584.5769294 
 01/01  08:00:00,198628201.16035966,198628201.16035933,290311192.97201499 
 01/01  09:00:00,208353244.84343974,208353244.84343935,280087418.8688469 
 01/01  10:00:00,171132519.7088964,171132519.7088961,243932575.6671242 
 01/01  11:00:00,156823874.70982764,156823874.70982758,189417957.0645674 
 01/01  12:00:00,130093343.18198367,130093343.18198347,138018756.71348376 
 01/01  13:00:00,129158969.08116883,129158969.08116877,142066332.8443459 
 01/01  14:00:00,119945747.44702329,119945747.44702316,153375965.47291724 
 01/01  15:00:00,122851643.14046476,122851643.14046481,149182798.51637373 
 01/01  16:00:00,125716548.3962556,125716548.39625544,141357105.93019433 
 01/01  17:00:00,157876405.85530428,157876405.8553039,154947543.66663064 
 01/01  18:00:00,206625556.76749645,206625556.7674961,143746546.76998566 
 01/01  19:00:00,218773727.9964808,218773727.99648045,138289111.01694126 
 01/01  20:00:00,203097648.4038391,203097648.403839,141695429.83718143 
 01/01  21:00:00,207698993.92348526,207698993.92348517,144461634.22764296 
 01/01  22:00:00,178132859.65660665,178132859.65660639,151097005.1730933 
 01/01  23:00:00,144835595.03274448,144835595.03274439,173570445.41259123 
 01/01  24:00:00,97542402.79164939,97542402.79164939,164067472.53528548 
 01/02  01:00:00,77255633.57948657,77255633.57948649,170425470.25333668 
 01/02  02:00:00,61389442.94057532,61389442.94057527,168001493.9558626 
 01/02  03:00:00,66142448.268154527,66142448.26815436,167726066.29704944 
 01/02  04:00:00,52882357.2356802,52882357.23568011,178717741.02695606 
 01/02  05:00:00,64868724.52700358,64868724.527003537,178469955.02483324 
 01/02  06:00:00,110841811.85469334,110841811.85469312,161015077.9010338 
 01/02  07:00:00,177383550.29151253,177383550.2915123,151703904.30762024 
 01/02  08:00:00,212284273.65624366,212284273.65624333,154709213.3786625 
 01/02  09:00:00,181140692.38404844,181140692.38404799,129434825.95726893 
 01/02  10:00:00,175068902.4729441,175068902.47294394,98861658.15915028 
 01/02  11:00:00,144220645.40908946,144220645.40908916,105481397.03248933 
 01/02  12:00:00,149481330.91515989,149481330.9151598,92422686.6940901 
 01/02  13:00:00,124731065.90656892,124731065.90656899,85027967.92743518 
 01/02  14:00:00,119960768.03136646,119960768.03136637,91115846.54242401 
 01/02  15:00:00,116935676.19475168,116935676.19475149,96228461.89955083 
 01/02  16:00:00,126658868.43020512,126658868.4302051,86925789.99544946 
 01/02  17:00:00,154506146.96297578,154506146.96297566,83552959.70830086 
 01/02  18:00:00,206223848.66131059,206223848.66131027,97813353.90529736 
 01/02  19:00:00,211544015.55851538,211544015.55851508,104709348.10469686 
 01/02  20:00:00,208030509.9139248,208030509.9139247,97908427.48413834 
 01/02  21:00:00,198447283.50714357,198447283.50714345,100278024.33086288 
 01/02  22:00:00,168750806.9161053,168750806.91610519,110294016.60511501 
 01/02  23:00:00,137391787.10316474,137391787.10316447,122882817.17419258 
 01/02  24:00:00,116567167.48736578,116567167.48736573,124179184.4534738 
 01/03  01:00:00,62584375.680664408,62584375.680664408,128674981.91223334 
 01/03  02:00:00,65813480.380442868,65813480.38044269,123310727.05865872 
 01/03  03:00:00,58187341.98924576,58187341.989245768,119053279.01246847 
 01/03  04:00:00,63843009.07938023,63843009.07938008,122533204.0661254 
 01/03  05:00:00,62563116.081196639,62563116.081196639,136918326.6539258 
 01/03  06:00:00,97645537.49256265,97645537.49256273,140668084.12819536 
 01/03  07:00:00,191117658.18142558,191117658.1814254,146348835.73772643 
 01/03  08:00:00,198205217.03360898,198205217.03360877,159445779.75411264 
 01/03  09:00:00,200277259.6095106,200277259.60951028,188019811.1492692 
 01/03  10:00:00,175906203.08029274,175906203.08029253,202167549.0476142 
 01/03  11:00:00,157341649.68779267,157341649.68779243,203454308.57661385 
 01/03  12:00:00,136753809.3346936,136753809.33469356,201480304.9959075 
 01/03  13:00:00,146452487.37872566,146452487.3787253,194267009.23038603 
 01/03  14:00:00,132236818.16473767,132236818.16473773,197741642.00879825 
 01/03  15:00:00,110598078.1047321,110598078.10473207,198504143.30870227 
 01/03  16:00:00,127342846.75714466,127342846.75714439,188044138.8737542 
 01/03  17:00:00,171362966.01254229,171362966.0125421,203285617.2417836 
 01/03  18:00:00,200720311.58602519,200720311.58602486,201143499.3739491 
 01/03  19:00:00,234963452.01035226,234963452.0103519,191502796.82686488 
 01/03  20:00:00,213067740.24245859,213067740.24245844,191790610.12287254 
 01/03  21:00:00,202385707.28491269,202385707.28491254,212199116.04040126 
 01/03  22:00:00,168029076.57664956,168029076.5766493,216129406.74959905 
 01/03  23:00:00,149346743.36690287,149346743.36690266,283364564.8444601 
 01/03  24:00:00,108790663.28468758,108790663.28468752,308627196.7269043 
 01/04  01:00:00,77456117.1957119,77456117.19571176,306757262.1522671 
 01/04  02:00:00,80674509.42565157,80674509.42565155,322927106.33841326 
 01/04  03:00:00,60232623.58982669,60232623.58982658,346906662.99613228 
 01/04  04:00:00,66493631.85640342,66493631.85640339,346015344.81698366 
 01/04  05:00:00,77117138.60337293,77117138.60337286,334419186.07712349 
 01/04  06:00:00,111319464.13341069,111319464.13341066,352223705.4195285 
 01/04  07:00:00,189950953.0605758,189950953.06057547,347566077.0628615 
 01/04  08:00:00,213768503.39747168,213768503.39747135,360346487.38179156 
 01/04  09:00:00,209492371.6528483,209492371.6528479,363770784.61949267 
 01/04  10:00:00,180749993.36444465,180749993.36444438,353210444.97026607 
 01/04  11:00:00,163723583.44217036,163723583.44217003,342231297.7236932 
 01/04  12:00:00,141179606.7260739,141179606.72607363,341925532.99054959 
 01/04  13:00:00,139321025.6472349,139321025.6472349,332682026.57363167 
 01/04  14:00:00,134939701.30571113,134939701.3057109,313122789.82023397 
 01/04  15:00:00,130134388.60587073,130134388.60587052,315905110.894324 
 01/04  16:00:00,131898229.49670986,131898229.49670981,305942180.49061039 
 01/04  17:00:00,166762085.84935776,166762085.84935738,303127171.1926135 
 01/04  18:00:00,213244453.6981439,213244453.69814343,306476230.048005 
 01/04  19:00:00,225664946.27886588,225664946.2788655,307855864.7750705 
