Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,149113721.34532026,149113721.34532065,586435360.34468 
 01/04  17:00:00,197453679.63026328,197453679.6302636,585111443.7970277 
 01/04  18:00:00,233734762.79528333,233734762.79528327,579917060.7875791 
 01/04  19:00:00,259661852.94046403,259661852.94046355,574360443.6346631 
 01/04  20:00:00,245793503.6812721,245793503.68127153,568896269.6932843 
 01/04  21:00:00,236818196.27451606,236818196.27451573,575079338.2886306 
 01/04  22:00:00,202408493.77538193,202408493.77538196,578722017.3403542 
 01/04  23:00:00,180063358.91285733,180063358.91285775,578786110.8331231 
 01/04  24:00:00,137580942.2322946,137580942.23229496,578773064.9781106 
 01/05  01:00:00,96726519.44881162,96726519.44881159,578555116.5652166 
 01/05  02:00:00,89672130.2622736,89672130.26227358,578479545.3928574 
 01/05  03:00:00,92704315.3167213,92704315.31672129,578623392.4697206 
 01/05  04:00:00,85074173.4389024,85074173.4389024,578322816.5814229 
 01/05  05:00:00,96021959.1823883,96021959.18238828,577792845.820485 
 01/05  06:00:00,133138376.0211384,133138376.02113876,578967591.4136556 
 01/05  07:00:00,217098694.05744047,217098694.05744077,579406455.3781396 
 01/05  08:00:00,240919156.12424738,240919156.12424667,598993568.0693228 
 01/05  09:00:00,214602151.9145012,214602151.91450126,593364704.3145027 
 01/05  10:00:00,192803836.0833155,192803836.083316,584509746.37685 
 01/05  11:00:00,173984747.53110148,173984747.53110198,567356646.9986905 
 01/05  12:00:00,162190819.2105045,162190819.21050499,535992397.5730639 
 01/05  13:00:00,147938001.09029377,147938001.0902942,516759375.1640427 
 01/05  14:00:00,142290717.0820288,142290717.0820292,504078767.4707153 
 01/05  15:00:00,134963151.06541736,134963151.0654177,502559476.1687879 
 01/05  16:00:00,147212222.37511168,147212222.37511216,523906165.04061958 
 01/05  17:00:00,189685112.74793408,189685112.74793459,531166220.6461286 
 01/05  18:00:00,240251148.38939999,240251148.38939936,543626521.5763525 
 01/05  19:00:00,254275434.9376099,254275434.93760915,531470848.7667361 
 01/05  20:00:00,245096481.4653863,245096481.46538574,531416705.08903929 
 01/05  21:00:00,236716996.40161545,236716996.40161488,542895294.3952189 
 01/05  22:00:00,202802321.1844326,202802321.18443308,536786804.1573995 
 01/05  23:00:00,174793534.19082106,174793534.19082157,559935138.8898002 
 01/05  24:00:00,134544433.21949793,134544433.21949823,551193175.3319278 
 01/06  01:00:00,94303268.18189159,94303268.18189159,522802242.9054721 
 01/06  02:00:00,95282961.94448327,95282961.94448328,553084292.4936413 
 01/06  03:00:00,82766044.20217669,82766044.20217669,548569795.6546793 
 01/06  04:00:00,85419764.71808994,85419764.71808993,509833150.6070633 
 01/06  05:00:00,97012939.63427712,97012939.63427708,564460652.1493595 
 01/06  06:00:00,129309543.22261948,129309543.22261967,560339186.558599 
 01/06  07:00:00,222782365.75462178,222782365.75462166,541368170.3206384 
 01/06  08:00:00,231566485.9184176,231566485.9184174,554314814.7779069 
 01/06  09:00:00,214625973.23783247,214625973.23783259,536676641.4815911 
 01/06  10:00:00,189078634.76964305,189078634.76964326,517947678.4408613 
 01/06  11:00:00,171033535.58453638,171033535.5845366,441062992.0174892 
 01/06  12:00:00,158282690.36246894,158282690.36246933,411422787.1061615 
 01/06  13:00:00,144453087.86268366,144453087.86268399,409517896.0861976 
 01/06  14:00:00,136148043.81596063,136148043.8159609,342995185.8360837 
 01/06  15:00:00,127769693.27455314,127769693.27455336,374363882.58188799 
 01/06  16:00:00,145029727.20886979,145029727.20887024,454751325.5923553 
 01/06  17:00:00,188892261.0409772,188892261.0409773,451878391.8662745 
 01/06  18:00:00,233300187.44672043,233300187.44672025,445939065.51440688 
 01/06  19:00:00,253859554.08150167,253859554.08150108,474897874.3531202 
 01/06  20:00:00,239572128.1749611,239572128.17496098,483723346.7149788 
 01/06  21:00:00,233694232.10910876,233694232.10910864,474597246.85559979 
 01/06  22:00:00,200496211.12194178,200496211.12194199,487873013.8228812 
 01/06  23:00:00,174918520.97875727,174918520.97875766,546431035.3659092 
 01/06  24:00:00,134804567.62002305,134804567.62002335,539700069.978832 
 01/07  01:00:00,92267452.37550432,92267452.37550429,553858068.956157 
 01/07  02:00:00,96027978.71431434,96027978.71431433,561826158.0274572 
