Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  14:00:00,4023637.023,96177926.28,573880352.4
 01/05  15:00:00,3855280.773,95695472.9,573989348.5
 01/05  16:00:00,3898864.623,101002264.5,588857980.7
 01/05  17:00:00,4046835.393,143536716.7,599674937
 01/05  18:00:00,4186463.957,168000446,609940687
 01/05  19:00:00,4241179.102,174942219.2,606863553.4
 01/05  20:00:00,4252521.754,171486152.2,604031357.4
 01/05  21:00:00,4279138.164,170004160.5,599844787.4
 01/05  22:00:00,4339944.222,150597933.8,592783668.5
 01/05  23:00:00,4448601.406,126287396.7,600330202.9
 01/05  24:00:00,4570602.343,105766175.2,594715545
 01/06  01:00:00,4736607.948,93214828.43,592761818.9
 01/06  02:00:00,4890555.725,91613601.11,599205149.6
 01/06  03:00:00,5022879.177,90971788.93,604599969.9
 01/06  04:00:00,5047605.779,90572564.94,607437046.3
 01/06  05:00:00,4992746.47,97887727.42,607002086.9
 01/06  06:00:00,4888683.071,113734921.3,616673801.4
 01/06  07:00:00,4807980.82,132244832.4,661097605.1
 01/06  08:00:00,4775449.672,139044262.8,671684343.7
 01/06  09:00:00,4740032.977,121017318.8,677665147.3
 01/06  10:00:00,4597443.393,110557610.9,659377172.5
 01/06  11:00:00,4373785.344,99375722.93,638055871.6
 01/06  12:00:00,4136039.609,99253446.03,612199341.9
 01/06  13:00:00,3892626.481,97163494.64,594540337.5
 01/06  14:00:00,3705409.181,96145278.63,582733017.7
 01/06  15:00:00,3562983.961,95405305.61,574842110.1
 01/06  16:00:00,3447327.324,100070331.2,575914958
 01/06  17:00:00,3350834.719,141863239.4,572354416.6
 01/06  18:00:00,3233769.622,165601869.4,569577070.8
 01/06  19:00:00,3139223.018,172182423.5,560655838
 01/06  20:00:00,3091086.953,168580679.2,555578916.3
 01/06  21:00:00,3073818.215,166995514.3,549859349.4
 01/06  22:00:00,3737435.334,149051695,567995374.5
 01/06  23:00:00,4975335.766,127585748.7,625873641.3
 01/06  24:00:00,6291784.846,110134151.2,675915097.6
 01/07  01:00:00,7307733.146,99811058.47,715091396.9
 01/07  02:00:00,8100462.623,99872391.93,752029337.2
 01/07  03:00:00,8879012.099,100867193.4,787214779.8
 01/07  04:00:00,9444937.887,101812918.8,814035083.6
 01/07  05:00:00,9821173.116,110186220.2,831845749.3
 01/07  06:00:00,10164461.5,127111647.8,859750585.4
 01/07  07:00:00,10507223.58,146629217.3,921057183.1
 01/07  08:00:00,10827294.15,153235993.5,937207209.5
 01/07  09:00:00,11019723.74,126720093.9,949454028.5
 01/07  10:00:00,10799230.63,115710379.2,920891664.6
 01/07  11:00:00,10402374.77,103633683.3,878926385.9
 01/07  12:00:00,9990862.444,102625531.2,832520923.7
 01/07  13:00:00,9535283.116,100321050.1,787327065.3
 01/07  14:00:00,9029305.346,97490845.02,760633106.1
 01/07  15:00:00,8463993.481,96024832.96,744242707.9
 01/07  16:00:00,8590855.41,101829626.4,771999495.1
 01/07  17:00:00,9565348.601,142833744.5,827053273.8
 01/07  18:00:00,10586995.52,182755689.9,881752441.9
 01/07  19:00:00,11455401.15,192785737.3,925011136.9
 01/07  20:00:00,12271963.45,191368750.1,960225155.5
 01/07  21:00:00,13093495.9,191872966.7,993214040.8
 01/07  22:00:00,13824264.27,174135398.6,1017534855
 01/07  23:00:00,14522014.62,151301091.4,1053860012
 01/07  24:00:00,15211874.31,132202811.8,1076315575
 01/08  01:00:00,15765970.93,120628786.7,1093952706
 01/08  02:00:00,16171107.52,119649266.7,1112518438
 01/08  03:00:00,16540628.12,119578687.4,1128941099
 01/08  04:00:00,16993857.6,120224810.3,1151735162
 01/08  05:00:00,17440318.78,128787968.1,1175027495
 01/08  06:00:00,17871867.64,145988235.6,1210064552
 01/08  07:00:00,18308656.34,165782891.9,1278277428
 01/08  08:00:00,18709558.13,172613624.3,1300434180
 01/08  09:00:00,18790426.44,145587467.9,1303088326
 01/08  10:00:00,18298650.45,133434420.8,1248157206
