Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  16:00:00,114404609.45678534,114404609.4567853,60335332.25968606 
 01/04  17:00:00,164210805.8162003,164210805.81620047,59055919.924756798 
 01/04  18:00:00,222021006.21354268,222021006.21354256,57337983.73350376 
 01/04  19:00:00,228215232.19681049,228215232.19681037,59452293.29732981 
 01/04  20:00:00,208201707.53624983,208201707.53624977,62500253.72781332 
 01/04  21:00:00,211540420.73588557,211540420.73588533,67568868.08508817 
 01/04  22:00:00,180999100.4210597,180999100.42105965,69303949.1523024 
 01/04  23:00:00,151730216.52832747,151730216.52832753,92928955.84211788 
 01/04  24:00:00,110898851.71418284,110898851.71418306,98681168.66389749 
 01/05  01:00:00,77315583.17511176,77315583.1751118,111430738.73890856 
 01/05  02:00:00,88687310.53386088,88687310.53386094,125738672.81489304 
 01/05  03:00:00,67768160.57741548,67768160.57741545,132698181.8898846 
 01/05  04:00:00,81274067.19429025,81274067.19429028,149734769.2813983 
 01/05  05:00:00,82051294.59257056,82051294.59257052,161282335.47149376 
 01/05  06:00:00,117817988.01905799,117817988.01905823,169312621.4404697 
 01/05  07:00:00,189674157.12322778,189674157.1232277,174161730.666285 
 01/05  08:00:00,208807127.3206106,208807127.32061047,165324015.15913607 
 01/05  09:00:00,189510317.64339907,189510317.64339898,152319234.77558179 
 01/05  10:00:00,164627213.03120245,164627213.03120227,114577905.54031572 
 01/05  11:00:00,156431228.9855345,156431228.9855347,113488010.11741442 
 01/05  12:00:00,137356301.18816779,137356301.18816794,108270575.72097826 
 01/05  13:00:00,127999786.13082281,127999786.13082321,100553587.77994198 
 01/05  14:00:00,111268142.61556056,111268142.61556089,74772355.42508358 
 01/05  15:00:00,122542634.37306914,122542634.37306938,53784240.10984802 
 01/05  16:00:00,126992452.78740488,126992452.7874051,50838055.05597237 
 01/05  17:00:00,151223252.36295713,151223252.36295737,69511427.90239597 
 01/05  18:00:00,223114445.19501323,223114445.19501303,79246205.76670483 
 01/05  19:00:00,229776779.0000937,229776779.0000936,88052373.42097572 
 01/05  20:00:00,206808464.2514522,206808464.2514522,89269454.9166404 
 01/05  21:00:00,215772600.72053088,215772600.7205306,92269892.10662265 
 01/05  22:00:00,183067238.61720935,183067238.61720956,104829692.73134718 
 01/05  23:00:00,154818970.26093368,154818970.26093356,144773007.27748368 
 01/05  24:00:00,113412002.53175448,113412002.5317547,141626672.8972095 
 01/06  01:00:00,91360237.71951725,91360237.71951729,130557447.9064478 
 01/06  02:00:00,69866433.27186539,69866433.27186533,149741957.30567725 
 01/06  03:00:00,78415369.1827732,78415369.18277318,192621304.1083481 
 01/06  04:00:00,84048773.47037487,84048773.4703749,195254649.7329657 
 01/06  05:00:00,82529385.33514835,82529385.3351483,171588971.52336145 
 01/06  06:00:00,118050485.74042978,118050485.74042998,175473750.46127845 
 01/06  07:00:00,190782284.76136319,190782284.7613632,193569913.3244124 
 01/06  08:00:00,210730387.955799,210730387.955799,181656341.1566168 
 01/06  09:00:00,194961938.64671589,194961938.64671598,156111080.7831142 
 01/06  10:00:00,155710275.74336774,155710275.7433678,113820095.56069449 
 01/06  11:00:00,158477644.53806267,158477644.53806279,112407684.41740495 
 01/06  12:00:00,137074341.49995519,137074341.49995549,108782550.0477566 
 01/06  13:00:00,127611903.8622992,127611903.86229925,98844271.2941418 
 01/06  14:00:00,113372342.91720183,113372342.91720182,96536881.56633337 
 01/06  15:00:00,123479402.6128158,123479402.61281616,85320366.99878909 
 01/06  16:00:00,128736197.51289213,128736197.51289217,81361803.18439269 
 01/06  17:00:00,165444849.38238437,165444849.38238467,83901370.10978253 
 01/06  18:00:00,208779202.8371372,208779202.83713729,98239243.92148833 
 01/06  19:00:00,230647644.09504066,230647644.09504048,98144372.99678535 
 01/06  20:00:00,217225459.3100954,217225459.31009517,87514294.20792306 
 01/06  21:00:00,206841183.11614187,206841183.11614184,92202254.23913226 
 01/06  22:00:00,183334824.20692469,183334824.20692475,109763147.01182264 
 01/06  23:00:00,154385846.22148554,154385846.22148568,138617553.51448954 
 01/06  24:00:00,113612325.69668025,113612325.69668049,145643063.22085429 
 01/07  01:00:00,92872643.58986154,92872643.5898616,154648393.8154652 
 01/07  02:00:00,71140134.4460295,71140134.44602946,169621200.01585333 
 01/07  03:00:00,90911186.71154411,90911186.71154417,185043013.50717844 
 01/07  04:00:00,70122318.11885877,70122318.11885873,183226684.27501465 
 01/07  05:00:00,82734742.63209634,82734742.63209629,175841974.03498826 
 01/07  06:00:00,118453079.48718886,118453079.4871891,176245579.48459039 
 01/07  07:00:00,193115426.2194439,193115426.2194439,181899468.61373947 
 01/07  08:00:00,221154565.14548985,221154565.1454896,193382191.8973658 
 01/07  09:00:00,182616625.11480604,182616625.1148059,213663168.6773536 
 01/07  10:00:00,158245277.33775283,158245277.3377529,167507664.31311444 
 01/07  11:00:00,153826357.68106506,153826357.6810652,142903358.44320289 
 01/07  12:00:00,131320996.9581295,131320996.95812957,107623026.8442846 
 01/07  13:00:00,125806988.31163027,125806988.31163052,94627680.13929466 
 01/07  14:00:00,120893996.49223998,120893996.49224003,80269921.84028961 
 01/07  15:00:00,104271046.90186309,104271046.90186315,70036456.20217078 
 01/07  16:00:00,123312217.13617206,123312217.13617243,57702080.90579398 
 01/07  17:00:00,162534378.63284893,162534378.63284914,70825463.57941813 
 01/07  18:00:00,205080892.51727055,205080892.51727066,98508173.20258382 
 01/07  19:00:00,233342287.88785429,233342287.8878543,105946159.31395692 
 01/07  20:00:00,219966147.4678548,219966147.4678546,116670680.3942402 
 01/07  21:00:00,208142772.06335373,208142772.0633537,114719426.42494984 
 01/07  22:00:00,181623174.60728384,181623174.60728393,113635112.1551564 
 01/07  23:00:00,156070073.92357493,156070073.923575,137338980.82320018 
 01/07  24:00:00,113435312.74132931,113435312.74132936,144002988.92084954 
 01/08  01:00:00,92692447.05514662,92692447.05514667,180635448.42580129 
 01/08  02:00:00,74654876.32467528,74654876.32467523,197563377.08296029 
 01/08  03:00:00,87626727.94362417,87626727.94362423,164243403.19386197 
 01/08  04:00:00,70844538.18118377,70844538.18118371,170398999.40059809 
 01/08  05:00:00,94759064.74610579,94759064.74610591,188401195.8736811 
 01/08  06:00:00,117838758.09895581,117838758.09895602,175441157.0537481 
 01/08  07:00:00,190942172.3912547,190942172.39125455,170140830.98256199 
 01/08  08:00:00,207914067.75208736,207914067.75208725,178413460.52501286 
 01/08  09:00:00,183529311.86825428,183529311.8682544,199548381.81955717 
 01/08  10:00:00,169469687.9528909,169469687.95289079,173364810.28579135 
 01/08  11:00:00,140179728.43259133,140179728.43259157,128657619.41297578 
 01/08  12:00:00,132427555.53828085,132427555.53828126,96387992.86524494 
 01/08  13:00:00,124546552.06765969,124546552.06765989,73818763.04026038 
 01/08  14:00:00,119803697.22947708,119803697.22947751,61421926.78681214 
 01/08  15:00:00,106623559.83741036,106623559.8374106,57937288.97458337 
 01/08  16:00:00,120675977.67698446,120675977.67698464,64831345.54871377 
 01/08  17:00:00,163284464.09483663,163284464.09483696,83813478.49270059 
 01/08  18:00:00,217333085.23684646,217333085.2368462,98369750.32387455 
 01/08  19:00:00,220414113.58252559,220414113.58252547,112441659.34565301 
 01/08  20:00:00,220816313.99672083,220816313.99672053,114825030.33426249 
 01/08  21:00:00,216512157.7772901,216512157.77729009,121367138.01648747 
 01/08  22:00:00,188100897.10785926,188100897.1078592,127892494.97019489 
 01/08  23:00:00,146843145.92221014,146843145.9222106,148365057.4301532 
 01/08  24:00:00,124136978.99208287,124136978.99208318,159325880.18235956 
 01/09  01:00:00,78432701.41565338,78432701.41565334,160775812.52381254 
 01/09  02:00:00,84029704.18105263,84029704.18105267,140801424.46759055 
 01/09  03:00:00,71693279.51445437,71693279.51445432,118159170.95858738 
 01/09  04:00:00,68545600.7326157,68545600.73261565,133914421.35871509 
 01/09  05:00:00,93296763.09691353,93296763.09691358,166452039.27223117 
 01/09  06:00:00,118051473.52431432,118051473.52431454,183224936.27448315 
 01/09  07:00:00,191667419.77059413,191667419.7705942,186626131.72045446 
 01/09  08:00:00,208516212.00668556,208516212.0066857,191295090.5688013 
 01/09  09:00:00,184908981.4968614,184908981.49686135,170569451.69114513 
 01/09  10:00:00,170514110.5141341,170514110.5141341,135734309.14053435 
 01/09  11:00:00,148856831.7650001,148856831.76500053,101558061.35979632 
 01/09  12:00:00,141250956.55266799,141250956.5526682,67976997.08874733 
 01/09  13:00:00,115098106.01863773,115098106.01863805,50637633.92343579 
 01/09  14:00:00,119661516.8678309,119661516.86783107,48975985.178056869 
 01/09  15:00:00,122674749.56557665,122674749.56557667,56985389.38955064 
 01/09  16:00:00,115287612.46604395,115287612.46604426,75545829.83915532 
 01/09  17:00:00,163457769.60626955,163457769.60626973,79008950.9248743 
 01/09  18:00:00,219008804.31037183,219008804.31037165,71857517.010617 
 01/09  19:00:00,229510204.75099383,229510204.75099374,73202083.4815949 
 01/09  20:00:00,204161670.51482059,204161670.5148205,65879404.74022566 
 01/09  21:00:00,217025837.739672,217025837.73967178,67500117.30317316 
 01/09  22:00:00,181252294.56245844,181252294.56245853,75758494.74935004 
 01/09  23:00:00,151128458.15760876,151128458.15760917,85533403.71889666 
 01/09  24:00:00,109945728.94990257,109945728.9499028,85987203.06265623 
 01/10  01:00:00,79527753.84847766,79527753.8484776,86213686.40592695 
 01/10  02:00:00,76892908.53255634,76892908.53255639,88108991.35841614 
 01/10  03:00:00,70335206.52432306,70335206.52432302,94277466.855361 
 01/10  04:00:00,79366048.4679948,79366048.46799483,95940932.69355063 
 01/10  05:00:00,76086583.96077425,76086583.9607742,98587553.2533016 
 01/10  06:00:00,112774985.05580956,112774985.05580962,96404741.50428896 
 01/10  07:00:00,185543614.19322483,185543614.1932247,109758964.05680946 
 01/10  08:00:00,205819779.85311277,205819779.85311259,117286431.01886973 
 01/10  09:00:00,183896085.43322969,183896085.43322966,98190297.77432494 
 01/10  10:00:00,163900893.05905766,163900893.05905775,72613368.48131719 
 01/10  11:00:00,153656307.88107027,153656307.8810706,59703013.18490904 
 01/10  12:00:00,133933786.34761185,133933786.34761209,50940115.55968614 
 01/10  13:00:00,124619124.84471219,124619124.84471238,42864093.01541825 
 01/10  14:00:00,110479930.34191403,110479930.34191416,45498900.17207675 
 01/10  15:00:00,121601590.74624209,121601590.74624235,46657126.81122492 
 01/10  16:00:00,126616683.25322874,126616683.25322882,40875570.71324776 
 01/10  17:00:00,160094313.67481864,160094313.67481903,36221171.37857475 
 01/10  18:00:00,205533855.8568789,205533855.85687889,34389037.984666269 
 01/10  19:00:00,227724628.24657048,227724628.2465703,35406021.425219979 
 01/10  20:00:00,217085311.8659374,217085311.8659371,31826508.33015743 
 01/10  21:00:00,199409481.3634848,199409481.36348475,36439911.85251164 
 01/10  22:00:00,178956922.74230308,178956922.74230326,36430288.27729657 
 01/10  23:00:00,149075040.5552515,149075040.55525167,50442415.795995239 
 01/10  24:00:00,108018615.91071959,108018615.91071981,53269970.61167001 
 01/11  01:00:00,86852667.5608775,86852667.56087762,55480911.22884431 
 01/11  02:00:00,68275440.57323766,68275440.5732376,66172499.709181297 
 01/11  03:00:00,79469875.94374563,79469875.94374568,57522348.10082532 
 01/11  04:00:00,61961444.87585051,61961444.875850457,52678556.63761322 
 01/11  05:00:00,75205081.18001662,75205081.18001655,54903218.93427703 
 01/11  06:00:00,112391342.35128013,112391342.35128035,50474623.74675597 
 01/11  07:00:00,182470304.85298679,182470304.85298694,47501420.156531389 
 01/11  08:00:00,213172010.47070674,213172010.47070635,60280125.52206603 
 01/11  09:00:00,180202707.47800989,180202707.47800986,60096643.536477107 
 01/11  10:00:00,154352121.26440073,154352121.26440073,47373117.68203954 
 01/11  11:00:00,148996262.02278165,148996262.02278195,36997338.961477819 
 01/11  12:00:00,133137100.25921503,133137100.25921555,34180401.560542907 
 01/11  13:00:00,124182374.05848883,124182374.05848888,33165211.330211089 
 01/11  14:00:00,121768492.75210819,121768492.75210859,20081526.530226046 
 01/11  15:00:00,107410629.65589024,107410629.65589044,16818028.217285627 
 01/11  16:00:00,125254007.43816394,125254007.43816436,14963717.736185383 
 01/11  17:00:00,158970188.11431844,158970188.1143183,14714380.467813097 
 01/11  18:00:00,205834279.57461954,205834279.57461957,15696243.729827665 
 01/11  19:00:00,225675087.88636447,225675087.8863642,14503324.872857055 
 01/11  20:00:00,217101409.2165745,217101409.21657426,11657388.109090709 
 01/11  21:00:00,196490128.300935,196490128.30093504,15630769.042779949 
 01/11  22:00:00,178904907.8875221,178904907.8875221,20113987.527798229 
 01/11  23:00:00,147113330.1233198,147113330.12332005,32629150.190673829 
 01/11  24:00:00,109737337.70623413,109737337.70623437,38872741.353524077 
 01/12  01:00:00,83575683.68868098,83575683.68868102,44350812.04784069 
 01/12  02:00:00,73405021.91284034,73405021.91284029,64547660.91894354 
 01/12  03:00:00,76306485.99619568,76306485.99619574,90313821.19261185 
 01/12  04:00:00,64965707.26325177,64965707.26325173,100559792.56554358 
 01/12  05:00:00,90703322.15273781,90703322.15273786,93618034.93327487 
 01/12  06:00:00,112315467.30796007,112315467.30796023,84741775.6211432 
 01/12  07:00:00,183573742.64280886,183573742.64280866,79481198.60457996 
 01/12  08:00:00,204495573.09878133,204495573.09878118,91213093.33977974 
 01/12  09:00:00,184027313.415539,184027313.41553927,95528453.40142408 
 01/12  10:00:00,165989248.01453287,165989248.0145332,83540556.85467638 
 01/12  11:00:00,141399244.69251,141399244.69251035,93518270.66140267 
 01/12  12:00:00,138758787.38420517,138758787.38420529,98385887.46721246 
 01/12  13:00:00,125091553.92047456,125091553.9204748,76340792.92485348 
 01/12  14:00:00,124877194.0642308,124877194.06423088,71903139.98580423 
 01/12  15:00:00,125159777.66800633,125159777.66800653,90728179.4416415 
 01/12  16:00:00,116726511.04169673,116726511.04169683,96450108.40685958 
 01/12  17:00:00,163088454.63604386,163088454.63604439,84246004.81288637 
 01/12  18:00:00,223372223.27440719,223372223.27440704,78448778.05394027 
 01/12  19:00:00,218662375.77925707,218662375.77925704,95398740.50542774 
 01/12  20:00:00,221319069.02034758,221319069.0203473,82607656.35424409 
 01/12  21:00:00,211919611.41204063,211919611.41204048,73013365.84592545 
 01/12  22:00:00,183140797.77421684,183140797.77421678,102886511.13548222 
 01/12  23:00:00,154900739.78482247,154900739.78482265,142182414.90230832 
 01/12  24:00:00,115190651.3476342,115190651.3476344,164619529.7579368 
 01/13  01:00:00,82120323.47850618,82120323.47850614,184734911.8687025 
 01/13  02:00:00,92024957.5010929,92024957.50109288,176839897.4390088 
 01/13  03:00:00,69977805.49037797,69977805.49037792,166707606.9264963 
 01/13  04:00:00,75596444.1859355,75596444.18593544,153265008.17583264 
 01/13  05:00:00,87399237.44994325,87399237.44994329,152394445.23129348 
 01/13  06:00:00,117152159.35727622,117152159.3572765,158624161.18865706 
 01/13  07:00:00,188958154.76396135,188958154.76396138,158790773.25544537 
 01/13  08:00:00,209101675.62200106,209101675.62200094,169336423.22751905 
 01/13  09:00:00,191430234.6587416,191430234.6587415,170430814.7226058 
 01/13  10:00:00,171123645.95392955,171123645.95392949,135285374.6380266 
 01/13  11:00:00,152775751.56389306,152775751.56389327,133469500.9024501 
 01/13  12:00:00,139210010.81287465,139210010.8128748,133792527.77258259 
 01/13  13:00:00,129764144.1021565,129764144.10215667,124345155.11397332 
 01/13  14:00:00,114565448.33034358,114565448.33034392,121475558.9902869 
 01/13  15:00:00,127974063.63055477,127974063.63055483,135176395.1065908 
 01/13  16:00:00,133132503.27442935,133132503.27442958,143921661.40749834 
 01/13  17:00:00,168747989.53976427,168747989.53976424,143776286.82593859 
 01/13  18:00:00,211641800.21081553,211641800.21081574,138681877.15475903 
 01/13  19:00:00,232499577.69998086,232499577.69998086,127019176.4511628 
 01/13  20:00:00,214599098.42158459,214599098.42158447,111748168.1516787 
 01/13  21:00:00,211844107.25368018,211844107.2536799,124627615.18547473 
 01/13  22:00:00,184446733.6947401,184446733.69474004,123807117.12767206 
 01/13  23:00:00,159163652.38687066,159163652.38687078,165894733.09493155 
 01/13  24:00:00,116201481.4556236,116201481.4556237,164980584.34264065 
 01/14  01:00:00,91389515.46152213,91389515.46152218,179438878.8793335 
 01/14  02:00:00,80341302.18753651,80341302.18753647,197326025.31685175 
 01/14  03:00:00,78889549.93120393,78889549.93120386,192784520.54912416 
 01/14  04:00:00,84302169.62925248,84302169.62925244,197632417.73502685 
 01/14  05:00:00,77673302.85479218,77673302.85479212,199935588.0991844 
 01/14  06:00:00,120199154.67011583,120199154.67011607,177621364.16219599 
 01/14  07:00:00,193532172.422902,193532172.42290185,130813329.88203317 
 01/14  08:00:00,208897465.35910297,208897465.35910288,119423170.843467 
 01/14  09:00:00,188064223.95228098,188064223.95228086,174104218.55198569 
 01/14  10:00:00,158699918.03200437,158699918.03200455,167833163.6630022 
 01/14  11:00:00,145722543.98995025,145722543.9899503,126008450.38722012 
 01/14  12:00:00,133072402.13746105,133072402.1374612,102835424.13122753 
 01/14  13:00:00,129574463.76701904,129574463.76701927,107656227.49520207 
 01/14  14:00:00,123878477.19770199,123878477.19770202,103192660.97526601 
 01/14  15:00:00,102294071.23054455,102294071.23054478,101408496.2221877 
 01/14  16:00:00,126657956.12375163,126657956.12375184,109971362.42566249 
 01/14  17:00:00,168806825.68325047,168806825.68325094,125235654.95069674 
 01/14  18:00:00,205575558.60116909,205575558.60116924,140105551.78579537 
 01/14  19:00:00,233926742.12989123,233926742.1298912,153099551.17506898 
 01/14  20:00:00,228055476.7820217,228055476.78202144,163090381.92153067 
 01/14  21:00:00,211545175.3814556,211545175.38145537,176506137.41081048 
 01/14  22:00:00,183155846.3683433,183155846.36834339,180668480.07901279 
 01/14  23:00:00,164086533.89764507,164086533.89764507,199807673.42222745 
 01/14  24:00:00,122984336.4262174,122984336.42621765,191922084.04726515 
 01/15  01:00:00,85604772.2342631,85604772.23426314,196545396.10856859 
 01/15  02:00:00,88718703.80178242,88718703.80178246,220670729.46742825 
 01/15  03:00:00,77863716.68852258,77863716.68852254,216370747.3475199 
 01/15  04:00:00,76537251.04617134,76537251.0461713,200381235.22878135 
 01/15  05:00:00,92143972.5832839,92143972.58328393,225011365.17054258 
 01/15  06:00:00,121892886.89694228,121892886.8969425,233790985.99635289 
 01/15  07:00:00,201029468.50437556,201029468.50437535,231734869.21715976 
 01/15  08:00:00,205941701.39484219,205941701.39484228,230565513.49528248 
 01/15  09:00:00,188265510.29753513,188265510.29753528,226022090.01259605 
 01/15  10:00:00,171256627.3231395,171256627.32313968,198040890.6021158 
 01/15  11:00:00,146783662.61988647,146783662.61988674,171719192.24640633 
 01/15  12:00:00,134150738.43549119,134150738.43549159,142390635.38943926 
 01/15  13:00:00,126661208.3809324,126661208.38093265,112404070.95143548 
 01/15  14:00:00,121291208.25008329,121291208.25008354,107353072.22277445 
 01/15  15:00:00,116750720.08328483,116750720.08328486,124994802.33797269 
 01/15  16:00:00,115825606.5229555,115825606.52295579,133243002.40558687 
 01/15  17:00:00,166748406.63254095,166748406.63254083,120854512.36205769 
 01/15  18:00:00,217999282.7710745,217999282.7710743,121794603.89020382 
 01/15  19:00:00,231443133.32704587,231443133.32704587,120150048.15918865 
 01/15  20:00:00,212279936.35678799,212279936.3567881,123839220.61654997 
 01/15  21:00:00,223280281.17664746,223280281.17664726,136887992.49816299 
 01/15  22:00:00,183250438.79454664,183250438.79454685,137235446.06490455 
 01/15  23:00:00,157525882.19961638,157525882.19961653,156296780.40503926 
 01/15  24:00:00,114971116.50804661,114971116.5080468,164194475.45684818 
 01/16  01:00:00,84953063.9210258,84953063.92102584,177686980.21703426 
 01/16  02:00:00,82421348.23715347,82421348.23715352,193155691.80356 
 01/16  03:00:00,79763242.23656008,79763242.23656003,212822807.4163283 
 01/16  04:00:00,85043981.87673959,85043981.87673956,210758364.23024587 
 01/16  05:00:00,85147044.62633112,85147044.6263311,211868180.45914204 
 01/16  06:00:00,116127858.8446452,116127858.84464517,197825503.07754929 
 01/16  07:00:00,194664653.5461188,194664653.54611863,198116046.74412803 
 01/16  08:00:00,210504580.24008975,210504580.2400896,199110157.75255389 
 01/16  09:00:00,188471252.01145119,188471252.01145149,227795818.72647525 
 01/16  10:00:00,164027791.7867925,164027791.7867929,187390632.22504685 
 01/16  11:00:00,157872500.28046508,157872500.2804653,156105276.99681587 
 01/16  12:00:00,134803424.42895989,134803424.42896009,128417131.75307441 
 01/16  13:00:00,126540231.26427426,126540231.26427439,128207779.93329302 
 01/16  14:00:00,115135532.95367486,115135532.95367494,127371221.8736642 
 01/16  15:00:00,119248617.53240821,119248617.53240836,126551950.37204114 
 01/16  16:00:00,129016206.2090957,129016206.20909578,141891255.02783747 
 01/16  17:00:00,162095676.30983503,162095676.30983544,132322788.03615825 
 01/16  18:00:00,211564477.0216278,211564477.02162785,126127030.79904497 
 01/16  19:00:00,233694451.1879118,233694451.1879114,135658730.2978168 
 01/16  20:00:00,222282167.2279113,222282167.22791106,123674722.03406617 
 01/16  21:00:00,204746326.6038891,204746326.60388915,124578426.89275348 
 01/16  22:00:00,184763172.12858517,184763172.12858538,130266281.23580896 
 01/16  23:00:00,155735232.62240336,155735232.6224038,156314623.80937625 
 01/16  24:00:00,114328004.33437296,114328004.334373,153144579.6908857 
 01/17  01:00:00,93226556.82991798,93226556.82991804,156053346.59633289 
 01/17  02:00:00,74581884.76131746,74581884.76131739,138073700.81204147 
