Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,60189084.7785812,60189084.77858115,79751173.93884644 
 01/01  02:00:00,77899166.67679447,77899166.67679452,83255430.68899845 
 01/01  03:00:00,56239304.157024849,56239304.15702479,79835876.89545883 
 01/01  04:00:00,62525578.211930159,62525578.21193012,79466466.88870389 
 01/01  05:00:00,74285650.06442319,74285650.06442325,73470491.6229927 
 01/01  06:00:00,102835522.55795938,102835522.55795937,65277030.158690679 
 01/01  07:00:00,176618888.53245268,176618888.53245268,57604592.89257044 
 01/01  08:00:00,191391115.79997073,191391115.7999706,58227141.208402719 
 01/01  09:00:00,180161623.06508253,180161623.06508277,61612515.63122852 
 01/01  10:00:00,160725722.79801373,160725722.79801376,44496583.331442717 
 01/01  11:00:00,128000941.8366712,128000941.83667156,33825268.525342348 
 01/01  12:00:00,127745718.7746678,127745718.77466795,30859862.141901159 
 01/01  13:00:00,119703698.71454898,119703698.71454938,35185725.545130427 
 01/01  14:00:00,118557578.87944444,118557578.87944469,48619089.16749799 
 01/01  15:00:00,104469004.24129178,104469004.24129191,49978174.1368567 
 01/01  16:00:00,122368657.15076578,122368657.15076603,49642039.067841518 
 01/01  17:00:00,153843084.02083666,153843084.02083648,50152794.567057687 
 01/01  18:00:00,199105086.46764408,199105086.46764428,41136222.991952169 
 01/01  19:00:00,217940873.6960916,217940873.6960916,42488972.4728231 
 01/01  20:00:00,211591105.3622678,211591105.36226744,42103376.58385104 
 01/01  21:00:00,188450601.86840428,188450601.86840416,46278243.81127374 
 01/01  22:00:00,185230605.51205845,185230605.5120582,55896714.93669694 
 01/01  23:00:00,128375686.13179441,128375686.13179437,65719814.78435025 
 01/01  24:00:00,114281548.58233881,114281548.58233913,72028026.7727037 
 01/02  01:00:00,67246689.87993881,67246689.87993877,80064713.4551625 
 01/02  02:00:00,70767807.35486543,70767807.35486548,81190014.55967644 
 01/02  03:00:00,63509412.30968836,63509412.309688318,83353981.5668743 
 01/02  04:00:00,55959091.71380205,55959091.713802,84252790.54227035 
 01/02  05:00:00,81637028.20299728,81637028.20299727,77839459.51400335 
 01/02  06:00:00,103624217.37995304,103624217.3799533,75306942.52793896 
 01/02  07:00:00,174868317.12655003,174868317.12654994,70835822.24699579 
 01/02  08:00:00,194291954.26154227,194291954.26154209,59420552.374060507 
 01/02  09:00:00,172514676.1384275,172514676.13842763,62272405.63175049 
 01/02  10:00:00,161203176.89429108,161203176.8942909,50577769.65345451 
 01/02  11:00:00,136271315.82415805,136271315.82415829,43235220.431608948 
 01/02  12:00:00,128070040.36817616,128070040.36817666,35062052.20468134 
 01/02  13:00:00,119666171.97160366,119666171.97160395,34562587.923023749 
 01/02  14:00:00,117502035.86375478,117502035.86375523,34964951.91824026 
 01/02  15:00:00,114565855.1155232,114565855.11552347,39813040.62454568 
 01/02  16:00:00,111155644.36651874,111155644.36651887,45727085.731890428 
 01/02  17:00:00,153370702.10524229,153370702.10524277,43770805.12071121 
 01/02  18:00:00,204051332.2036233,204051332.2036232,34490312.469460468 
 01/02  19:00:00,204073937.17070253,204073937.17070235,30980160.24511984 
 01/02  20:00:00,210600448.90883557,210600448.90883533,24731318.36030082 
 01/02  21:00:00,204633793.7363455,204633793.73634524,24287921.93432189 
 01/02  22:00:00,166410751.66515196,166410751.66515223,30088228.505279837 
 01/02  23:00:00,132649801.54985939,132649801.54985979,42574206.86623424 
 01/02  24:00:00,112438420.30107816,112438420.30107832,48648002.39216105 
 01/03  01:00:00,64775326.27500947,64775326.27500942,48769636.4573793 
 01/03  02:00:00,67695651.32940373,67695651.32940375,42223637.946837309 
 01/03  03:00:00,56482155.77780511,56482155.77780507,38319100.315614748 
 01/03  04:00:00,56635277.58009106,56635277.58009102,48552544.54344099 
 01/03  05:00:00,73200099.95307403,73200099.95307407,59259115.30526867 
 01/03  06:00:00,102239569.0860533,102239569.08605337,57485069.84990068 
 01/03  07:00:00,180898469.46610565,180898469.46610553,49615258.075696978 
 01/03  08:00:00,187559915.23833526,187559915.2383351,59449025.49767341 
 01/03  09:00:00,181779405.1959861,181779405.195986,64199867.417606908 
 01/03  10:00:00,164485399.15578033,164485399.1557803,51991477.65152067 
 01/03  11:00:00,132296121.80449641,132296121.80449672,36088651.3296248 
 01/03  12:00:00,141820701.2224942,141820701.22249449,37341649.77879052 
 01/03  13:00:00,114962022.48402876,114962022.48402907,33895226.07670103 
 01/03  14:00:00,120522997.49240875,120522997.49240881,30633707.247924158 
 01/03  15:00:00,115983962.88095424,115983962.88095455,29739673.852086534 
 01/03  16:00:00,111064805.67626938,111064805.67626974,32462262.45697161 
 01/03  17:00:00,163172870.26380248,163172870.26380239,31647271.409984039 
 01/03  18:00:00,203856147.32022424,203856147.32022409,29640106.218311106 
 01/03  19:00:00,203753896.69601659,203753896.69601674,27451828.48649766 
 01/03  20:00:00,210439322.69891805,210439322.6989178,22976400.293380418 
 01/03  21:00:00,200195582.0435903,200195582.04359005,27626855.166950838 
 01/03  22:00:00,169842373.16983459,169842373.16983486,31747952.270986845 
 01/03  23:00:00,141869251.8979809,141869251.89798097,40173910.18277662 
 01/03  24:00:00,99841552.4066797,99841552.4066798,45005047.0813507 
 01/04  01:00:00,62009048.44785007,62009048.44785003,51801704.62736619 
 01/04  02:00:00,75392629.29498272,75392629.2949827,51727418.82550887 
 01/04  03:00:00,54261997.54993815,54261997.549938108,54932624.47330139 
 01/04  04:00:00,58498554.426526438,58498554.42652638,62018301.15391071 
 01/04  05:00:00,76248719.1601149,76248719.16011495,65095557.58869653 
 01/04  06:00:00,102749885.71381718,102749885.7138174,64691399.401035878 
 01/04  07:00:00,176299229.7584274,176299229.75842745,64274212.94118845 
 01/04  08:00:00,193262557.93954889,193262557.93954865,78343804.31255958 
 01/04  09:00:00,184408242.57301528,184408242.57301525,74106918.24985585 
 01/04  10:00:00,164279227.93587325,164279227.93587313,56731640.37387267 
 01/04  11:00:00,145974247.42065705,145974247.4206571,46157686.593455668 
 01/04  12:00:00,132375956.52709031,132375956.52709045,37526867.50901332 
 01/04  13:00:00,110990905.77578688,110990905.77578694,32028906.15490801 
 01/04  14:00:00,118662193.74868112,118662193.74868134,29577699.446434704 
 01/04  15:00:00,119766284.91707061,119766284.9170708,30220748.425782633 
 01/04  16:00:00,111014827.56495367,111014827.56495402,30232662.58297456 
 01/04  17:00:00,155682117.97270224,155682117.97270269,28297050.639927377 
 01/04  18:00:00,211238133.9275026,211238133.92750255,27870183.432439049 
 01/04  19:00:00,217518264.9495021,217518264.94950203,29182629.12446912 
 01/04  20:00:00,195022413.94031868,195022413.94031865,29461148.549184558 
 01/04  21:00:00,202830375.93815566,202830375.93815554,32740536.051666205 
 01/04  22:00:00,170040212.92384223,170040212.92384214,34686350.86717135 
 01/04  23:00:00,140645593.4156428,140645593.41564317,52294244.38461195 
 01/04  24:00:00,99973773.20637813,99973773.20637819,59725988.89872553 
 01/05  01:00:00,66491739.359728317,66491739.35972829,71962069.50744546 
 01/05  02:00:00,74134306.7446058,74134306.74460586,81017227.95667315 
 01/05  03:00:00,60062066.497529167,60062066.4975291,85184318.64368055 
 01/05  04:00:00,69945085.95209736,69945085.9520974,97738121.00693023 
 01/05  05:00:00,70686126.89902918,70686126.89902915,106913745.30136359 
 01/05  06:00:00,106321320.73301085,106321320.73301083,111719492.14975809 
 01/05  07:00:00,177854064.43822185,177854064.4382217,110654984.34394805 
 01/05  08:00:00,197687296.8168855,197687296.81688539,111945515.02433881 
 01/05  09:00:00,182328136.3602945,182328136.36029435,100846276.22281994 
 01/05  10:00:00,163203991.18488086,163203991.18488095,68660152.63882415 
 01/05  11:00:00,153605799.50702513,153605799.50702534,65982893.54367339 
 01/05  12:00:00,133290978.10272345,133290978.10272342,63219095.238778177 
 01/05  13:00:00,124518085.11934239,124518085.11934266,57717824.3936837 
 01/05  14:00:00,107831574.8303635,107831574.8303636,40308867.35714187 
 01/05  15:00:00,119274435.91010835,119274435.91010857,27687432.428133184 
 01/05  16:00:00,123688135.6445711,123688135.64457134,24141763.80326807 
 01/05  17:00:00,145271796.60409106,145271796.6040915,32164617.75455561 
 01/05  18:00:00,205558089.13290055,205558089.13290046,40277487.1943895 
 01/05  19:00:00,219299128.4878454,219299128.48784537,46262817.65884236 
 01/05  20:00:00,195923577.48602668,195923577.4860267,44487505.523553039 
 01/05  21:00:00,206902948.62560589,206902948.62560559,46893781.910075757 
 01/05  22:00:00,169488730.26570005,169488730.26570005,53758072.50620423 
 01/05  23:00:00,144401842.3112265,144401842.31122665,79981195.64763803 
 01/05  24:00:00,101847746.00726989,101847746.00726997,86950786.9252851 
 01/06  01:00:00,80725293.133208,80725293.13320805,89942535.75426263 
 01/06  02:00:00,59170465.4438962,59170465.443896148,105456979.65035431 
 01/06  03:00:00,65040577.61457569,65040577.61457564,130419025.42172031 
 01/06  04:00:00,74203908.05085899,74203908.05085899,133376709.52911213 
 01/06  05:00:00,69747110.77207858,69747110.77207852,120089492.19533976 
 01/06  06:00:00,105596633.87948214,105596633.87948221,120676633.67328574 
