Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  15:00:00,2494505.952,90537687.76,492433027
 01/05  16:00:00,1912925.117,94743634.66,491948967
 01/05  17:00:00,2454267.406,138420190.2,523094254.5
 01/05  18:00:00,3227896.594,164816814.4,560847056.7
 01/05  19:00:00,3756535.654,173044473.9,579280861.1
 01/05  20:00:00,4374806.72,171049162.6,602615947
 01/05  21:00:00,5104850.342,171269069.4,629811022.9
 01/05  22:00:00,5869318.198,153586162.2,655940461.8
 01/05  23:00:00,6354864.365,130211893.3,682082080
 01/05  24:00:00,6959492.447,110841301.3,700718529.2
 01/06  01:00:00,7804546.704,99919888.42,732169897.3
 01/06  02:00:00,8282013.132,99107124.93,753888107
 01/06  03:00:00,8815672.087,99406022.65,777114301.5
 01/06  04:00:00,9779888.764,101256523.8,822729717.7
 01/06  05:00:00,10345972.29,110111307.1,850907178.9
 01/06  06:00:00,10663947.38,126991568,876082710.2
 01/06  07:00:00,10917961.61,146312488.1,926332738.1
 01/06  08:00:00,11150348.92,142003894.5,943314240.3
 01/06  09:00:00,10575343.43,133079152.9,903604803.7
 01/06  10:00:00,9721619.094,120175330.9,830700904.8
 01/06  11:00:00,8950769.73,107420131.1,776648441.4
 01/06  12:00:00,8145620.778,106480492.3,742665412.8
 01/06  13:00:00,7942965.229,104949034.1,741407980.4
 01/06  14:00:00,7824493.433,104509290.4,745641489.7
 01/06  15:00:00,7801577.054,104168212.5,747321989.3
 01/06  16:00:00,8020711.629,109648518.3,763510747.9
 01/06  17:00:00,8972677.056,154181637.2,813057982.2
 01/06  18:00:00,10191539.05,181981871.3,878202435.4
 01/06  19:00:00,11328776.04,191574017,923294803.1
 01/06  20:00:00,12036299.71,189885091.5,954518196.5
 01/06  21:00:00,12879633.06,190294276.9,986585398.3
 01/06  22:00:00,13376370.79,171923565.6,1000569002
 01/06  23:00:00,13393729.61,147392910.7,1004531433
 01/06  24:00:00,13929686.29,127827461.7,1021054968
 01/07  01:00:00,14409722.73,116042746.5,1038305176
 01/07  02:00:00,14742559.45,114881390.5,1054860152
 01/07  03:00:00,15203605.89,115026070.6,1077088217
 01/07  04:00:00,15693744.77,115780444.2,1103521085
 01/07  05:00:00,16128736.7,124289836.5,1126269844
 01/07  06:00:00,16711254.32,141786279,1165318156
 01/07  07:00:00,17267900.46,161835462.5,1231633925
 01/07  08:00:00,16987229.5,155258804.5,1214963547
 01/07  09:00:00,15073819.31,134464134.2,1103997982
 01/07  10:00:00,13051058.5,118434218.4,969513309
 01/07  11:00:00,11605628.77,103702457.9,874452104
 01/07  12:00:00,10692524.4,101717238.4,813663839.8
 01/07  13:00:00,9780071.327,99044973.41,769773934
 01/07  14:00:00,8752201.286,95402833.64,733611708.4
 01/07  15:00:00,8159342.761,94172933.18,726726662.3
 01/07  16:00:00,8157964.886,99857583.27,755809905
 01/07  17:00:00,9428888.328,141828045.5,833584864.9
 01/07  18:00:00,10852206.59,182808986.8,908115356.5
 01/07  19:00:00,12075350.24,193581105,963615490.7
 01/07  20:00:00,12879457.33,191966211,994510518.8
 01/07  21:00:00,13580854.34,192001538.5,1018598568
 01/07  22:00:00,14374719.96,174286369.6,1045256853
 01/07  23:00:00,14639596.4,150313372.5,1060340092
 01/07  24:00:00,14975867.48,130255015.3,1066996476
 01/08  01:00:00,15740774.92,119099235.8,1096798205
 01/08  02:00:00,16209603.13,118252578.4,1119697605
 01/08  03:00:00,16384894.84,117722093,1127903034
 01/08  04:00:00,16542406.29,117620389.1,1135957275
 01/08  05:00:00,16857257.72,125798459.7,1151559559
 01/08  06:00:00,17064354.16,142412738.1,1172632418
 01/08  07:00:00,17094595.47,161196787.1,1213008604
 01/08  08:00:00,16771811.27,154499489.1,1194351104
 01/08  09:00:00,14717521.66,133345831.5,1077331532
 01/08  10:00:00,12324611.72,116524874.7,929456352.2
 01/08  11:00:00,10672361.31,101465446.9,831324657.5
 01/08  12:00:00,9490533.535,98998404.13,764137428.6
 01/08  13:00:00,8215402.21,95555541.67,707619289
 01/08  14:00:00,7052938.995,91636838.16,667249726.7
 01/08  15:00:00,6139373.978,89620377.17,645279604.6
 01/08  16:00:00,5683232.352,94126067.41,651077699.3
 01/08  17:00:00,6160602.742,133958669.6,685185322.7
 01/08  18:00:00,6840452.534,173013240.3,721155686.2
 01/08  19:00:00,7184609.538,181682742.8,736395001.9
 01/08  20:00:00,7235782.277,178279467.8,733309247.4
 01/08  21:00:00,7110309.093,176353609.6,720120306.5
 01/08  22:00:00,7126841.432,156775369.1,710642175.6
 01/08  23:00:00,7090876.348,132120268,713309949.2
 01/08  24:00:00,7272572.008,111733274.1,713625151
 01/09  01:00:00,7493942.281,99325554.72,717946336.3
 01/09  02:00:00,7562306.562,97558592.22,722856826
 01/09  03:00:00,7427499.738,96283483.81,717158898.1
 01/09  04:00:00,7315443.457,95531547.34,713382537.9
 01/09  05:00:00,7301465.331,102941177.4,714329481.4
 01/09  06:00:00,7260229.031,118959536.8,724395663.8
 01/09  07:00:00,7060615.132,137202181,756005672.3
 01/09  08:00:00,6876634.611,131993902.2,757708491.7
 01/09  09:00:00,5948436.04,122675162.6,717351651.8
 01/09  10:00:00,4601934.6,108941275.6,635424832.9
 01/09  11:00:00,3532529.76,95447583.36,570168143.4
 01/09  12:00:00,2237457.501,92596641.42,495750383.4
 01/09  13:00:00,955780.9747,88034218.66,436729923.9
 01/09  14:00:00,83718.03143,85351004.23,398631602.7
 01/09  15:00:00,0,84169816.22,379159837.6
 01/09  16:00:00,0,89163570.47,386134200.7
 01/09  17:00:00,0,128508268,419156905
 01/09  18:00:00,137550.6088,157926408.2,448884724.2
 01/09  19:00:00,386380.6947,165401941.2,453075953.9
 01/09  20:00:00,207811.3203,161412703,440309742.9
 01/09  21:00:00,193371.9779,159702105.3,431603426.6
 01/09  22:00:00,532304.8313,140855653.3,434690870.1
 01/09  23:00:00,934064.3473,117189647,453948047.7
 01/09  24:00:00,1338239.629,97339776.17,462769512.3
 01/10  01:00:00,1591422.352,84998107.07,466886540.2
 01/10  02:00:00,1707485.007,83254770.46,470779056.7
 01/10  03:00:00,1642757.628,82098254.44,466930250.3
 01/10  04:00:00,1428102.466,81091213.6,458665501.5
 01/10  05:00:00,1341471.194,88297594.12,455562289.6
 01/10  06:00:00,1843988.808,105597054.8,487912207.4
 01/10  07:00:00,2536072.433,126047733.8,559660705.7
 01/10  08:00:00,2741214.565,121806652,578928114.1
 01/10  09:00:00,1866558.935,112601397.2,535290509.9
 01/10  10:00:00,744290.168,99255228.21,461989404.1
 01/10  11:00:00,46599.89742,86155980.67,402799309.8
 01/10  12:00:00,0,84999481.16,346481451
 01/10  13:00:00,0,82537910.6,313424875.9
 01/10  14:00:00,0,81580516.35,300781984.4
 01/10  15:00:00,0,81072879.2,297090290.7
 01/10  16:00:00,0,86750034.07,322899973
 01/10  17:00:00,0,127012905,381179475.3
 01/10  18:00:00,0,157361396.5,443241432.9
 01/10  19:00:00,607115.0351,166943583.6,496397283.2
 01/10  20:00:00,1884583.274,165992662.6,529542653.1
 01/10  21:00:00,2886179.202,166495910.8,555835510.3
 01/10  22:00:00,3072899.722,147126946.5,546676625.4
 01/10  23:00:00,3273017.676,122741116.8,550204720.9
 01/10  24:00:00,3876482.676,103152935.2,561527458.5
 01/11  01:00:00,3869989.947,90104629.07,552072491.4
 01/11  02:00:00,3440707.313,87057039.14,532463043.2
 01/11  03:00:00,3135902.98,85280574.93,517174124.8
 01/11  04:00:00,3053228.461,84516031.85,512671472.2
 01/11  05:00:00,3195500.227,92288073.45,520030079
 01/11  06:00:00,3287298.933,108677985.9,537280611.4
 01/11  07:00:00,3438153.659,127790231.2,585336434.1
 01/11  08:00:00,3551458.094,123384845.1,602294605.2
 01/11  09:00:00,3347372.373,116235566.7,599996469.7
 01/11  10:00:00,2739653.661,104483105.1,557904089
 01/11  11:00:00,1924420.464,91585325.24,503751216.7
 01/11  12:00:00,956449.675,89318337.56,438549913.9
 01/11  13:00:00,42325.54302,84850763.56,374653811.9
 01/11  14:00:00,0,82176531.61,315222608.2
 01/11  15:00:00,0,80459993.43,278258519.9
 01/11  16:00:00,0,85560209.8,288566046.6
 01/11  17:00:00,0,125194744.9,328870507.4
 01/11  18:00:00,0,154481990.7,359915479.1
 01/11  19:00:00,0,161813765.3,366613564.5
 01/11  20:00:00,0,158403925,365316692.2
 01/11  21:00:00,0,156780423.8,358406810
 01/11  22:00:00,0,137599334.6,360984872.9
 01/11  23:00:00,0,113697691.9,384238443.1
 01/11  24:00:00,0,93478684.44,393306838.4
 01/12  01:00:00,0,80912978.64,397702924.7
 01/12  02:00:00,0,78886837.17,396209374.6
 01/12  03:00:00,0,77233354.49,375730984.5
 01/12  04:00:00,0,76074353.68,357109613.9
 01/12  05:00:00,0,83510626.58,358525360.9
 01/12  06:00:00,0,100163140.9,386301782.7
 01/12  07:00:00,0,119404798.2,442547018.4
 01/12  08:00:00,0,114888353.7,459792444.9
 01/12  09:00:00,0,107550418.8,442248759.7
 01/12  10:00:00,0,97000453.27,418598015
 01/12  11:00:00,0,86423317.2,409661277.5
 01/12  12:00:00,0,86762378.96,392414067.9
 01/12  13:00:00,0,85118594.12,381588790.8
 01/12  14:00:00,0,84220406.97,369793475
 01/12  15:00:00,0,84045243.98,375299924.7
 01/12  16:00:00,0,89571558.74,397643867.9
 01/12  17:00:00,0,128473926.9,418587889.5
 01/12  18:00:00,16038.06304,157619106,446488369.9
 01/12  19:00:00,1074988.788,167355442.7,492016212.2
 01/12  20:00:00,2408369.135,166966336.1,541231247.5
 01/12  21:00:00,3368125.536,167702223.3,575769726.3
 01/12  22:00:00,4106918.441,149901334.5,597726242.8
 01/12  23:00:00,4747511.409,126818592.3,627381157.5
 01/12  24:00:00,5875014.962,108647702.4,666688359.3
 01/13  01:00:00,6683779.45,97630082.17,695163647.9
 01/13  02:00:00,6965025.933,96258514.84,704981740
 01/13  03:00:00,7373422.649,96173083.27,719632764.5
 01/13  04:00:00,7699558.11,96454703.83,734104042.7
 01/13  05:00:00,8181181.937,105033778.6,756180040.6
 01/13  06:00:00,8521500.75,121967921.7,782893016.4
 01/13  07:00:00,8597391.173,140864232.4,826119549.6
 01/13  08:00:00,8619463.644,136098678.6,834965986.6
 01/13  09:00:00,7962358.23,127154012.4,795726513.8
 01/13  10:00:00,6761209.038,113410766.7,708450897.5
 01/13  11:00:00,5663791.993,99593379.85,633097146.7
 01/13  12:00:00,4604033.612,97226551.37,565544933.9
