Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/05  14:00:00,2667869.824,92472682.53,513531945.5
 01/05  15:00:00,2630945.2,92019483.89,510611099.1
 01/05  16:00:00,2718695.462,97044695.91,516294738.5
 01/05  17:00:00,2824374.337,139247888.7,519039413.1
 01/05  18:00:00,2872145.552,163624224.2,523216204.4
 01/05  19:00:00,2817043.695,170410943.6,519032182.9
 01/05  20:00:00,2734063.903,166814241.1,515023880.4
 01/05  21:00:00,2690648.77,165233695,510136504.2
 01/05  22:00:00,2705779.429,145726844,501630785.8
 01/05  23:00:00,2790729.759,121335255.9,507621703
 01/05  24:00:00,2902797.36,100753782.2,500634401.3
 01/06  01:00:00,3065272.309,88153844.31,497434609.2
 01/06  02:00:00,3216224.43,86521174.38,503071396.5
 01/06  03:00:00,3345003.889,85853950.31,507814307.6
 01/06  04:00:00,3367545.092,85430647.91,510054374.4
 01/06  05:00:00,3312047.549,92741791.97,509566777
 01/06  06:00:00,3209080.432,108609290,519806489.9
 01/06  07:00:00,3131510.969,127144425.9,564806005.7
 01/06  08:00:00,3104716,133964566.3,575488319.9
 01/06  09:00:00,3068992.294,115719131,580754811.6
 01/06  10:00:00,2922072.104,105322812.4,564753482.7
 01/06  11:00:00,2717361.746,94314914.94,548034904.1
 01/06  12:00:00,2518202.153,94378248.61,526441705.4
 01/06  13:00:00,2320467.96,92451826.09,512139413.3
 01/06  14:00:00,2187681.789,91574519.84,502830576.7
 01/06  15:00:00,2100600.736,90899416.86,495246166.8
 01/06  16:00:00,2023590.343,95547470.75,494822779.2
 01/06  17:00:00,1941028.087,137276307,489173309.6
 01/06  18:00:00,1801995.398,161114865.4,483628076
 01/06  19:00:00,1660470.707,167672483.1,475488076.1
 01/06  20:00:00,1570907.258,164030838,470481135.3
 01/06  21:00:00,1523058.693,162421006.7,464947352.7
 01/06  22:00:00,2163351.577,144401020.6,481233071.3
 01/06  23:00:00,3372297.639,122701913.7,532920315.5
 01/06  24:00:00,4633330.238,104916082.7,574810391
 01/07  01:00:00,5567219.795,94236184.51,606151447.9
 01/07  02:00:00,6264824.021,93967335.33,636454921.4
 01/07  03:00:00,6950249.095,94684507.59,666364331.1
 01/07  04:00:00,7421574.578,95382089.57,688847053
 01/07  05:00:00,7708158.147,103551423.9,703472018.5
 01/07  06:00:00,7972898.21,120325106.2,729269962.9
 01/07  07:00:00,8249835.03,139718714.7,788753106.5
 01/07  08:00:00,8516430.764,146219238.4,803227010.5
 01/07  09:00:00,8639059.443,119622064.9,815110223.6
 01/07  10:00:00,8372515.192,108854666.1,794738627.6
 01/07  11:00:00,8013640.05,97244503.42,764921890.9
 01/07  12:00:00,7692489.179,96717040.1,729503451.5
 01/07  13:00:00,7316539.689,94754746.97,691553086
 01/07  14:00:00,6908153.058,92293907.13,672391606.6
 01/07  15:00:00,6471631.409,91104445.44,660060422.1
 01/07  16:00:00,6681610.877,96913287.37,685516390.6
 01/07  17:00:00,7710473.098,137530593.2,728150938.8
 01/07  18:00:00,8639213.952,176642391.7,762480290.4
 01/07  19:00:00,9317676.952,185960021,790718524.8
 01/07  20:00:00,9965853.861,184121733.6,818567330.6
 01/07  21:00:00,10652145.68,184332339.2,846883718.9
 01/07  22:00:00,11275652.46,166340346.5,866897496.4
 01/07  23:00:00,11889216.54,143279952.9,899140385.5
 01/07  24:00:00,12513756.94,123991807.8,918022936.2
 01/08  01:00:00,13016138.13,112263298.9,932784522.1
 01/08  02:00:00,13380058.88,111173174.4,949402478.8
 01/08  03:00:00,13719098.48,111028078.1,964555507
 01/08  04:00:00,14149479.68,111610741.6,986124093.6
 01/08  05:00:00,14574548.15,120103578.8,1007916191
 01/08  06:00:00,14981953.31,137223702.7,1041157474
 01/08  07:00:00,15391969.49,156930883.1,1107262303
 01/08  08:00:00,15764685.77,163669488.4,1127292162
 01/08  09:00:00,15759888.32,136610685.7,1131385985
 01/08  10:00:00,15229904.56,124992192.9,1093189282
 01/08  11:00:00,14857828.02,113155718.7,1055318342
 01/08  12:00:00,14615203.28,112596380.3,1014737074
 01/08  13:00:00,14058995,110426441.4,972658394.7
 01/08  14:00:00,13264175.11,106962977.3,932317989
 01/08  15:00:00,12333944.32,104631729,898515342.6
 01/08  16:00:00,12221816.65,109798893.7,915073144.9
 01/08  17:00:00,13242967.46,150603390.4,965551793.3
 01/08  18:00:00,14317896.96,190040469.6,1006532996
 01/08  19:00:00,14897247.18,199091887.9,1030361804
 01/08  20:00:00,15262875.37,196601767.6,1047461734
 01/08  21:00:00,15674315.85,196181343,1065356402
 01/08  22:00:00,16124161.13,177816962.4,1079983015
 01/08  23:00:00,16630198.71,154548337.2,1110269585
 01/08  24:00:00,17161300.71,135089313.2,1127759940
 01/09  01:00:00,17550022.68,123124180.1,1139379446
 01/09  02:00:00,17822303.98,121834783.3,1153014627
 01/09  03:00:00,18067391.93,121480564.5,1164788210
 01/09  04:00:00,18296535.65,121583563.2,1177622800
 01/09  05:00:00,18501664.7,129526207.5,1188941188
 01/09  06:00:00,18670361.98,146047870.5,1210579279
 01/09  07:00:00,18746021.53,164931926.6,1260447677
 01/09  08:00:00,18762432.35,171836237.7,1271760472
 01/09  09:00:00,18417846.06,152000206.1,1252666975
 01/09  10:00:00,17376325.18,139184314.6,1184894203
 01/09  11:00:00,16351569.75,125838159.3,1114863593
 01/09  12:00:00,15465012.43,123814706.1,1044549000
 01/09  13:00:00,14508816.78,120069448.5,993072304.9
 01/09  14:00:00,13590652.34,117589560.7,955214730.4
 01/09  15:00:00,12798184.45,115602509.4,925817773.5
 01/09  16:00:00,12592960.98,120061192.4,921662794
 01/09  17:00:00,12693669.18,158390724.1,923421091
 01/09  18:00:00,12690462.85,186785777.6,926033459
 01/09  19:00:00,12609930.8,193326941.3,915093082.5
 01/09  20:00:00,12536785.03,189856137.7,914301586.1
 01/09  21:00:00,12494647.1,188349511.3,911578973.8
 01/09  22:00:00,12448077.86,168775666.7,902777330.5
 01/09  23:00:00,12399911.33,144159698.1,906548628.9
 01/09  24:00:00,12368154.08,123326997.3,896860548.9
 01/10  01:00:00,12200175.84,110018413,882232346.5
 01/10  02:00:00,11957098.85,107492913.8,872137587.6
 01/10  03:00:00,11679483.57,105883782.8,859925930.7
 01/10  04:00:00,11390638.15,104733609.8,848838318.2
 01/10  05:00:00,11070905.41,111413247.3,836351701.8
 01/10  06:00:00,10716801.3,126663693.5,834513183.5
 01/10  07:00:00,10248550.56,144244332.7,861333684.1
 01/10  08:00:00,9666269.739,149716920.7,847041044.4
 01/10  09:00:00,9076590.522,129920348.2,827070260.8
 01/10  10:00:00,8489243.622,118482892.7,791718061
 01/10  11:00:00,7851628.183,106415396.5,754738155.8
 01/10  12:00:00,7188392.647,105321758.2,711220720.4
 01/10  13:00:00,6601393.533,102442498.2,679354550.4
 01/10  14:00:00,6049448.674,100553386.7,652032951
 01/10  15:00:00,5650255.169,99207433.44,633266227.6
 01/10  16:00:00,5114624.706,102695151.8,611845461
 01/10  17:00:00,4477953.661,139289234.3,584541514.7
 01/10  18:00:00,3852365.272,165910217.8,559758364.5
 01/10  19:00:00,3297001.879,171407349,533219596.9
 01/10  20:00:00,2874745.148,166962903.9,514930723.2
 01/10  21:00:00,2472309.025,164505632,495540725.2
 01/10  22:00:00,2080424.228,144032438.5,471265741.7
 01/10  23:00:00,1704630.877,118559107.2,459700769.1
 01/10  24:00:00,1365592.533,96919065.28,435423057.5
 01/11  01:00:00,995713.9146,83065105.13,411557804
 01/11  02:00:00,538326.4653,79979878.09,393315071.8
 01/11  03:00:00,95490.2764,77890772.39,374485154.1
 01/11  04:00:00,936084.661,79491064.78,410615003.8
 01/11  05:00:00,2806599.253,91457048.78,488676838.1
 01/11  06:00:00,4727812.771,112293286.8,585651434.5
 01/11  07:00:00,6384162.013,135095539.1,706824437.5
 01/11  08:00:00,7838786.08,145568568.7,783793032.4
 01/11  09:00:00,9311445.35,130812708,855967250.7
 01/11  10:00:00,10054149.41,122600873,881010146.2
 01/11  11:00:00,10247782.99,112599967.2,882424558.2
 01/11  12:00:00,10565840.54,114033619.4,886383968.5
 01/11  13:00:00,10737787.79,112944140.6,885689004.4
 01/11  14:00:00,10744156.07,112339682.4,879966483.5
 01/11  15:00:00,10845708.51,112162174.3,881324485
 01/11  16:00:00,10942636.24,117212679.9,886945513.1
 01/11  17:00:00,11046954.09,155533413,887789586.2
 01/11  18:00:00,11082552.56,183889676.3,888143031
 01/11  19:00:00,11074954.1,190518645.2,877292813.2
 01/11  20:00:00,11120209.04,187249614.6,878690618.9
 01/11  21:00:00,11188076.26,185935247.4,878118762.6
 01/11  22:00:00,11427865.91,166988139.4,879921191.5
 01/11  23:00:00,11778668.48,143275686,899630589.9
 01/11  24:00:00,12159425.48,123389825.8,906839831.4
 01/12  01:00:00,12553833.08,111393146.9,916262089.8
 01/12  02:00:00,12878229.37,110199232.5,930854713.2
 01/12  03:00:00,13193448.62,109999088.5,944913786.3
 01/12  04:00:00,13552166.44,110388410.1,962575641.2
 01/12  05:00:00,13930121.14,118724572.3,981138779.7
 01/12  06:00:00,14271695.55,135641101.1,1010352154
 01/12  07:00:00,14463730.47,154773804.6,1065406124
 01/12  08:00:00,14557381.43,161803581.4,1079007857
 01/12  09:00:00,14260513.5,142235644.2,1061684133
 01/12  10:00:00,12891741.75,128727293.1,983592237.6
 01/12  11:00:00,11296439.71,114216922.1,895963052.7
 01/12  12:00:00,9783584.878,110900840.2,806537728.2
 01/12  13:00:00,8951600.882,107332183.7,759485569.3
 01/12  14:00:00,8682239.869,106332421,750278852
 01/12  15:00:00,8494969.524,105570383.8,742689572.8
 01/12  16:00:00,8125363.044,109621245.3,731644844.8
 01/12  17:00:00,7486375.681,146173590,701380576.1
 01/12  18:00:00,6737976.392,172614796.7,672114571.4
 01/12  19:00:00,6157206.842,178049126.2,643247724.4
 01/12  20:00:00,5777485.441,173755010.4,627309145
 01/12  21:00:00,5420836.104,171440276.3,609981675.1
 01/12  22:00:00,5058598.36,151060484.7,586834341.9
 01/12  23:00:00,4689244.461,125616921.6,575463351.1
 01/12  24:00:00,4353400.526,103997877.2,551217295.9
 01/13  01:00:00,4128812.688,90514243.11,533408864.4
 01/13  02:00:00,3969930.863,88171219.47,527306707.5
 01/13  03:00:00,3781636.674,86765361.5,519615552.4
 01/13  04:00:00,3504668.032,85635563.6,509953295.2
 01/13  05:00:00,3194456.005,92340053.45,499372784.8
 01/13  06:00:00,2843625.551,107609086.6,499904415.7
 01/13  07:00:00,2435568.243,125345574.9,532425473.8
 01/13  08:00:00,1996890.222,131159867.5,526512244.5
 01/13  09:00:00,1571613.93,112018742.8,516639329.6
 01/13  10:00:00,1063299.157,100710656.6,485044879.8
 01/13  11:00:00,418582.881,88543527.72,448297206.7
 01/13  12:00:00,9952.417187,87773757.02,410864702.5
 01/13  13:00:00,0,85104113.94,372036563.3
 01/13  14:00:00,0,83345316.54,336928789.3
 01/13  15:00:00,0,81884870.86,306964350
 01/13  16:00:00,0,86911643.48,315183317.6
 01/13  17:00:00,0,125604723.3,330010059.6
 01/13  18:00:00,0,153920941.1,338850255.7
 01/13  19:00:00,0,161983965.3,368104678.2
 01/13  20:00:00,0,160297512.6,414133778.5
 01/13  21:00:00,736912.2319,161463333,461952166.2
 01/13  22:00:00,1955242.589,144562774.2,493106165.4
 01/13  23:00:00,2859629.642,122014600.4,528591902.5
 01/13  24:00:00,3780662.456,103298439.5,552331572
 01/14  01:00:00,4577009.718,92179140.75,573941961.3
 01/14  02:00:00,5258769.674,91799687.3,600894749.8
 01/14  03:00:00,5919955.228,92385504.22,627042952
 01/14  04:00:00,6287516.408,92755986.54,642386631.2
 01/14  05:00:00,6416496.514,100463966.8,647766658.7
 01/14  06:00:00,6504658.571,116741001,664084193.1
 01/14  07:00:00,6441527.753,135261721,708024900.9
 01/14  08:00:00,6326659.505,140797986.1,704600873.6
 01/14  09:00:00,6147178.242,113519448.6,703751678.2
 01/14  10:00:00,5650528.876,102204747.7,673527368.4
 01/14  11:00:00,5195077.058,90685388.06,648762421
 01/14  12:00:00,4686967.529,89867078.92,610551178.9
 01/14  13:00:00,4086842.347,87949276.83,579857309.4
 01/14  14:00:00,3454028.515,84871059.5,549279964.9
 01/14  15:00:00,2815695.188,82852269.23,519141836.3
 01/14  16:00:00,2501708.462,86950890.78,510226523.4
 01/14  17:00:00,2424107.031,124876152.4,506391129.3
 01/14  18:00:00,2313420.859,161596640.8,501378018.5
 01/14  19:00:00,2117387.167,168830169.3,494068178.5
 01/14  20:00:00,1916123.58,164916882.5,484597310.7
 01/14  21:00:00,1752260.74,163043923.3,474926874.1
 01/14  22:00:00,1584490.754,143102846.6,459249385.2
 01/14  23:00:00,1464238.939,118230945.3,457306380
 01/14  24:00:00,1369088.324,97153285.88,441718310.2
 01/15  01:00:00,1297122.061,83990159.57,428736212.2
 01/15  02:00:00,1267227.832,81906408.49,426534087.9
 01/15  03:00:00,1209994.024,80782681.1,423346631
 01/15  04:00:00,1236527.908,80363567.45,425598052.9
 01/15  05:00:00,1301083.792,87960774.62,430057390.9
 01/15  06:00:00,1341867.05,104176036.5,446693536.2
 01/15  07:00:00,1271432.908,122727837.7,493155539.6
 01/15  08:00:00,1154850.846,128302207.7,491849469.8
 01/15  09:00:00,987918.8243,101112817.1,493516382.3
 01/15  10:00:00,633725.3457,90210350.12,472167122.3
 01/15  11:00:00,172737.2286,78559223.47,446256017.9
 01/15  12:00:00,0,78303746.03,417843976.8
 01/15  13:00:00,0,77382231.21,400385059.9
 01/15  14:00:00,0,75616193.77,390312249.6
 01/15  15:00:00,0,74997679.43,382485817.3
 01/15  16:00:00,0,79798084.1,384839666.4
 01/15  17:00:00,0,114042857.1,384260255.5
 01/15  18:00:00,0,154913575,384687459
 01/15  19:00:00,0,162425502.3,380065490.6
 01/15  20:00:00,0,158766792.5,372049798.8
 01/15  21:00:00,0,157080854.4,363016991.5
 01/15  22:00:00,0,137486615.2,352303395.9
 01/15  23:00:00,0,112982524.9,357065098.9
 01/15  24:00:00,0,92264481.51,348640131.4
 01/16  01:00:00,0,79388101.64,341453208.8
 01/16  02:00:00,0,77452955.32,342480483.8
 01/16  03:00:00,0,76504886.87,342592517.8
 01/16  04:00:00,0,76064056.03,344831639.1
 01/16  05:00:00,0,83540781.77,347509455.1
 01/16  06:00:00,0,99660594.75,362474930.7
 01/16  07:00:00,0,118434018,413230321.8
 01/16  08:00:00,0,124398211.4,419414177
 01/16  09:00:00,0,97663646.74,428830008.5
 01/16  10:00:00,0,87460764.02,417051233.4
 01/16  11:00:00,0,76601053.18,400331935.5
 01/16  12:00:00,0,76839895.52,379133665.9
 01/16  13:00:00,0,76093265.39,366255977
 01/16  14:00:00,0,74475456.5,360126069
 01/16  15:00:00,0,74010258.02,356371288.6
 01/16  16:00:00,0,79108966.2,366880570.7
 01/16  17:00:00,0,113806652.8,378569544.6
 01/16  18:00:00,0,155105796.7,390647876.3
 01/16  19:00:00,0,163012403.1,396652568.6
 01/16  20:00:00,0,159650295.5,396604674.8
 01/16  21:00:00,0,158274450,395932185.3
 01/16  22:00:00,0,138854437.7,389868997.3
 01/16  23:00:00,0,114402884.4,396065613.8
 01/16  24:00:00,0,93731830.53,388919145.9
 01/17  01:00:00,0,80986028.24,385338880
 01/17  02:00:00,4748.499673,79294861.71,391853629.4
 01/17  03:00:00,184639.5559,78761384.78,397333499.2
 01/17  04:00:00,466596.5726,78852525.58,406581616.9
 01/17  05:00:00,725809.9368,86847975.43,416567705.2
 01/17  06:00:00,949922.2127,103452488.2,438855426.3
 01/17  07:00:00,1109308.614,122514895.6,493218270.9
 01/17  08:00:00,1209651.766,129590961.3,507542686.9
 01/17  09:00:00,1312162.302,111612176.7,517606017.5
 01/17  10:00:00,1268618.573,101424272.4,504081558.8
 01/17  11:00:00,1161960.243,90665014.97,491352458.6
 01/17  12:00:00,1167772.29,91248818.66,478189850.4
 01/17  13:00:00,1072358.119,89463876.08,464821488.4
 01/17  14:00:00,971097.4028,88678735.6,457068151.6
 01/17  15:00:00,945306.1649,88137618.21,451426741.2
 01/17  16:00:00,998850.6908,93122505.89,456870931
 01/17  17:00:00,1071892.792,127509014.3,457670517.7
 01/17  18:00:00,1103970.27,159506036.6,459679040.7
 01/17  19:00:00,992095.9512,166154994.1,453360441.3
 01/17  20:00:00,869511.7136,162458349.1,447485282
 01/17  21:00:00,775190.974,160748617.8,440185344.6
 01/17  22:00:00,837590.0096,141339894.5,432788466.2
 01/17  23:00:00,1021691.397,117157309.1,441548477.1
 01/17  24:00:00,1249531.479,96822577.8,437626979.8
 01/18  01:00:00,1488380.137,84369321.38,435760536.3
 01/18  02:00:00,1692652.881,82821985.48,441996591.6
 01/18  03:00:00,1874759.694,82245350.3,447452027.1
 01/18  04:00:00,2042954.325,82146848.21,454665243.1
 01/18  05:00:00,2187963.6,89933088.25,462065304.3
 01/18  06:00:00,2298906.632,106314275.1,481297802.9
 01/18  07:00:00,2392226.942,125257503.3,534210927.2
 01/18  08:00:00,2467965.749,132311629.7,548659608.7
 01/18  09:00:00,2465064.431,114114879.1,553688671
 01/18  10:00:00,2339851.054,103781078.5,538675758
 01/18  11:00:00,2141672.789,92773713.73,521626077.3
 01/18  12:00:00,1937959.212,92741873.17,497154327.7
 01/18  13:00:00,1591615.563,90152645.81,468104650.9
 01/18  14:00:00,1177828.019,88571766.83,447221859.7
 01/18  15:00:00,596701.7263,86679971.76,420625155.3
 01/18  16:00:00,608159.6533,92006474.86,437678567.2
 01/18  17:00:00,1485191.577,128576111.1,477543346
 01/18  18:00:00,2710078.279,163299877.3,523261589.4
 01/18  19:00:00,3088981.171,171046502.8,533783961.8
 01/18  20:00:00,3018998.366,167474768.2,529662131.2
 01/18  21:00:00,2985427.343,165926419.4,524929967.8
 01/18  22:00:00,3010067.149,146435515.8,516049508.4
 01/18  23:00:00,3119542.542,122075802.9,521968286
 01/18  24:00:00,3246356.105,101493621.2,513947828.6
 01/19  01:00:00,3332982.799,88680216.73,506125565.6
 01/19  02:00:00,3385316.072,86784283.05,506545272.6
 01/19  03:00:00,3404752.481,85840576.53,505930552
 01/19  04:00:00,3724252.414,86120340.64,519810876.1
 01/19  05:00:00,4289705.206,94925022.6,544788297.8
 01/19  06:00:00,4818760.389,112325928,581671264.7
 01/19  07:00:00,5211732.572,132006454,647416190.1
 01/19  08:00:00,5519288.209,139643110.7,672290638.1
 01/19  09:00:00,5731115.835,121845305.5,685156908.8
 01/19  10:00:00,4994638.351,109855095,639161509.4
 01/19  11:00:00,3899516.873,96527202.7,579586011.7
 01/19  12:00:00,3010721.252,94568449.51,518361401.5
 01/19  13:00:00,2234423.776,91052301.44,474720446.8
 01/19  14:00:00,1463953.646,88656459.89,441550227.8
 01/19  15:00:00,599454.2359,86446423.64,413141041
 01/19  16:00:00,324405.0367,91087688.21,418316515.7
 01/19  17:00:00,753335.3136,126536290,438485267.6
 01/19  18:00:00,1284317.209,159558227.4,455587786
 01/19  19:00:00,1880599.222,167923719.4,477480912.6
 01/19  20:00:00,2631557.196,166301572.7,505866052.7
 01/19  21:00:00,3429094.743,166726707.6,534435681.5
 01/19  22:00:00,4193026.423,149016968.2,556231228.2
 01/19  23:00:00,4969213.825,126287869.5,590950237.5
 01/19  24:00:00,5775127.835,107403764.4,613642528.4
 01/20  01:00:00,6338436.932,95801498.32,628089813.2
 01/20  02:00:00,6675386.53,94626529.49,641770846.9
 01/20  03:00:00,6996033.216,94421468.4,654512227.5
 01/20  04:00:00,7205862.931,94447955.86,664356031.2
 01/20  05:00:00,7297692.769,102106782.8,669473350.7
 01/20  06:00:00,7356621.808,118358938.3,686101165.1
 01/20  07:00:00,7216063.436,136735348.3,728433995.2
 01/20  08:00:00,6967108.951,143007131.6,728812529.7
 01/20  09:00:00,6588111.51,123742438.2,715725281.1
 01/20  10:00:00,5626728.077,111203310.9,659438148.5
 01/20  11:00:00,4417669.482,97385929.87,588710020.7
 01/20  12:00:00,3385697.786,95030316.76,520238090.7
 01/20  13:00:00,2583237.047,91409970.77,474738142
 01/20  14:00:00,1840844.928,89078335.91,442917622.7
 01/20  15:00:00,967169.351,86869426.77,415123035
 01/20  16:00:00,793097.6577,91828282.28,426834559.6
 01/20  17:00:00,1533358.103,128139983.3,462978915.6
 01/20  18:00:00,2526695.029,162297964.3,499272779.2
 01/20  19:00:00,2776173.115,169829225.1,507319414.1
 01/20  20:00:00,2686946.114,166263200.1,503943819.5
 01/20  21:00:00,2625013.223,164688277.7,499306245.1
 01/20  22:00:00,2672695.47,145289694.3,492470222.1
 01/20  23:00:00,2824974.784,121069397.9,501147996.6
 01/20  24:00:00,2994928.667,100628839.2,495955793.7
 01/21  01:00:00,3263014.654,88275721.48,496325123.4
 01/21  02:00:00,3561015.372,86984696.08,507370228.1
 01/21  03:00:00,3835894.506,86663850,517682061.8
 01/21  04:00:00,4049454.98,86711842.12,527954951.8
 01/21  05:00:00,4197157.489,94522205.29,536104566.5
 01/21  06:00:00,4307536.06,110903267.4,555500592.5
 01/21  07:00:00,4405199.924,129865010.6,608998647.8
 01/21  08:00:00,4476686.095,135894522.8,615237324.2
 01/21  09:00:00,4485236.272,109118529.9,624052512.7
 01/21  10:00:00,4099796.286,98120076.54,600293520.6
 01/21  11:00:00,3530182.196,86266702.24,570215485.1
 01/21  12:00:00,3010060.89,85525499.49,534883318.3
